,Date (America/Chicago),"Maschhoff_BIBL_C_RM4  Temp shock - color
 (MO1936XX-P6TLS59Q)","Maschhoff_BIBL_C_RM4 Temp (°C) - data
 (MO1936XX-P6TLS59Q)","Maschhoff_BIBL_C_RM4  ReHS - color
 (MO1936XX-P6TLS59Q)","Maschhoff_BIBL_C_RM4  ReHS - data
(MO1936XX-P6TLS59Q)","Maschhoff_BIBL_WC_RM3 Temp shock - color
 (MO201201-JPTKLQ7D)","Maschhoff_BIBL_WC_RM3Temp (°C) - data
 (MO201201-JPTKLQ7D)","Maschhoff_BIBL_WC_RM3 ReHS - color
 (MO201201-JPTKLQ7D)","Maschhoff_BIBL_WC_RM3 ReHS - data
(MO201201-JPTKLQ7D)","Maschhoff_BIBL_EC_RM4 Temp shock - color
 (MO201201-4C7S5KNG)","Maschhoff_BIBL_EC_RM4Temp (°C) - data
 (MO201201-4C7S5KNG)","Maschhoff_BIBL_EC_RM4 ReHS - color
 (MO201201-4C7S5KNG)","Maschhoff_BIBL_EC_RM4 ReHS - data
(MO201201-4C7S5KNG)","Maschhoff_BIBL_EE_RM3 Temp shock - color
 (MO201201-KQQ77D7J)","Maschhoff_BIBL_EE_RM3Temp (°C) - data
 (MO201201-KQQ77D7J)","Maschhoff_BIBL_EE_RM3 ReHS - color
 (MO201201-KQQ77D7J)","Maschhoff_BIBL_EE_RM3 ReHS - data
(MO201201-KQQ77D7J)","Maschhoff_BIBL_WC_RM4 Temp shock - color
 (MO201401-8FBZLPSJ)","Maschhoff_BIBL_WC_RM4Temp (°C) - data
 (MO201401-8FBZLPSJ)","Maschhoff_BIBL_WC_RM4 ReHS - color
 (MO201401-8FBZLPSJ)","Maschhoff_BIBL_WC_RM4 ReHS - data
(MO201401-8FBZLPSJ)","Maschhoff_BIBL_WW_RM4 Temp shock - color
 (MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM4Temp (°C) - data
 (MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM4 ReHS - color
 (MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM4 ReHS - data
(MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM3 Temp shock - color
 (MO201401-8HZ6MVH5)","Maschhoff_BIBL_WW_RM3Temp (°C) - data
 (MO201401-8HZ6MVH5)","Maschhoff_BIBL_WW_RM3 ReHS - color
 (MO201401-8HZ6MVH5)","Maschhoff_BIBL_WW_RM3 ReHS - data
(MO201401-8HZ6MVH5)","Maschhoff_BIBL_EE_RM4 Temp shock - color
 (MO201401-BGHDKCLJ)","Maschhoff_BIBL_EE_RM4Temp (°C) - data
 (MO201401-BGHDKCLJ)","Maschhoff_BIBL_EE_RM4 ReHS - color
 (MO201401-BGHDKCLJ)","Maschhoff_BIBL_EE_RM4 ReHS - data
(MO201401-BGHDKCLJ)","Maschhoff_BIBL_EC_RM3 Temp shock - color
 (MO202001-DSXZ8WVL)","Maschhoff_BIBL_EC_RM3Temp (°C) - data
 (MO202001-DSXZ8WVL)","Maschhoff_BIBL_EC_RM3 ReHS - color
 (MO202001-DSXZ8WVL)","Maschhoff_BIBL_EC_RM3 ReHS - data
(MO202001-DSXZ8WVL)","Maschhoff_BIBL_C_RM3 Temp shock - color
 (MO202101-CJSR9JKN)","Maschhoff_BIBL_C_RM3Temp (°C) - data
 (MO202101-CJSR9JKN)","Maschhoff_BIBL_C_RM3 ReHS - color
 (MO202101-CJSR9JKN)","Maschhoff_BIBL_C_RM3 ReHS - data
(MO202101-CJSR9JKN)"
19,2021-02-27,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
20,2021-02-28,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
21,2021-03-01,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
22,2021-03-02,green,17.0,green,,green,15.0,green,,green,18.0,green,,green,14.0,green,,green,17.0,green,,green,14.5,green,,green,13.0,green,,green,16.0,green,,green,,green,,green,,green,
23,2021-03-03,green,17.0,green,99.0,green,16.0,green,98.0,green,17.5,green,99.0,green,15.5,green,98.0,green,17.5,green,99.0,green,15.5,green,99.0,green,15.0,green,98.0,green,16.0,green,99.0,green,,green,,green,,green,
24,2021-03-04,green,17.0,green,99.0,red,18.0,green,99.0,yellow,18.0,green,99.0,red,16.5,green,97.0,green,17.5,green,97.0,green,16.0,green,99.0,red,17.0,green,99.0,green,16.5,green,98.0,red,,green,,red,,green,
25,2021-03-05,green,19.0,green,99.0,green,18.0,green,99.0,green,20.5,green,99.0,green,16.0,green,99.0,green,19.5,green,99.0,green,18.5,green,99.0,green,16.0,green,99.0,green,19.0,green,98.0,green,,green,,green,,green,
26,2021-03-06,green,27.0,green,99.0,green,18.0,green,98.0,yellow,29.0,green,99.0,green,16.0,green,99.0,green,27.0,green,96.0,green,24.0,green,99.0,green,16.0,green,98.0,green,27.5,green,97.0,green,,green,,green,,green,
27,2021-03-07,green,28.5,green,99.0,green,18.0,green,99.0,green,30.5,green,99.0,green,16.5,green,97.0,green,28.5,green,96.0,green,25.5,green,99.0,green,16.5,green,99.0,green,29.0,green,99.0,green,,green,,green,,green,
28,2021-03-08,green,28.0,green,99.0,green,19.0,green,99.0,green,29.5,green,98.0,green,18.0,green,99.0,green,28.0,green,99.0,yellow,27.0,green,99.0,green,18.0,green,99.0,yellow,27.5,green,99.0,green,,green,,green,,green,
29,2021-03-09,green,27.5,green,91.0,green,18.0,green,99.0,green,29.0,green,92.0,green,17.5,green,98.0,green,28.0,green,91.0,green,26.5,red,75.0,green,17.5,green,95.0,yellow,27.5,green,97.0,green,,green,,green,,green,
30,2021-03-10,green,26.5,green,81.0,green,18.5,green,99.0,green,27.5,green,93.0,green,18.0,green,95.0,green,28.5,green,81.0,green,29.0,green,30.0,green,18.0,green,94.0,yellow,28.0,green,99.0,green,,green,,green,,green,
31,2021-03-11,green,26.5,green,94.0,green,18.5,green,98.0,yellow,27.5,green,87.0,green,18.0,green,99.0,yellow,28.0,green,94.0,green,29.0,yellow,66.0,green,18.5,green,91.0,yellow,25.0,green,97.0,green,,green,,green,,green,
32,2021-03-12,green,26.5,green,90.0,green,17.5,green,99.0,green,28.0,green,89.0,green,17.0,green,95.0,green,27.5,green,82.0,green,28.0,red,51.0,green,16.5,green,99.0,green,28.0,green,93.0,green,,green,,green,,green,
33,2021-03-13,green,26.5,green,73.0,green,18.0,green,99.0,green,27.5,green,97.0,green,17.0,green,99.0,green,27.5,green,77.0,green,28.0,red,31.0,green,16.5,green,87.0,yellow,29.5,green,99.0,green,,green,,green,,green,
34,2021-03-14,green,26.5,green,70.0,green,18.0,green,99.0,green,28.0,green,93.0,green,16.5,green,99.0,green,28.0,green,72.0,green,28.0,red,26.0,green,16.0,green,92.0,yellow,29.0,green,98.0,green,,green,,green,,green,
35,2021-03-15,green,26.5,green,92.0,green,18.0,green,99.0,green,28.5,green,92.0,green,16.0,green,99.0,green,27.5,green,87.0,green,28.0,green,68.0,green,16.0,green,95.0,yellow,27.5,green,97.0,green,,green,,green,,green,
36,2021-03-16,green,26.5,green,89.0,green,18.0,green,99.0,green,27.5,green,81.0,green,16.5,green,94.0,green,27.5,green,78.0,green,28.5,red,36.0,green,16.0,green,97.0,green,27.5,green,89.0,green,,green,,green,,green,
37,2021-03-17,green,26.5,green,66.0,green,24.5,green,99.0,green,27.5,green,90.0,green,20.5,green,99.0,green,28.0,yellow,55.0,green,28.5,red,21.0,yellow,23.5,green,90.0,yellow,28.5,green,99.0,green,,green,,green,,green,
38,2021-03-18,green,26.0,green,85.0,green,29.5,green,99.0,green,27.5,green,94.0,green,23.5,green,98.0,green,28.0,green,81.0,green,28.5,green,64.0,green,29.0,green,88.0,yellow,27.0,green,96.0,green,,green,,green,,green,
39,2021-03-19,green,26.5,green,94.0,green,30.0,green,97.0,green,27.5,green,90.0,green,24.0,green,99.0,green,27.5,green,87.0,green,28.5,yellow,49.0,yellow,28.0,green,79.0,yellow,28.5,green,96.0,green,,green,,green,,green,
40,2021-03-20,green,26.0,green,84.0,green,29.5,green,98.0,green,27.5,green,96.0,green,24.5,green,99.0,green,28.0,green,87.0,green,28.5,yellow,45.0,yellow,28.5,green,86.0,yellow,29.0,green,99.0,green,,green,,green,,green,
41,2021-03-21,green,26.5,green,88.0,green,29.5,green,98.0,green,27.5,green,97.0,green,25.0,green,96.0,green,28.0,green,90.0,green,29.0,yellow,53.0,yellow,28.0,green,90.0,yellow,29.0,green,97.0,green,,green,,green,,green,
42,2021-03-22,green,27.0,green,96.0,green,28.5,green,97.0,green,28.0,green,94.0,green,25.5,green,90.0,green,28.0,green,92.0,green,28.5,green,76.0,green,28.0,green,90.0,green,27.5,green,98.0,green,,green,,green,,green,
43,2021-03-23,green,26.5,green,97.0,green,27.0,green,98.0,green,27.0,green,90.0,green,25.5,green,66.0,green,28.0,green,85.0,green,28.5,green,64.0,green,27.0,green,82.0,green,25.5,green,97.0,green,,green,,green,,green,
44,2021-03-24,green,26.5,green,96.0,green,28.0,green,98.0,green,27.0,green,99.0,green,26.5,green,95.0,green,28.5,green,90.0,green,29.5,green,72.0,green,27.5,green,97.0,green,26.5,green,99.0,green,,green,,green,,green,
45,2021-03-25,green,26.0,green,98.0,green,27.0,green,98.0,green,27.0,green,94.0,green,26.0,green,98.0,green,28.0,green,91.0,green,28.0,green,83.0,green,26.5,green,97.0,green,26.5,green,99.0,green,,green,,green,,green,
46,2021-03-26,green,26.5,green,89.0,green,27.5,green,98.0,green,27.5,green,64.0,green,26.5,green,96.0,green,28.0,green,94.0,green,28.5,green,94.0,green,27.0,green,94.0,green,27.0,green,98.0,green,,green,,green,,green,
47,2021-03-27,green,27.5,green,96.0,green,28.0,green,98.0,green,28.0,green,87.0,green,27.5,green,96.0,green,28.0,green,96.0,green,29.0,green,97.0,green,27.5,green,96.0,green,27.5,green,99.0,green,,green,,green,,green,
48,2021-03-28,green,26.5,green,98.0,green,26.5,green,99.0,green,27.5,green,90.0,green,26.0,green,95.0,green,27.5,green,99.0,green,27.5,green,99.0,yellow,26.5,green,96.0,green,26.5,green,99.0,green,,green,,green,,green,
49,2021-03-29,green,26.5,green,98.0,green,27.0,green,99.0,green,27.5,green,95.0,green,26.0,green,94.0,green,28.0,green,98.0,green,28.0,green,99.0,green,26.5,green,99.0,green,27.5,green,98.0,green,,green,,green,,green,
50,2021-03-30,green,26.5,green,98.0,blue,27.0,blue,,green,27.0,green,98.0,blue,26.0,blue,,green,28.0,green,98.0,green,28.5,green,98.0,green,26.5,green,99.0,green,27.5,green,99.0,green,,green,,green,,green,
51,2021-03-31,green,26.5,green,97.0,green,26.0,blue,,green,27.5,green,98.0,blue,,blue,,green,28.0,green,99.0,green,27.5,green,96.0,green,25.5,green,98.0,green,27.0,green,99.0,green,,green,,green,,green,
52,2021-04-01,green,27.0,green,99.0,green,26.0,green,99.0,green,28.0,green,98.0,blue,,blue,,green,28.0,green,99.0,green,27.0,green,99.0,yellow,25.0,green,98.0,green,27.0,green,97.0,green,,green,,green,,green,
53,2021-04-02,green,26.0,green,96.0,green,25.5,green,99.0,yellow,27.0,green,97.0,blue,,blue,,green,27.5,green,98.0,green,27.0,green,97.0,green,25.5,green,98.0,green,27.0,green,97.0,green,,green,,green,,green,
54,2021-04-03,green,25.5,green,98.0,green,26.0,green,99.0,green,26.5,green,97.0,blue,,blue,,green,27.0,green,99.0,green,27.5,green,98.0,green,25.5,green,99.0,green,26.5,green,99.0,green,,green,,green,,green,
55,2021-04-04,green,25.5,green,97.0,green,26.0,green,99.0,green,26.0,green,98.0,blue,,blue,,green,27.0,green,99.0,green,27.5,green,99.0,green,25.5,green,99.0,green,27.0,green,99.0,green,,green,,green,,green,
56,2021-04-05,green,25.5,green,97.0,green,26.0,green,99.0,green,26.0,green,96.0,blue,,blue,,green,27.0,green,97.0,green,27.5,green,97.0,green,25.5,green,99.0,green,27.0,green,99.0,green,,green,,green,,green,
57,2021-04-06,green,26.0,green,97.0,green,26.5,green,99.0,green,26.0,green,98.0,green,27.0,blue,,green,27.0,green,99.0,green,27.5,green,97.0,green,26.0,green,98.0,green,27.0,green,98.0,green,,green,,green,,green,
58,2021-04-07,green,26.0,green,96.0,green,27.0,green,99.0,green,26.5,green,98.0,green,27.0,green,98.0,green,27.0,green,99.0,green,27.5,green,98.0,green,26.5,green,99.0,green,27.5,green,99.0,green,,green,,green,,green,
59,2021-04-08,green,24.0,green,93.0,green,24.5,green,98.0,green,24.0,green,98.0,green,24.5,green,99.0,green,25.0,green,96.0,green,25.5,green,95.0,green,23.5,green,96.0,green,25.5,green,99.0,green,,green,,green,,green,
60,2021-04-09,green,25.0,green,99.0,green,26.0,green,99.0,green,25.5,green,99.0,green,26.0,green,95.0,green,26.0,green,99.0,green,27.0,green,99.0,green,25.0,green,94.0,green,26.5,green,98.0,green,,green,,green,,green,
61,2021-04-10,green,23.5,green,97.0,green,25.0,green,99.0,green,23.5,green,98.0,green,24.5,green,96.0,green,24.5,green,99.0,green,25.0,green,99.0,green,23.0,green,94.0,green,25.0,green,99.0,green,,green,,green,,green,
62,2021-04-11,green,22.5,green,96.0,green,24.0,green,99.0,green,23.0,green,99.0,green,24.0,green,96.0,green,24.0,green,99.0,green,24.0,green,99.0,green,22.0,green,97.0,green,24.5,green,99.0,green,,green,,green,,green,
63,2021-04-12,green,23.5,green,98.0,green,23.5,green,99.0,green,23.5,green,99.0,green,25.0,green,94.0,green,24.5,green,99.0,green,25.0,green,98.0,green,22.5,green,97.0,green,25.0,green,99.0,green,,green,,green,,green,
64,2021-04-13,green,23.0,green,99.0,green,22.5,green,99.0,green,23.0,green,99.0,green,24.5,green,93.0,green,24.0,green,99.0,green,24.5,green,99.0,yellow,22.5,green,93.0,green,24.5,green,99.0,green,,green,,green,,green,
65,2021-04-14,green,22.5,green,99.0,green,22.5,green,99.0,green,23.0,green,99.0,green,24.5,green,93.0,green,24.0,green,96.0,green,24.5,green,99.0,yellow,22.5,green,96.0,purple,105.5,green,99.0,purple,,green,,green,,green,
66,2021-04-15,green,22.0,green,99.0,green,23.0,green,98.0,green,22.5,green,98.0,green,23.0,green,96.0,green,23.0,green,99.0,green,23.0,green,99.0,green,23.0,green,97.0,green,128.0,green,99.0,green,,green,,green,,green,
67,2021-04-16,green,22.5,green,98.0,green,23.0,green,98.0,green,23.0,green,98.0,green,23.0,green,90.0,green,22.5,green,99.0,green,22.5,green,98.0,green,23.0,green,98.0,green,24.5,green,99.0,green,,green,,green,,green,
68,2021-04-17,green,22.0,green,97.0,green,22.5,green,99.0,green,22.0,green,99.0,green,22.5,green,95.0,green,22.0,green,97.0,green,22.0,green,96.0,green,22.5,green,98.0,green,24.0,green,99.0,green,,green,,green,,green,
69,2021-04-18,green,22.5,green,99.0,green,23.0,green,99.0,green,22.5,green,97.0,green,23.0,green,94.0,green,22.5,green,98.0,green,23.0,green,98.0,green,22.5,green,96.0,green,24.5,green,99.0,green,,green,,green,,green,
70,2021-04-19,green,22.0,green,96.0,green,23.5,green,99.0,green,22.5,green,96.0,green,24.0,green,92.0,green,23.0,green,99.0,green,24.0,green,96.0,green,23.0,green,96.0,green,23.5,green,98.0,green,,green,,green,,green,
71,2021-04-20,green,22.0,green,97.0,green,22.5,green,98.0,green,23.0,green,95.0,green,22.5,green,95.0,green,24.0,green,98.0,green,23.0,green,96.0,green,22.0,green,95.0,green,22.5,green,97.0,green,,green,,green,,green,
72,2021-04-21,green,21.5,green,95.0,green,22.5,green,99.0,green,23.0,green,97.0,green,22.5,green,91.0,green,23.0,green,98.0,green,23.0,green,94.0,yellow,22.5,green,96.0,green,22.5,green,98.0,green,,green,,green,,green,
73,2021-04-22,green,21.5,green,98.0,green,23.0,green,98.0,green,23.0,green,96.0,green,23.0,green,89.0,green,23.0,green,99.0,green,23.0,green,96.0,yellow,22.5,green,96.0,green,22.5,green,99.0,green,,green,,green,,green,
74,2021-04-23,green,21.0,green,97.0,green,22.5,green,98.0,green,23.0,green,93.0,green,22.5,green,86.0,green,22.5,green,99.0,green,22.5,green,94.0,green,22.5,green,95.0,green,22.0,green,99.0,green,,green,,green,,green,
75,2021-04-24,green,21.0,green,99.0,green,23.0,green,97.0,green,23.0,green,97.0,green,22.5,green,93.0,green,22.0,green,99.0,green,22.5,green,91.0,green,22.5,green,94.0,green,22.0,green,99.0,green,,green,,green,,green,
76,2021-04-25,green,21.5,green,98.0,green,23.0,green,99.0,green,23.5,green,97.0,green,23.5,green,90.0,green,22.5,green,98.0,green,23.5,green,95.0,green,22.5,green,97.0,green,22.5,green,98.0,green,,green,,green,,green,
77,2021-04-26,green,23.0,green,99.0,green,24.5,green,99.0,green,24.5,green,98.0,green,24.5,green,93.0,green,24.0,green,98.0,green,24.5,green,92.0,green,24.0,green,96.0,green,23.5,green,99.0,green,,green,,green,,green,
78,2021-04-27,green,24.5,green,98.0,green,26.0,green,96.0,green,26.0,green,98.0,green,25.5,green,95.0,green,25.5,green,99.0,green,26.0,green,98.0,green,26.0,green,99.0,green,25.0,green,99.0,green,,green,,green,,green,
79,2021-04-28,green,24.0,green,98.0,green,25.0,green,97.0,green,26.0,green,96.0,green,25.5,green,92.0,green,24.5,green,99.0,green,25.5,green,98.0,green,25.0,green,99.0,green,24.5,green,98.0,green,,green,,green,,green,
80,2021-04-29,green,22.5,green,98.0,green,23.5,green,99.0,green,24.5,green,95.0,green,24.5,green,97.0,green,23.5,green,99.0,green,24.5,green,99.0,green,24.0,green,98.0,green,23.5,green,98.0,green,,green,,green,,green,
81,2021-04-30,green,22.5,green,99.0,green,23.5,green,98.0,green,24.0,green,96.0,green,23.5,green,95.0,green,23.0,green,99.0,green,24.0,green,95.0,green,24.0,green,99.0,green,23.0,green,99.0,green,,green,,green,,green,
82,2021-05-01,green,22.5,green,99.0,green,24.0,green,99.0,green,24.0,green,98.0,green,23.5,green,94.0,green,23.5,green,99.0,green,24.5,green,97.0,green,23.5,green,98.0,green,23.0,green,96.0,green,,green,,green,,green,
83,2021-05-02,green,22.5,green,99.0,green,23.5,green,99.0,green,24.0,green,97.0,green,24.5,green,95.0,green,23.5,green,99.0,green,24.0,green,99.0,green,23.5,green,99.0,green,23.5,green,99.0,green,,green,,green,,green,
84,2021-05-03,green,23.5,green,99.0,green,24.5,green,99.0,green,24.5,green,99.0,green,24.0,green,95.0,green,24.5,green,98.0,green,25.0,green,99.0,green,24.5,green,97.0,green,24.0,green,99.0,green,,green,,green,,green,
85,2021-05-04,green,21.5,green,99.0,green,23.0,green,99.0,green,23.0,green,99.0,green,23.5,green,94.0,green,22.5,green,99.0,green,23.5,green,99.0,green,23.0,green,99.0,green,22.5,green,99.0,green,,green,,green,,green,
86,2021-05-05,green,21.0,green,98.0,green,22.5,green,99.0,green,22.5,green,98.0,green,22.0,green,94.0,green,22.0,green,99.0,green,23.0,green,98.0,green,22.5,green,98.0,green,22.0,green,98.0,green,,green,,green,,green,
87,2021-05-06,green,20.0,green,98.0,green,21.5,green,99.0,green,22.0,green,98.0,green,21.5,green,95.0,green,21.0,green,99.0,green,22.0,green,97.0,green,21.5,green,99.0,green,22.0,green,98.0,green,,green,,green,,green,
88,2021-05-07,green,20.5,green,96.0,green,20.5,green,98.0,green,22.0,green,97.0,green,21.0,green,95.0,green,21.0,green,98.0,green,22.0,green,95.0,green,20.5,green,99.0,green,22.0,green,99.0,green,,green,,green,,green,
89,2021-05-08,green,,green,97.0,green,,green,99.0,green,,green,95.0,green,,green,95.0,green,,green,99.0,green,,green,95.0,green,,green,98.0,green,,green,99.0,green,,green,,green,,green,
90,2021-05-09,green,,green,99.0,green,,green,99.0,green,,green,99.0,green,,green,93.0,green,,green,99.0,green,,green,98.0,green,,green,98.0,green,,green,99.0,green,,green,,green,,green,
91,2021-05-10,green,20.5,green,99.0,green,22.0,green,99.0,green,22.5,green,95.0,green,22.5,green,94.0,green,21.5,green,98.0,green,22.5,green,95.0,green,22.0,green,98.0,green,22.0,green,99.0,green,,green,,green,,green,
92,2021-05-11,green,20.5,green,99.0,green,22.0,green,99.0,green,22.5,green,97.0,green,22.0,green,96.0,green,21.5,green,99.0,green,22.5,green,96.0,green,22.0,green,98.0,green,22.0,green,99.0,green,,green,,green,,green,
93,2021-05-12,green,20.5,green,98.0,green,22.0,green,99.0,green,22.0,green,98.0,green,22.0,green,93.0,green,22.0,green,98.0,green,22.5,green,98.0,green,22.5,green,99.0,green,22.0,green,99.0,green,,green,,green,,green,
94,2021-05-13,green,21.5,green,99.0,green,23.0,green,99.0,green,22.5,green,97.0,green,22.0,green,96.0,green,22.5,green,99.0,green,23.5,green,96.0,yellow,23.0,green,98.0,yellow,22.0,green,99.0,green,,green,,green,,green,
95,2021-05-14,green,21.5,green,99.0,green,23.5,green,99.0,green,23.0,green,96.0,green,22.0,green,94.0,green,23.0,green,98.0,green,23.5,green,97.0,green,23.5,green,99.0,green,22.0,green,98.0,green,,green,,green,,green,
96,2021-05-15,green,21.0,green,97.0,green,23.0,green,97.0,green,22.5,green,93.0,green,22.0,green,94.0,green,22.5,green,99.0,green,23.0,green,97.0,green,22.0,green,95.0,green,22.0,green,99.0,green,,green,,green,,green,
97,2021-05-16,green,22.5,green,98.0,green,24.5,green,99.0,green,24.0,green,96.0,green,23.0,green,95.0,green,24.5,green,99.0,green,25.0,green,98.0,green,24.5,green,98.0,green,23.5,green,98.0,green,,green,,green,,green,
98,2021-05-17,green,23.5,green,98.0,green,25.0,green,99.0,green,25.0,green,96.0,green,24.0,green,96.0,green,25.0,green,95.0,green,26.0,green,99.0,green,25.5,green,97.0,green,24.0,green,99.0,green,,green,,green,,green,
99,2021-05-18,green,23.5,green,99.0,green,25.0,green,99.0,green,24.5,green,97.0,green,24.0,green,92.0,green,25.0,green,99.0,green,25.5,green,99.0,green,25.0,green,96.0,green,23.5,green,99.0,green,,green,,green,,green,
100,2021-05-19,green,24.0,green,99.0,green,25.5,green,99.0,green,25.0,green,95.0,green,23.5,green,87.0,green,25.5,green,99.0,green,26.5,green,98.0,green,26.0,green,99.0,green,24.0,green,99.0,green,,green,,green,,green,
101,2021-05-20,green,25.5,green,98.0,green,27.0,green,99.0,green,26.5,green,98.0,yellow,25.5,green,88.0,green,27.0,green,99.0,green,27.5,green,99.0,green,27.5,green,98.0,green,25.5,green,98.0,yellow,,green,,yellow,,green,
102,2021-05-21,green,25.5,green,99.0,green,27.0,green,96.0,green,26.5,green,97.0,yellow,25.5,green,94.0,green,27.0,green,98.0,green,27.5,green,99.0,green,27.5,green,99.0,green,25.5,green,98.0,yellow,,green,,yellow,,green,
103,2021-05-22,green,25.5,green,97.0,green,27.0,green,99.0,green,26.5,green,92.0,yellow,26.0,green,90.0,green,27.0,green,99.0,green,27.5,green,99.0,green,27.5,green,97.0,green,26.0,green,94.0,yellow,,green,,yellow,,green,
104,2021-05-23,yellow,26.5,green,99.0,yellow,28.0,green,97.0,yellow,27.5,green,95.0,yellow,26.5,green,90.0,green,27.5,green,96.0,green,28.0,green,99.0,yellow,28.5,green,96.0,yellow,26.5,green,95.0,yellow,,green,,yellow,,green,
105,2021-05-24,green,26.5,green,97.0,green,28.0,green,99.0,green,27.5,green,95.0,yellow,26.0,green,94.0,green,28.0,green,99.0,green,28.5,green,96.0,green,28.5,green,98.0,green,26.5,green,98.0,green,,green,,green,,green,
106,2021-05-25,yellow,27.0,green,99.0,green,28.0,green,99.0,yellow,28.0,green,93.0,yellow,27.0,green,95.0,yellow,28.5,green,97.0,green,29.0,green,99.0,green,29.0,green,97.0,yellow,27.5,green,98.0,yellow,,green,,yellow,,green,
107,2021-05-26,green,26.0,green,99.0,green,27.0,green,99.0,yellow,26.0,green,96.0,yellow,25.0,green,95.0,green,27.0,green,99.0,green,28.0,green,99.0,green,28.0,green,98.0,yellow,26.0,green,98.0,green,,green,,green,,green,
108,2021-05-27,green,25.0,green,99.0,green,26.5,green,99.0,green,25.5,green,97.0,green,24.0,green,90.0,green,26.0,green,99.0,green,27.0,green,99.0,green,27.0,green,99.0,green,25.0,green,99.0,green,,green,,green,,green,
109,2021-05-28,green,22.5,green,94.0,green,24.0,green,98.0,green,24.0,green,97.0,green,23.0,green,89.0,green,24.5,green,99.0,green,25.0,green,98.0,green,24.5,green,99.0,green,23.5,green,98.0,green,,green,,green,,green,
110,2021-05-29,green,21.0,green,98.0,green,22.5,green,99.0,green,23.5,green,98.0,green,22.0,green,96.0,green,23.0,green,99.0,green,23.5,green,98.0,green,22.5,green,98.0,green,23.0,green,99.0,green,,green,,green,,green,
111,2021-05-30,green,22.0,green,99.0,green,23.5,green,99.0,green,23.5,green,98.0,green,23.0,green,97.0,green,23.5,green,99.0,green,24.5,green,97.0,green,24.0,green,95.0,green,23.0,green,98.0,green,,green,,green,,green,
112,2021-05-31,green,23.0,green,98.0,green,24.5,green,99.0,green,24.0,green,98.0,green,23.5,green,95.0,green,24.5,green,96.0,green,25.5,green,99.0,green,25.0,green,99.0,green,23.5,green,99.0,green,,green,,green,,green,
113,2021-06-01,green,23.0,green,98.0,green,25.0,green,96.0,green,24.0,green,96.0,green,23.5,green,95.0,green,24.5,green,99.0,green,25.5,green,99.0,green,25.0,green,99.0,green,23.5,green,99.0,green,,green,,green,,green,
114,2021-06-02,green,23.5,green,99.0,green,25.0,green,96.0,green,24.5,green,97.0,green,23.0,green,94.0,green,25.0,green,99.0,green,25.5,green,99.0,green,25.0,green,99.0,green,23.5,green,98.0,green,,green,,green,,green,
115,2021-06-03,green,24.5,green,96.0,green,26.0,green,99.0,green,25.5,green,96.0,green,24.5,green,98.0,green,26.0,green,99.0,green,27.0,green,98.0,green,26.5,green,99.0,green,24.5,green,95.0,green,,green,,green,,green,
116,2021-06-04,green,26.0,green,98.0,green,27.5,green,97.0,yellow,26.5,green,92.0,yellow,26.0,green,91.0,green,27.5,green,99.0,green,28.0,green,99.0,green,28.0,green,99.0,green,26.0,green,97.0,yellow,,green,,yellow,,green,
117,2021-06-05,yellow,26.5,green,98.0,green,28.0,green,98.0,yellow,27.5,green,97.0,yellow,26.0,green,91.0,green,28.0,green,99.0,green,28.5,green,99.0,green,28.5,green,99.0,yellow,27.0,green,96.0,yellow,,green,,yellow,,green,
118,2021-06-06,green,26.0,green,99.0,green,27.5,green,99.0,green,26.0,green,96.0,green,25.0,green,94.0,green,27.5,green,99.0,green,28.5,green,99.0,green,28.0,green,99.0,green,25.5,green,96.0,green,,green,,green,,green,
119,2021-06-07,green,25.5,green,99.0,green,27.5,green,99.0,green,26.0,green,95.0,green,25.0,green,94.0,green,27.5,green,96.0,green,28.5,green,99.0,green,28.0,green,99.0,green,25.5,green,95.0,green,,green,,green,,green,
120,2021-06-08,green,25.0,green,98.0,green,26.5,green,99.0,green,25.0,green,98.0,green,24.5,green,95.0,green,27.0,green,99.0,green,28.0,green,99.0,green,27.5,green,98.0,green,24.5,green,96.0,green,,green,,green,,green,
121,2021-06-09,green,25.5,green,99.0,green,27.5,green,98.0,green,26.0,green,96.0,green,26.0,green,95.0,green,27.0,green,98.0,green,28.5,green,96.0,green,28.5,green,97.0,green,25.5,green,96.0,green,,green,,green,,green,
122,2021-06-10,yellow,27.0,green,99.0,green,28.5,green,99.0,yellow,27.5,green,95.0,yellow,27.0,green,93.0,yellow,28.5,green,98.0,green,29.0,green,99.0,green,29.0,green,99.0,green,27.0,green,98.0,yellow,,green,,yellow,,green,
