,Airspace id,Fullname,Date (America/Chicago),Temperature shock - color,Temperature (°C) - data,ReHS - color,ReHS - data
167,353,"Barn 1, Room 1",2020-12-21,green,,blue,
168,353,"Barn 1, Room 1",2020-12-22,green,,blue,
169,353,"Barn 1, Room 1",2020-12-23,green,,blue,
170,353,"Barn 1, Room 1",2020-12-24,blue,,blue,
171,353,"Barn 1, Room 1",2020-12-25,blue,,blue,
172,353,"Barn 1, Room 1",2020-12-26,blue,,blue,
173,353,"Barn 1, Room 1",2020-12-27,blue,,blue,
174,353,"Barn 1, Room 1",2020-12-28,blue,,blue,
175,353,"Barn 1, Room 1",2020-12-29,blue,,blue,
176,353,"Barn 1, Room 1",2020-12-30,blue,,blue,
177,353,"Barn 1, Room 1",2020-12-31,blue,,blue,
178,353,"Barn 1, Room 1",2021-01-01,blue,,blue,
179,353,"Barn 1, Room 1",2021-01-02,blue,,blue,
180,353,"Barn 1, Room 1",2021-01-03,blue,,blue,
0,353,"Barn 1, Room 1",2021-01-04,green,17.2,green,
1,353,"Barn 1, Room 1",2021-01-05,green,17.15,green,97.0
2,353,"Barn 1, Room 1",2021-01-06,green,16.92,green,96.0
3,353,"Barn 1, Room 1",2021-01-07,green,17.13,green,98.0
4,353,"Barn 1, Room 1",2021-01-08,green,17.08,green,96.0
5,353,"Barn 1, Room 1",2021-01-09,green,17.17,green,94.0
6,353,"Barn 1, Room 1",2021-01-10,green,17.25,green,96.0
7,353,"Barn 1, Room 1",2021-01-11,green,22.69,green,97.0
8,353,"Barn 1, Room 1",2021-01-12,green,27.36,green,98.0
9,353,"Barn 1, Room 1",2021-01-13,yellow,16.83,green,96.0
10,353,"Barn 1, Room 1",2021-01-14,green,16.76,green,98.0
11,353,"Barn 1, Room 1",2021-01-15,green,16.99,green,96.0
12,353,"Barn 1, Room 1",2021-01-16,green,16.81,green,93.0
13,353,"Barn 1, Room 1",2021-01-17,red,18.58,green,98.0
14,353,"Barn 1, Room 1",2021-01-18,green,30.59,green,96.0
15,353,"Barn 1, Room 1",2021-01-19,yellow,30.65,green,96.0
16,353,"Barn 1, Room 1",2021-01-20,yellow,30.79,green,95.0
17,353,"Barn 1, Room 1",2021-01-21,yellow,29.3,green,93.0
18,353,"Barn 1, Room 1",2021-01-22,green,29.56,green,92.0
19,353,"Barn 1, Room 1",2021-01-23,green,29.8,green,97.0
20,353,"Barn 1, Room 1",2021-01-24,yellow,29.16,green,96.0
21,353,"Barn 1, Room 1",2021-01-25,green,28.61,green,92.0
22,353,"Barn 1, Room 1",2021-01-26,blue,29.1,green,81.0
23,353,"Barn 1, Room 1",2021-01-27,green,29.28,green,95.0
24,353,"Barn 1, Room 1",2021-01-28,blue,29.01,green,97.0
25,353,"Barn 1, Room 1",2021-01-29,green,28.22,green,95.0
26,353,"Barn 1, Room 1",2021-01-30,red,29.01,green,97.0
27,353,"Barn 1, Room 1",2021-01-31,yellow,30.57,green,96.0
28,353,"Barn 1, Room 1",2021-02-01,green,28.28,green,93.0
29,353,"Barn 1, Room 1",2021-02-02,green,26.57,green,92.0
30,353,"Barn 1, Room 1",2021-02-03,green,26.62,green,92.0
31,353,"Barn 1, Room 1",2021-02-04,green,25.8,green,86.0
32,353,"Barn 1, Room 1",2021-02-05,green,25.9,green,92.0
33,353,"Barn 1, Room 1",2021-02-06,green,25.39,green,93.0
34,353,"Barn 1, Room 1",2021-02-07,green,25.1,green,89.0
35,353,"Barn 1, Room 1",2021-02-08,green,25.1,green,93.0
36,353,"Barn 1, Room 1",2021-02-09,green,24.75,green,83.0
37,353,"Barn 1, Room 1",2021-02-10,green,24.2,green,86.0
38,353,"Barn 1, Room 1",2021-02-11,green,23.69,green,91.0
39,353,"Barn 1, Room 1",2021-02-12,yellow,24.02,green,92.0
40,353,"Barn 1, Room 1",2021-02-13,green,24.0,green,91.0
41,353,"Barn 1, Room 1",2021-02-14,green,23.7,green,89.0
42,353,"Barn 1, Room 1",2021-02-15,green,23.8,green,94.0
43,353,"Barn 1, Room 1",2021-02-16,green,23.33,green,94.0
44,353,"Barn 1, Room 1",2021-02-17,green,22.98,green,94.0
45,353,"Barn 1, Room 1",2021-02-18,green,22.46,green,93.0
46,353,"Barn 1, Room 1",2021-02-19,yellow,22.49,green,93.0
47,353,"Barn 1, Room 1",2021-02-20,blue,23.12,green,94.0
48,353,"Barn 1, Room 1",2021-02-21,yellow,22.73,green,94.0
49,353,"Barn 1, Room 1",2021-02-22,yellow,22.44,green,91.0
50,353,"Barn 1, Room 1",2021-02-23,yellow,22.7,green,88.0
51,353,"Barn 1, Room 1",2021-02-24,yellow,22.41,green,91.0
52,353,"Barn 1, Room 1",2021-02-25,red,22.97,green,94.0
53,353,"Barn 1, Room 1",2021-02-26,green,22.68,green,91.0
54,353,"Barn 1, Room 1",2021-02-27,green,22.4,green,87.0
55,353,"Barn 1, Room 1",2021-02-28,yellow,21.96,green,85.0
56,353,"Barn 1, Room 1",2021-03-01,green,21.83,green,88.0
57,353,"Barn 1, Room 1",2021-03-02,yellow,21.51,green,88.0
58,353,"Barn 1, Room 1",2021-03-03,green,22.13,green,84.0
59,353,"Barn 1, Room 1",2021-03-04,green,21.3,green,88.0
60,353,"Barn 1, Room 1",2021-03-05,yellow,21.36,green,88.0
61,353,"Barn 1, Room 1",2021-03-06,green,21.31,green,90.0
62,353,"Barn 1, Room 1",2021-03-07,green,21.47,green,89.0
63,353,"Barn 1, Room 1",2021-03-08,green,22.46,green,91.0
64,353,"Barn 1, Room 1",2021-03-09,green,22.85,green,90.0
65,353,"Barn 1, Room 1",2021-03-10,green,22.84,green,86.0
66,353,"Barn 1, Room 1",2021-03-11,green,21.8,green,84.0
67,353,"Barn 1, Room 1",2021-03-12,green,21.96,green,88.0
68,353,"Barn 1, Room 1",2021-03-13,green,22.04,green,91.0
69,353,"Barn 1, Room 1",2021-03-14,green,21.59,green,92.0
70,353,"Barn 1, Room 1",2021-03-15,green,21.07,green,91.0
71,353,"Barn 1, Room 1",2021-03-16,green,22.0,green,95.0
72,353,"Barn 1, Room 1",2021-03-17,green,21.76,green,93.0
73,353,"Barn 1, Room 1",2021-03-18,green,21.65,green,94.0
74,353,"Barn 1, Room 1",2021-03-19,green,21.69,green,92.0
75,353,"Barn 1, Room 1",2021-03-20,green,21.97,green,94.0
76,353,"Barn 1, Room 1",2021-03-21,yellow,22.95,green,95.0
77,353,"Barn 1, Room 1",2021-03-22,yellow,22.57,green,95.0
78,353,"Barn 1, Room 1",2021-03-23,green,22.3,green,93.0
79,353,"Barn 1, Room 1",2021-03-24,green,21.99,green,93.0
80,353,"Barn 1, Room 1",2021-03-25,green,21.55,green,92.0
81,353,"Barn 1, Room 1",2021-03-26,green,21.66,green,92.0
82,353,"Barn 1, Room 1",2021-03-27,green,21.97,green,93.0
83,353,"Barn 1, Room 1",2021-03-28,green,21.13,green,90.0
84,353,"Barn 1, Room 1",2021-03-29,yellow,22.33,green,91.0
85,353,"Barn 1, Room 1",2021-03-30,green,22.02,green,93.0
86,353,"Barn 1, Room 1",2021-03-31,green,21.56,green,91.0
87,353,"Barn 1, Room 1",2021-04-01,yellow,21.66,green,93.0
88,353,"Barn 1, Room 1",2021-04-02,yellow,22.0,green,95.0
89,353,"Barn 1, Room 1",2021-04-03,yellow,22.89,green,95.0
