"ModelName","ModelAIC","Time_to_Convergence"
"Level1_glm",6878.07182818892,0.0163309574127197
"Level1_oinv_glm",6336.33069252399,0.0155229568481445
"Level1_inv_glm",6324.08450320083,0.0124187469482422
"Level2_a_glm",6527.5872203632,0.0198321342468262
"Level2_a_oinv_glm",6258.98942912315,0.0139937400817871
"Level2_a_inv_glm",6260.15502815547,0.00935721397399902
"Level2_b_glm",6521.49770161039,0.00947833061218262
"Level2_b_oinv_glm",6257.15890008834,0.0198001861572266
"Level2_b_inv_glm",6258.86964048697,0.013195276260376
"Level2_c_glm",6450.43148053337,0.014575719833374
"Level2_c_oinv_glm",6213.13912483744,0.028252124786377
"Level2_c_inv_glm",6213.45531234587,0.0153672695159912
"Level3_a_glmer",6298.07345217203,2.52523732185364
"Level3_a_oinv_glmer",6136.85603303768,0.680088043212891
"Level3_a_inv_glmer",6117.60899054579,2.67202019691467
"Level3_b_glmer",6242.05064551574,5.88673520088196
"Level3_b_oinv_glmer",6083.12436981361,6.29874205589294
"Level3_b_inv_glmer",6093.38857783815,9.64654564857483
"Level3_c_glmer",6264.45363524666,5.90740585327148
"Level3_c_oinv_glmer",6127.30761846001,6.01378631591797
"Level3_c_inv_glmer",6145.17136943532,5.0551118850708
"Level4_a_glmer",6146.70866927671,2.96015024185181
"Level4_a_oinv_glmer",6014.93252302354,2.21915483474731
"Level4_a_inv_glmer",6016.7570322175,2.88145422935486
"Level4_b_glmer",6111.33627500588,9.51055240631104
"Level4_b_oinv_glmer",5968.4580225071,11.5425226688385
"Level4_b_inv_glmer",6006.89119400127,17.9375386238098
"Level4_c_glmer",6026.63684308365,28.4331459999084
"Level4_c_oinv_glmer",6444.82817547175,8.32308745384216
"Level4_c_inv_glmer",6281.87678164439,67.7500236034393
