row,col,expected,actual,file
1153,10,a double,73.2.,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1970,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1971,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1972,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1973,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1974,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1975,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1976,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1977,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1978,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1979,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1980,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1981,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1982,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1983,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1984,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1985,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1986,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1987,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1988,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1989,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1990,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
1991,4,a double,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_01-04-2022.csv
