Order,GlobalID,Site,Site_NumericDate,Room,OldRoom,Site_Room,Turn,Site_Room_Turn,CalendarDate,NumericDate,Variable,Value
2,4NL2_1_44205,4NL2,4NL2_44205,1,1South,4NL2_1,1,4NL2_1_1,2021-01-09,44205,WaterDispRMS,36
2,4NL2_1_44205,4NL2,4NL2_44205,1,1South,4NL2_1,1,4NL2_1_1,2021-01-09,44205,WaterDispHdRMS,0.039647577092511016
4,4NL2_1_44207,4NL2,4NL2_44207,1,1South,4NL2_1,1,4NL2_1_1,2021-01-11,44207,WaterDispRMS,123
4,4NL2_1_44207,4NL2,4NL2_44207,1,1South,4NL2_1,1,4NL2_1_1,2021-01-11,44207,WaterDispHdRMS,0.043006993006993004
4,4NL2_1_44207,4NL2,4NL2_44207,1,1South,4NL2_1,1,4NL2_1_1,2021-01-11,44207,WaterDispVC,189
4,4NL2_1_44207,4NL2,4NL2_44207,1,1South,4NL2_1,1,4NL2_1_1,2021-01-11,44207,WaterDispHdVC,0.06608391608391609
5,4NL2_1_44208,4NL2,4NL2_44208,1,1South,4NL2_1,1,4NL2_1_1,2021-01-12,44208,WaterDispRMS,246
5,4NL2_1_44208,4NL2,4NL2_44208,1,1South,4NL2_1,1,4NL2_1_1,2021-01-12,44208,WaterDispHdRMS,0.08601398601398601
69,4NL2_1_44286,4NL2,4NL2_44286,1,1South,4NL2_1,2,4NL2_1_2,2021-03-31,44286,WaterDispVC,54
69,4NL2_1_44286,4NL2,4NL2_44286,1,1South,4NL2_1,2,4NL2_1_2,2021-03-31,44286,WaterDispHdVC,0.04251968503937008
70,4NL2_1_44287,4NL2,4NL2_44287,1,1South,4NL2_1,2,4NL2_1_2,2021-04-01,44287,WaterDispRMS,87
70,4NL2_1_44287,4NL2,4NL2_44287,1,1South,4NL2_1,2,4NL2_1_2,2021-04-01,44287,WaterDispHdRMS,0.06850393700787402
71,4NL2_1_44288,4NL2,4NL2_44288,1,1South,4NL2_1,2,4NL2_1_2,2021-04-02,44288,WaterDispRMS,167
71,4NL2_1_44288,4NL2,4NL2_44288,1,1South,4NL2_1,2,4NL2_1_2,2021-04-02,44288,WaterDispHdRMS,0.0741563055062167
71,4NL2_1_44288,4NL2,4NL2_44288,1,1South,4NL2_1,2,4NL2_1_2,2021-04-02,44288,WaterDispVC,219
71,4NL2_1_44288,4NL2,4NL2_44288,1,1South,4NL2_1,2,4NL2_1_2,2021-04-02,44288,WaterDispHdVC,0.09724689165186501
125,4NL2_1_44357,4NL2,4NL2_44357,1,1South,4NL2_1,3,4NL2_1_3,2021-06-10,44357,WaterDispRMS,69
125,4NL2_1_44357,4NL2,4NL2_44357,1,1South,4NL2_1,3,4NL2_1_3,2021-06-10,44357,WaterDispHdRMS,0.06540284360189573
