,Device id,Device name,Device code,Date (America/Chicago),Temperature shock - color,Temperature (°C) - data,ReHS - color,ReHS - data
3342,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-08,blue,,blue,
3343,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-09,blue,,blue,
3344,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-10,blue,,blue,
3345,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-11,blue,,blue,
3346,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-12,blue,,blue,
3347,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-13,blue,,blue,
3348,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-14,blue,,blue,
3349,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-15,blue,,blue,
3350,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-16,blue,,blue,
3351,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-17,blue,,blue,
3352,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-18,blue,,blue,
3353,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-19,blue,,blue,
3354,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-20,blue,,blue,
3355,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-21,blue,,blue,
3356,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-22,blue,,blue,
3357,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-23,blue,,blue,
3358,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-24,blue,,blue,
3359,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-25,red,,blue,
3360,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-26,red,26.5,red,
3361,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-27,red,25.0,red,26.0
3362,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-28,red,24.0,red,25.0
