,Date (America/Chicago),"Maschhoff_TPLJ_RM1_C Temp shock - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C Temp (°C) - data
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - data
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_E Temp shock - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E Temp (°C) - data
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - data
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_W Temp shock - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W Temp (°C) - data
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - data
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM2_C Temp shock - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C Temp (°C) - data
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - data
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_E Temp shock - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E Temp (°C) - data
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - data
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_W Temp shock - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W Temp (°C) - data
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - data
 (MO201301-MLJQ4R57)"
16,2021-03-31,yellow,,yellow,,green,,yellow,,yellow,,green,,green,20.0,yellow,46.0,red,,red,,green,22.0,green,68.0
17,2021-04-01,green,,yellow,,green,,yellow,,green,,green,,green,20.0,yellow,52.0,green,,red,,green,22.5,yellow,57.0
18,2021-04-02,yellow,,green,,green,,green,,yellow,,green,,yellow,20.5,green,70.0,yellow,,yellow,,green,22.0,green,87.0
19,2021-04-03,red,,green,,yellow,,green,,red,,green,,red,21.0,green,69.0,red,,red,,green,23.0,green,85.0
20,2021-04-04,red,,green,,yellow,,green,,yellow,,green,,yellow,22.5,green,78.0,green,,yellow,,yellow,23.5,green,91.0
21,2021-04-05,yellow,,green,,yellow,,green,,yellow,,green,,green,24.5,green,88.0,green,,yellow,,green,24.0,green,98.0
22,2021-04-06,green,,green,,green,,green,,green,,green,,green,23.5,green,88.0,green,,yellow,,green,23.0,green,98.0
23,2021-04-07,green,,green,,green,,green,,green,,green,,green,21.0,green,80.0,green,,yellow,,green,21.0,green,94.0
24,2021-04-08,green,,green,,green,,green,,green,,green,,green,18.0,green,69.0,green,,yellow,,green,21.0,green,85.0
25,2021-04-09,green,,green,,green,,green,,green,,green,,green,18.0,green,73.0,green,,yellow,,green,21.0,green,86.0
26,2021-04-10,green,,green,,green,,green,,green,,green,,green,18.0,green,77.0,yellow,,yellow,,green,21.0,green,86.0
27,2021-04-11,yellow,,green,,green,,green,,yellow,,green,,yellow,18.0,green,82.0,yellow,,green,,green,20.5,green,82.0
28,2021-04-12,yellow,,green,,green,,green,,green,,green,,green,17.5,green,85.0,green,,green,,green,19.5,green,87.0
29,2021-04-13,green,,green,,green,,green,,green,,green,,green,17.0,green,89.0,green,,green,,green,19.0,green,86.0
30,2021-04-14,green,,green,,yellow,,green,,green,,green,,green,16.5,green,89.0,yellow,,green,,green,18.5,green,92.0
31,2021-04-15,green,,green,,green,,green,,green,,green,,green,16.5,green,89.0,green,,green,,green,19.0,green,92.0
