"ModelName","ModelAIC","Time_to_Convergence"
"Level1_glm",23026.4489408742,0.0619757175445557
"Level1_oinv_glm",22479.1942135152,0.215387344360352
"Level1_inv_glm",22205.7096093578,0.0943291187286377
"Level2_a_glm",22565.366447912,0.232589483261108
"Level2_a_oinv_glm",22193.4663766744,0.252651214599609
"Level2_a_inv_glm",22083.3220621589,0.211565494537354
"Level2_b_glm",22454.1552664266,0.25905704498291
"Level2_b_oinv_glm",22101.3586364203,0.287512540817261
"Level2_b_inv_glm",22019.1290967541,0.514251708984375
"Level2_c_glm",22389.7195613796,0.2830650806427
"Level2_c_oinv_glm",22037.9659250772,0.478080749511719
"Level2_c_inv_glm",21972.9400333348,0.489932537078857
"Level3_a_glmer",21733.0124413831,86.5343236923218
"Level3_a_oinv_glmer",21450.466577422,57.737606048584
"Level3_a_inv_glmer",21404.1169457571,99.7351195812225
"Level3_b_glmer",21074.8741254794,268.865261793137
"Level3_c_oinv_glmer",20740.2821967812,586.235831737518
"Level4_a_glmer",21443.6639836023,60.4851961135864
"Level4_a_oinv_glmer",21217.4657714843,53.6472706794739
"Level4_a_inv_glmer",21170.8918043136,64.3765757083893
"Level4_b_oinv_glmer",20678.418117373,511.606602191925
"Level4_b_inv_glmer",20680.3807803599,631.059094190598
