,Date (America/Chicago),"Masc_CON2_RM2_W Temp shock - color
 (MO201901-M27NVRN2)","Masc_CON2_RM2_WTemp (°C) - data
 (MO201901-M27NVRN2)","Masc_CON2_RM2_W ReHS - color
 (MO201901-M27NVRN2)","Masc_CON2_RM2_W ReHS - data
(MO201901-M27NVRN2)","Masc_CON2_RM1_E Temp shock - color
 (MO201901-ZLBQ8MLB)","Masc_CON2_RM1_ETemp (°C) - data
 (MO201901-ZLBQ8MLB)","Masc_CON2_RM1_E ReHS - color
 (MO201901-ZLBQ8MLB)","Masc_CON2_RM1_E ReHS - data
(MO201901-ZLBQ8MLB)","Masc_CON2_RM2_E Temp shock - color
 (MO201901-G5SZFQP7)","Masc_CON2_RM2_ETemp (°C) - data
 (MO201901-G5SZFQP7)","Masc_CON2_RM2_E ReHS - color
 (MO201901-G5SZFQP7)","Masc_CON2_RM2_E ReHS - data
(MO201901-G5SZFQP7)","Masc_CON2_RM1_C Temp shock - color
 (MO202001-PRXSQLHL)","Masc_CON2_RM1_CTemp (°C) - data
 (MO202001-PRXSQLHL)","Masc_CON2_RM1_C ReHS - color
 (MO202001-PRXSQLHL)","Masc_CON2_RM1_C ReHS - data
(MO202001-PRXSQLHL)","Masc_CON2_RM2_C Temp shock - color
 (MO202101-HCX6C8CH)","Masc_CON2_RM2_CTemp (°C) - data
 (MO202101-HCX6C8CH)","Masc_CON2_RM2_C ReHS - color
 (MO202101-HCX6C8CH)","Masc_CON2_RM2_C ReHS - data
(MO202101-HCX6C8CH)","Masc_CON2_RM1_W Temp shock - color
 (MO202101-FDHQ4HCS)","Masc_CON2_RM1_WTemp (°C) - data
 (MO202101-FDHQ4HCS)","Masc_CON2_RM1_W ReHS - color
 (MO202101-FDHQ4HCS)","Masc_CON2_RM1_W ReHS - data
(MO202101-FDHQ4HCS)"
53,2021-01-31,green,25.0,yellow,45.0,green,24.0,green,68.0,green,23.0,yellow,46.0,green,23.0,green,74.0,green,23.5,yellow,52.0,green,,yellow,
54,2021-02-01,green,25.0,yellow,45.0,green,24.0,green,64.0,green,23.5,yellow,49.0,green,23.0,green,70.0,green,24.0,yellow,50.0,green,,yellow,
55,2021-02-02,green,24.5,yellow,50.0,green,23.5,green,66.0,green,23.0,green,54.0,green,23.0,green,67.0,green,23.0,yellow,52.0,green,,yellow,
56,2021-02-03,green,24.5,yellow,48.0,green,23.5,green,75.0,green,23.5,yellow,68.0,green,22.5,green,78.0,green,23.0,yellow,54.0,green,,green,
57,2021-02-04,green,24.0,green,52.0,green,23.5,green,68.0,green,23.5,yellow,50.0,green,23.0,green,77.0,green,23.0,yellow,51.0,green,,green,
58,2021-02-05,green,24.0,yellow,68.0,green,23.5,green,75.0,green,23.0,yellow,54.0,green,23.0,green,77.0,green,23.0,yellow,52.0,green,,yellow,
59,2021-02-06,green,24.0,yellow,56.0,green,23.5,green,68.0,green,23.0,green,55.0,green,23.0,green,80.0,green,23.0,yellow,51.0,green,,yellow,
60,2021-02-07,green,24.0,green,54.0,green,23.0,green,75.0,green,23.5,yellow,63.0,green,22.5,green,75.0,green,23.0,yellow,49.0,green,,green,
61,2021-02-08,green,24.0,green,64.0,green,23.0,green,69.0,green,23.0,yellow,53.0,green,22.5,green,81.0,green,22.5,yellow,51.0,green,,green,
62,2021-02-09,green,23.5,green,68.0,green,23.0,green,73.0,green,22.5,yellow,54.0,green,22.5,green,77.0,green,22.5,yellow,48.0,green,,green,
63,2021-02-10,green,23.5,green,73.0,green,23.0,green,77.0,green,22.5,green,56.0,green,22.5,green,78.0,green,22.5,green,55.0,green,,green,
64,2021-02-11,green,23.5,green,74.0,green,23.0,green,80.0,green,22.5,green,74.0,green,22.0,green,84.0,green,22.0,green,67.0,green,,green,
65,2021-02-12,green,23.5,green,74.0,green,23.0,green,88.0,green,22.5,green,71.0,green,22.0,green,80.0,green,22.0,green,66.0,green,,green,
66,2021-02-13,green,23.5,green,70.0,green,23.0,green,83.0,green,22.0,green,69.0,green,22.0,green,86.0,green,21.5,green,72.0,green,,green,
67,2021-02-14,green,23.0,green,77.0,green,23.0,green,80.0,green,21.5,green,75.0,green,22.0,green,83.0,green,21.5,green,73.0,green,,green,
68,2021-02-15,green,23.0,green,82.0,green,22.5,green,81.0,green,21.5,green,80.0,green,21.5,green,87.0,green,21.0,green,80.0,green,,green,
69,2021-02-16,green,23.0,green,76.0,green,22.5,green,82.0,green,21.5,green,87.0,green,21.0,green,87.0,green,21.0,green,85.0,green,,green,
70,2021-02-17,green,23.5,green,77.0,green,22.5,green,80.0,green,21.5,green,89.0,green,21.5,green,88.0,green,21.5,green,79.0,green,,green,
71,2021-02-18,green,23.0,green,81.0,green,22.5,green,80.0,green,21.5,green,89.0,green,22.0,green,86.0,green,21.0,green,80.0,green,,green,
72,2021-02-19,green,23.0,green,86.0,green,22.5,green,83.0,green,21.5,green,90.0,green,21.5,green,90.0,green,21.0,green,85.0,green,,green,
73,2021-02-20,green,23.0,green,78.0,green,22.0,green,89.0,green,21.5,green,92.0,green,21.0,green,95.0,green,21.0,green,79.0,green,,green,
74,2021-02-21,green,23.5,green,77.0,green,22.5,green,92.0,green,22.0,green,92.0,green,21.5,green,89.0,green,21.0,green,75.0,green,,green,
75,2021-02-22,green,23.0,green,71.0,green,22.5,green,94.0,green,22.0,green,98.0,green,21.0,green,95.0,green,20.5,green,86.0,green,,green,
76,2021-02-23,green,23.0,green,80.0,green,22.5,green,97.0,green,21.0,green,96.0,yellow,20.5,green,92.0,green,20.0,green,88.0,green,,green,
77,2021-02-24,green,23.0,green,84.0,green,22.5,green,97.0,green,21.5,green,96.0,green,20.5,green,95.0,green,21.0,green,86.0,green,,green,
78,2021-02-25,green,22.5,green,84.0,green,22.5,green,94.0,green,21.5,green,97.0,green,20.5,green,93.0,green,21.0,green,87.0,green,,green,
79,2021-02-26,green,22.5,green,86.0,green,22.0,green,96.0,green,21.0,green,95.0,yellow,20.0,green,94.0,green,20.5,green,92.0,green,,green,
80,2021-02-27,green,23.0,green,82.0,green,22.0,green,95.0,green,21.5,green,98.0,green,20.5,green,95.0,green,21.0,green,83.0,green,,green,
81,2021-02-28,green,22.5,green,88.0,green,22.0,green,96.0,green,21.0,green,97.0,yellow,19.5,green,95.0,green,20.5,green,82.0,green,,green,
