,Date (America/Chicago),"Masc_CON2_RM2_W Temp shock - color
 (MO201901-M27NVRN2)","Masc_CON2_RM2_WTemp (°C) - data
 (MO201901-M27NVRN2)","Masc_CON2_RM2_W ReHS - color
 (MO201901-M27NVRN2)","Masc_CON2_RM2_W ReHS - data
(MO201901-M27NVRN2)","Masc_CON2_RM1_E Temp shock - color
 (MO201901-ZLBQ8MLB)","Masc_CON2_RM1_ETemp (°C) - data
 (MO201901-ZLBQ8MLB)","Masc_CON2_RM1_E ReHS - color
 (MO201901-ZLBQ8MLB)","Masc_CON2_RM1_E ReHS - data
(MO201901-ZLBQ8MLB)","Masc_CON2_RM2_E Temp shock - color
 (MO201901-G5SZFQP7)","Masc_CON2_RM2_ETemp (°C) - data
 (MO201901-G5SZFQP7)","Masc_CON2_RM2_E ReHS - color
 (MO201901-G5SZFQP7)","Masc_CON2_RM2_E ReHS - data
(MO201901-G5SZFQP7)","Masc_CON2_RM1_C Temp shock - color
 (MO202001-PRXSQLHL)","Masc_CON2_RM1_CTemp (°C) - data
 (MO202001-PRXSQLHL)","Masc_CON2_RM1_C ReHS - color
 (MO202001-PRXSQLHL)","Masc_CON2_RM1_C ReHS - data
(MO202001-PRXSQLHL)","Masc_CON2_RM2_C Temp shock - color
 (MO202101-HCX6C8CH)","Masc_CON2_RM2_CTemp (°C) - data
 (MO202101-HCX6C8CH)","Masc_CON2_RM2_C ReHS - color
 (MO202101-HCX6C8CH)","Masc_CON2_RM2_C ReHS - data
(MO202101-HCX6C8CH)","Masc_CON2_RM1_W Temp shock - color
 (MO202101-FDHQ4HCS)","Masc_CON2_RM1_WTemp (°C) - data
 (MO202101-FDHQ4HCS)","Masc_CON2_RM1_W ReHS - color
 (MO202101-FDHQ4HCS)","Masc_CON2_RM1_W ReHS - data
(MO202101-FDHQ4HCS)"
0,2020-12-09,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
1,2020-12-10,green,29.5,green,,green,29.0,green,,green,31.0,green,,green,29.0,green,,green,29.5,green,,green,,green,
2,2020-12-11,green,29.5,green,99.0,green,28.5,green,98.0,green,31.0,green,97.0,green,29.0,green,93.0,green,29.5,green,96.0,green,,green,
3,2020-12-12,green,29.0,green,96.0,green,29.0,green,95.0,green,30.0,green,98.0,green,29.0,green,94.0,green,29.5,green,97.0,green,,green,
4,2020-12-13,green,29.0,green,99.0,green,28.5,green,99.0,green,28.5,green,98.0,green,29.0,green,98.0,green,29.5,green,99.0,green,,green,
5,2020-12-14,green,28.5,green,99.0,green,28.5,green,98.0,green,28.0,green,96.0,green,29.0,green,98.0,green,29.5,green,99.0,green,,green,
6,2020-12-15,green,28.5,green,99.0,green,28.0,green,96.0,green,27.5,green,97.0,green,28.5,green,97.0,green,29.5,green,99.0,green,,green,
7,2020-12-16,green,28.5,green,99.0,green,28.0,green,98.0,green,28.0,green,97.0,green,28.0,green,96.0,green,29.0,green,99.0,green,,green,
8,2020-12-17,green,28.5,green,99.0,green,28.0,green,97.0,green,27.5,green,97.0,green,28.0,green,94.0,green,28.5,green,99.0,green,,green,
9,2020-12-18,green,28.5,green,99.0,green,28.0,green,98.0,green,27.5,green,98.0,green,27.5,green,94.0,green,28.5,green,99.0,green,,green,
10,2020-12-19,green,28.0,green,99.0,green,28.0,green,96.0,green,27.0,green,97.0,green,27.5,green,94.0,green,27.5,green,98.0,green,,green,
11,2020-12-20,green,28.0,green,98.0,green,27.5,green,97.0,green,27.0,green,98.0,green,27.0,green,97.0,green,27.0,green,97.0,green,,green,
12,2020-12-21,green,28.0,green,98.0,green,28.0,green,96.0,green,27.0,green,98.0,green,27.0,green,94.0,green,27.0,green,97.0,green,,green,
13,2020-12-22,green,27.5,green,98.0,green,27.5,green,99.0,green,26.5,green,96.0,green,26.0,green,96.0,green,26.5,green,96.0,green,,green,
14,2020-12-23,green,27.5,green,97.0,green,27.5,green,97.0,green,26.5,green,90.0,green,26.5,green,95.0,green,26.5,green,93.0,green,,green,
15,2020-12-24,green,27.0,green,92.0,green,27.0,green,95.0,green,25.5,green,81.0,green,26.5,green,95.0,green,26.5,green,85.0,green,,green,
16,2020-12-25,green,27.0,green,94.0,green,26.5,green,92.0,green,25.5,green,88.0,green,26.0,green,99.0,green,26.5,green,82.0,green,,green,
17,2020-12-26,green,27.0,green,88.0,green,27.0,green,95.0,green,26.0,green,80.0,green,25.5,green,95.0,green,26.0,green,82.0,green,,green,
18,2020-12-27,green,27.0,green,95.0,green,26.5,green,89.0,green,26.0,green,85.0,green,25.5,green,92.0,green,26.0,green,84.0,green,,green,
19,2020-12-28,green,26.5,green,93.0,green,26.5,green,93.0,green,25.5,green,89.0,green,25.5,green,94.0,green,26.0,green,84.0,green,,green,
20,2020-12-29,green,26.5,green,95.0,green,26.5,green,89.0,green,25.5,yellow,74.0,green,25.0,green,91.0,green,25.5,green,82.0,green,,green,
21,2020-12-30,green,26.5,green,91.0,green,26.5,green,86.0,green,25.5,green,56.0,green,25.0,green,85.0,green,25.5,green,74.0,green,,green,
22,2020-12-31,green,26.5,green,92.0,green,26.0,green,86.0,green,25.0,green,84.0,green,25.0,green,91.0,green,25.5,green,85.0,green,,green,
23,2021-01-01,green,26.5,green,95.0,green,26.0,green,76.0,green,25.5,green,75.0,green,25.0,green,86.0,green,25.5,green,84.0,green,,green,
24,2021-01-02,green,26.5,green,94.0,green,25.5,green,68.0,green,25.0,yellow,67.0,green,24.5,green,78.0,green,25.5,green,76.0,green,,green,
25,2021-01-03,green,26.5,green,91.0,green,25.0,green,86.0,green,25.0,yellow,56.0,green,24.0,green,84.0,green,25.0,green,78.0,green,,green,
26,2021-01-04,green,27.0,green,89.0,green,25.5,green,90.0,green,26.0,green,55.0,green,24.0,green,82.0,green,25.0,green,79.0,green,,green,
27,2021-01-05,green,26.5,green,93.0,green,25.5,green,95.0,green,25.5,yellow,70.0,green,23.5,green,91.0,green,25.0,green,83.0,green,,green,
28,2021-01-06,green,27.0,green,93.0,green,25.5,green,91.0,green,26.0,green,57.0,green,23.0,green,89.0,green,25.0,green,76.0,green,,green,
29,2021-01-07,green,26.5,green,95.0,green,25.0,green,96.0,green,25.5,green,64.0,green,23.0,green,92.0,green,24.5,green,72.0,green,,green,
30,2021-01-08,green,27.0,green,91.0,green,25.5,green,84.0,green,25.5,green,77.0,green,23.5,green,75.0,green,25.0,green,82.0,green,,green,
31,2021-01-09,green,26.0,green,95.0,green,25.0,green,79.0,green,25.0,green,84.0,green,23.5,green,72.0,green,24.5,green,89.0,green,,green,
32,2021-01-10,green,26.0,green,92.0,green,25.5,green,84.0,green,25.0,green,84.0,green,23.5,green,77.0,green,24.0,green,91.0,green,,green,
33,2021-01-11,green,26.0,green,98.0,green,25.5,green,87.0,green,25.5,green,90.0,green,23.0,green,74.0,green,24.0,green,88.0,green,,green,
34,2021-01-12,green,26.5,green,91.0,green,25.0,green,90.0,green,25.5,green,83.0,green,23.0,green,80.0,green,24.0,green,89.0,green,,green,
35,2021-01-13,green,26.0,green,92.0,green,25.0,green,92.0,green,26.0,green,80.0,green,23.5,green,80.0,green,24.5,green,84.0,green,,green,
36,2021-01-14,green,26.5,green,85.0,green,25.0,green,92.0,green,25.5,green,74.0,green,24.0,green,84.0,green,25.0,green,78.0,green,,green,
37,2021-01-15,green,26.0,green,88.0,green,24.5,green,95.0,green,24.5,yellow,76.0,green,22.5,yellow,84.0,green,24.0,green,74.0,green,,yellow,
38,2021-01-16,green,25.5,green,80.0,green,25.0,green,75.0,green,24.5,green,56.0,green,23.5,green,56.0,green,24.0,green,68.0,green,,green,
39,2021-01-17,green,26.0,green,79.0,green,25.0,green,82.0,green,24.5,green,64.0,green,23.5,green,64.0,green,24.0,green,72.0,green,,green,
40,2021-01-18,green,26.0,green,85.0,green,24.5,green,84.0,green,24.5,green,72.0,green,23.0,green,74.0,green,23.5,green,75.0,green,,green,
41,2021-01-19,green,26.0,green,82.0,green,24.5,green,91.0,green,24.0,green,81.0,green,23.0,green,80.0,green,23.5,green,86.0,green,,green,
42,2021-01-20,green,25.5,green,85.0,green,23.5,green,88.0,green,24.0,green,85.0,green,22.5,green,87.0,green,22.0,green,92.0,green,,green,
43,2021-01-21,green,25.5,green,82.0,green,23.0,green,85.0,green,24.5,green,88.0,green,23.0,green,84.0,green,22.5,green,91.0,green,,green,
44,2021-01-22,green,25.0,green,87.0,green,22.5,green,78.0,green,24.0,green,82.0,green,23.0,green,78.0,green,23.5,green,83.0,green,,green,
45,2021-01-23,green,25.0,green,83.0,green,22.5,green,79.0,green,23.5,green,80.0,green,23.0,green,81.0,green,23.0,green,82.0,green,,green,
46,2021-01-24,green,25.0,green,80.0,green,23.0,green,79.0,green,24.5,green,86.0,green,23.5,green,78.0,green,22.5,green,83.0,green,,green,
47,2021-01-25,green,25.0,green,80.0,green,23.0,green,71.0,green,24.0,green,79.0,green,24.0,green,75.0,green,23.5,green,86.0,green,,green,
48,2021-01-26,green,25.0,green,84.0,green,23.0,green,75.0,green,24.5,green,87.0,green,23.5,green,72.0,green,23.5,green,88.0,green,,green,
49,2021-01-27,green,25.0,green,91.0,green,23.0,green,64.0,green,24.0,green,90.0,green,23.0,green,71.0,green,23.5,green,89.0,green,,green,
50,2021-01-28,green,25.0,green,91.0,green,22.0,green,74.0,green,23.5,green,87.0,green,22.5,green,71.0,green,22.5,green,92.0,green,,green,
51,2021-01-29,green,25.0,green,93.0,green,21.5,green,86.0,green,23.0,green,90.0,green,23.0,green,82.0,green,22.5,green,92.0,green,,green,
52,2021-01-30,green,25.0,yellow,75.0,green,23.0,green,78.0,green,23.5,yellow,80.0,green,22.5,green,79.0,green,23.0,yellow,79.0,green,,yellow,
