"ModelName","ModelAIC","Time_to_Convergence"
"Level1_glm",9719.97019925633,0.0171196460723877
"Level1_oinv_glm",8987.27584182669,0.01739501953125
"Level1_inv_glm",8987.6301312398,0.01395583152771
"Level2_a_glm",9218.5342135135,0.0211563110351562
"Level2_a_oinv_glm",8898.89489230829,0.0141937732696533
"Level2_a_inv_glm",8883.51717419057,0.0100233554840088
"Level2_b_glm",9156.95176794614,0.0101902484893799
"Level2_b_oinv_glm",8896.69820432749,0.0213253498077393
"Level2_b_inv_glm",8877.03009043387,0.0142123699188232
"Level2_c_glm",9026.63821141055,0.0153191089630127
"Level2_c_oinv_glm",8816.63481584999,0.0305311679840088
"Level2_c_inv_glm",8785.24512985496,0.0180957317352295
"Level3_a_glmer",8869.59917975165,2.40046763420105
"Level3_a_oinv_glmer",8658.54986748761,1.33861780166626
"Level3_a_inv_glmer",8642.90555544596,1.24316120147705
"Level3_b_glmer",8674.20919533358,7.25788807868958
"Level3_b_oinv_glmer",8542.5777242558,10.1582067012787
"Level3_b_inv_glmer",8520.34834161655,16.142778635025
"Level3_c_glmer",8690.35270401776,4.30524277687073
"Level3_c_oinv_glmer",8588.1907357012,11.8828363418579
"Level3_c_inv_glmer",8559.32706858018,7.47580599784851
"Level4_a_glmer",8527.68180957588,2.31065106391907
"Level4_a_oinv_glmer",8323.55054820455,2.52201962471008
"Level4_a_inv_glmer",8324.86323058309,1.9085898399353
"Level4_b_glmer",8455.04716520475,8.0435516834259
"Level4_b_oinv_glmer",8231.91962188496,13.5177557468414
"Level4_b_inv_glmer",8276.0076630655,10.6566281318665
"Level4_c_glmer",8697.90561049179,12.2920496463776
"Level4_c_oinv_glmer",8408.23937158676,29.4094707965851
"Level4_c_inv_glmer",8693.33217147095,9.07846450805664
