,Date (America/Chicago),"Masc_CON2_RM1_C Temp shock - color
 (MO202001-PRXSQLHL)","Masc_CON2_RM1_C Temp (°C) - data
 (MO202001-PRXSQLHL)","Masc_CON2_RM1_C ReHS - color
 (MO202001-PRXSQLHL)","Masc_CON2_RM1_C ReHS - data
 (MO202001-PRXSQLHL)","Masc_CON2_RM1_E Temp shock - color
 (MO201901-ZLBQ8MLB)","Masc_CON2_RM1_E Temp (°C) - data
 (MO201901-ZLBQ8MLB)","Masc_CON2_RM1_E ReHS - color
 (MO201901-ZLBQ8MLB)","Masc_CON2_RM1_E ReHS - data
 (MO201901-ZLBQ8MLB)","Masc_CON2_RM1_W Temp shock - color
 (MO202101-FDHQ4HCS)","Masc_CON2_RM1_W Temp (°C) - data
 (MO202101-FDHQ4HCS)","Masc_CON2_RM1_W ReHS - color
 (MO202101-FDHQ4HCS)","Masc_CON2_RM1_W ReHS - data
 (MO202101-FDHQ4HCS)","Masc_CON2_RM2_C Temp shock - color
 (MO202101-HCX6C8CH)","Masc_CON2_RM2_C Temp (°C) - data
 (MO202101-HCX6C8CH)","Masc_CON2_RM2_C ReHS - color
 (MO202101-HCX6C8CH)","Masc_CON2_RM2_C ReHS - data
 (MO202101-HCX6C8CH)","Masc_CON2_RM2_E Temp shock - color
 (MO201901-G5SZFQP7)","Masc_CON2_RM2_E Temp (°C) - data
 (MO201901-G5SZFQP7)","Masc_CON2_RM2_E ReHS - color
 (MO201901-G5SZFQP7)","Masc_CON2_RM2_E ReHS - data
 (MO201901-G5SZFQP7)","Masc_CON2_RM2_W Temp shock - color
 (MO201901-M27NVRN2)","Masc_CON2_RM2_W Temp (°C) - data
 (MO201901-M27NVRN2)","Masc_CON2_RM2_W ReHS - color
 (MO201901-M27NVRN2)","Masc_CON2_RM2_W ReHS - data
 (MO201901-M27NVRN2)"
504,2022-04-26,yellow,16.5,green,96.0,green,20.0,green,97.0,green,20.0,green,97.0,yellow,17.0,green,97.0,green,19.0,green,97.0,green,20.0,green,96.0
505,2022-04-27,yellow,18.0,green,96.0,yellow,21.0,green,98.0,yellow,20.5,green,97.0,green,18.5,green,97.0,yellow,20.0,green,99.0,yellow,20.0,green,99.0
506,2022-04-28,green,19.0,green,96.0,green,21.5,green,98.0,green,20.5,green,98.0,green,20.0,green,96.0,green,20.5,green,97.0,green,20.5,green,94.0
507,2022-04-29,green,19.5,green,98.0,green,21.5,green,97.0,green,20.0,green,97.0,green,21.0,green,96.0,green,21.0,green,99.0,green,21.0,green,99.0
508,2022-04-30,green,18.5,green,97.0,green,20.5,green,98.0,green,20.5,green,97.0,green,19.5,green,98.0,green,19.0,green,98.0,green,20.5,green,98.0
509,2022-05-01,green,16.5,green,99.0,green,19.0,green,99.0,green,20.5,green,99.0,green,17.0,green,94.0,green,18.5,green,97.0,green,20.5,green,99.0
510,2022-05-02,green,16.0,green,98.0,green,19.0,green,97.0,green,21.0,green,97.0,green,16.0,green,97.0,green,18.5,green,98.0,green,20.0,green,96.0
511,2022-05-03,yellow,17.0,green,86.0,green,19.0,green,97.0,green,20.5,green,97.0,yellow,17.5,green,96.0,green,18.5,green,96.0,green,20.0,green,99.0
512,2022-05-04,green,18.0,green,96.0,green,20.0,green,98.0,green,20.0,green,96.0,green,18.5,green,95.0,green,19.5,green,97.0,green,20.0,green,98.0
513,2022-05-05,green,19.0,green,99.0,green,20.5,green,97.0,yellow,20.0,green,99.0,green,20.0,green,97.0,green,19.5,green,96.0,yellow,20.0,green,98.0
514,2022-05-06,yellow,19.5,green,99.0,green,21.5,green,99.0,yellow,20.0,green,98.0,green,20.5,green,98.0,yellow,21.0,green,97.0,yellow,20.5,green,96.0
515,2022-05-07,green,20.5,green,96.0,green,22.0,green,99.0,yellow,21.0,green,96.0,yellow,21.0,green,97.0,green,21.5,green,99.0,green,21.0,green,98.0
516,2022-05-08,green,20.0,green,99.0,green,21.0,green,98.0,green,20.0,green,95.0,green,21.0,green,99.0,green,21.0,green,99.0,green,21.0,green,99.0
517,2022-05-09,red,25.0,green,97.0,red,26.0,green,98.0,red,25.0,green,95.0,red,26.0,green,97.0,red,26.0,green,98.0,red,26.0,green,98.0
518,2022-05-10,red,23.0,green,96.0,yellow,24.0,green,99.0,red,22.5,green,93.0,yellow,23.5,green,96.0,yellow,23.5,green,99.0,red,23.0,green,97.0
519,2022-05-11,red,27.5,green,97.0,red,28.0,green,98.0,red,27.0,green,98.0,red,27.5,green,99.0,red,27.5,green,97.0,red,27.5,green,97.0
520,2022-05-12,red,28.0,green,99.0,red,29.0,green,97.0,red,28.0,green,97.0,red,28.0,green,99.0,red,28.0,green,98.0,red,28.0,green,98.0
521,2022-05-13,red,22.5,green,99.0,red,23.5,green,98.0,red,22.0,green,97.0,red,22.5,green,98.0,red,22.5,green,99.0,red,22.0,green,98.0
522,2022-05-14,red,23.5,green,97.0,yellow,24.5,green,99.0,red,23.0,green,97.0,red,24.0,green,97.0,red,23.5,green,99.0,red,24.0,green,98.0
523,2022-05-15,yellow,21.0,green,97.0,yellow,22.0,green,99.0,red,20.5,green,97.0,yellow,22.0,green,96.0,yellow,21.5,green,97.0,red,21.5,green,99.0
524,2022-05-16,red,22.5,green,99.0,yellow,23.5,green,98.0,red,22.5,green,97.0,red,23.0,green,98.0,red,23.0,green,99.0,red,23.5,green,99.0
525,2022-05-17,green,20.5,green,95.0,green,22.0,green,98.0,green,20.0,green,93.0,green,21.0,green,97.0,green,21.0,green,98.0,green,20.5,green,97.0
526,2022-05-18,yellow,22.5,green,97.0,yellow,23.5,green,99.0,red,22.0,green,97.0,yellow,23.5,green,97.0,yellow,23.0,green,99.0,red,23.5,green,99.0
527,2022-05-19,red,25.5,green,97.0,red,26.0,green,99.0,red,25.0,green,98.0,red,25.5,green,98.0,red,25.5,green,98.0,red,25.0,green,97.0
528,2022-05-20,green,20.0,green,97.0,green,21.0,green,97.0,green,19.5,green,97.0,green,21.5,green,98.0,green,20.5,green,99.0,yellow,21.5,green,98.0
529,2022-05-21,green,18.5,green,96.0,green,20.0,green,99.0,yellow,20.0,green,96.0,yellow,19.0,green,96.0,green,19.0,green,96.0,yellow,20.0,green,97.0
530,2022-05-22,green,18.5,green,95.0,green,20.5,green,97.0,green,19.5,green,96.0,green,19.0,green,93.0,green,20.0,green,95.0,green,20.5,green,97.0
531,2022-05-23,green,20.0,green,96.0,green,21.5,green,97.0,green,21.0,green,91.0,green,20.0,green,91.0,green,20.5,green,97.0,green,20.5,green,95.0
532,2022-05-24,green,20.0,green,97.0,green,21.0,green,96.0,green,21.5,green,96.0,green,20.0,green,96.0,green,20.5,green,97.0,green,21.0,green,99.0
533,2022-05-25,green,19.5,green,96.0,green,20.5,green,98.0,green,21.5,green,96.0,green,19.0,green,97.0,green,20.0,green,98.0,green,21.5,green,96.0
534,2022-05-26,green,18.5,green,96.0,green,20.0,green,99.0,green,20.5,green,95.0,green,19.0,green,95.0,green,19.5,green,99.0,green,20.5,green,98.0
535,2022-05-27,yellow,20.0,green,95.0,yellow,22.0,green,97.0,yellow,21.5,green,94.0,yellow,20.5,green,95.0,yellow,21.5,green,96.0,yellow,21.5,green,99.0
536,2022-05-28,red,24.5,green,97.0,yellow,25.5,green,98.0,red,24.5,green,93.0,red,25.0,green,97.0,yellow,24.5,green,99.0,red,24.5,green,99.0
537,2022-05-29,green,25.5,green,98.0,green,26.5,green,97.0,green,25.0,green,96.0,green,25.5,green,97.0,green,25.5,green,96.0,green,25.5,green,97.0
538,2022-05-30,red,26.5,green,99.0,yellow,27.0,green,97.0,red,26.0,green,98.0,red,26.5,green,99.0,red,26.5,green,96.0,red,26.5,green,97.0
539,2022-05-31,yellow,22.0,green,97.0,yellow,23.0,green,96.0,yellow,21.5,green,92.0,yellow,22.5,green,96.0,yellow,22.0,green,98.0,yellow,22.0,green,96.0
540,2022-06-01,yellow,19.5,green,94.0,green,21.0,green,99.0,green,20.0,green,89.0,yellow,20.5,green,93.0,green,20.5,green,97.0,green,21.0,green,96.0
541,2022-06-02,red,21.0,green,94.0,yellow,22.5,green,97.0,yellow,22.0,green,93.0,yellow,21.5,green,95.0,yellow,22.0,green,97.0,yellow,22.5,green,97.0
542,2022-06-03,yellow,21.5,green,94.0,yellow,23.0,green,97.0,red,22.0,green,93.0,yellow,22.0,green,96.0,yellow,22.0,green,99.0,red,23.0,green,97.0
543,2022-06-04,green,21.0,green,96.0,green,21.5,green,96.0,green,20.5,green,93.0,green,21.0,green,95.0,green,20.5,green,99.0,green,21.0,green,96.0
544,2022-06-05,green,21.5,green,97.0,green,22.0,green,96.0,green,21.5,green,93.0,green,22.0,green,96.0,green,21.5,green,99.0,green,22.0,green,98.0
545,2022-06-06,blue,20.0,blue,,blue,20.5,blue,,blue,19.5,blue,,green,21.5,green,97.0,green,21.0,green,99.0,green,21.5,green,97.0
546,2022-06-07,blue,,blue,,blue,,blue,,blue,,blue,,green,22.5,green,97.0,green,22.0,green,99.0,green,22.5,green,97.0
547,2022-06-08,blue,,blue,,blue,,blue,,blue,,blue,,yellow,22.5,green,98.0,yellow,22.0,green,97.0,yellow,22.5,green,97.0
548,2022-06-09,blue,,blue,,blue,,blue,,blue,,blue,,green,22.0,green,99.0,green,21.5,green,98.0,green,22.0,green,98.0
549,2022-06-10,blue,,blue,,blue,,blue,,blue,,blue,,blue,21.5,blue,98.0,blue,20.5,blue,98.0,blue,21.0,blue,98.0
550,2022-06-11,blue,,blue,,blue,,blue,,blue,,blue,,blue,19.5,blue,,blue,18.5,blue,,blue,19.5,green,
551,2022-06-12,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,green,
552,2022-06-13,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,green,
553,2022-06-14,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,green,
554,2022-06-15,green,27.0,blue,,green,28.0,blue,,green,27.0,blue,,blue,,blue,,blue,,blue,,blue,,green,
555,2022-06-16,green,,blue,,green,,blue,,green,,blue,,blue,,blue,,blue,,blue,,blue,,green,
556,2022-06-17,green,,blue,,green,,blue,,green,,blue,,blue,,blue,,blue,,blue,,blue,,green,
557,2022-06-18,green,,blue,,green,,blue,,green,,blue,,blue,,blue,,blue,,blue,,blue,,green,
558,2022-06-19,green,,blue,,green,,blue,,green,,blue,,blue,,blue,,blue,,blue,,blue,,green,
559,2022-06-20,green,,blue,,green,,blue,,green,,blue,,blue,,blue,,blue,,blue,,blue,,green,
560,2022-06-21,green,,blue,,green,,blue,,green,,blue,,blue,,blue,,blue,,blue,,blue,,green,
561,2022-06-22,green,,blue,,green,,blue,,green,,blue,,blue,,blue,,blue,,blue,,blue,,green,
562,2022-06-23,green,,blue,,green,,blue,,green,,blue,,blue,,blue,,blue,,blue,,blue,,green,
563,2022-06-24,green,,blue,,green,,blue,,green,,blue,,blue,,blue,,blue,,blue,,blue,,green,
564,2022-06-25,green,,blue,,green,,blue,,green,,blue,,blue,,blue,,blue,,blue,,blue,,green,
565,2022-06-26,green,,blue,,green,,blue,,green,,blue,,blue,,blue,,blue,,blue,,blue,,green,
566,2022-06-27,green,,blue,,green,,blue,,green,,blue,,blue,,blue,,blue,,blue,,blue,,green,
567,2022-06-28,green,,blue,,green,,blue,,green,,blue,,blue,,blue,,blue,,blue,,blue,,green,
568,2022-06-29,green,,blue,,green,,blue,,green,,blue,,blue,,blue,,blue,,blue,,blue,,green,
569,2022-06-30,green,,blue,,green,,blue,,green,,blue,,blue,,blue,,blue,,blue,,blue,,green,
570,2022-07-01,yellow,27.5,blue,,yellow,28.5,blue,,yellow,28.5,blue,,green,29.0,blue,,yellow,28.5,blue,,yellow,29.5,blue,
571,2022-07-02,yellow,27.5,green,92.0,green,28.5,green,96.0,yellow,27.5,green,96.0,green,28.5,green,94.0,green,27.5,green,97.0,green,28.5,green,93.0
572,2022-07-03,green,28.0,green,88.0,green,29.0,green,97.0,green,28.0,green,97.0,green,29.0,green,93.0,green,28.0,green,99.0,green,29.0,green,95.0
573,2022-07-04,yellow,29.0,green,92.0,green,30.0,green,97.0,green,29.0,green,94.0,green,29.5,green,95.0,green,29.0,green,97.0,green,30.0,green,96.0
574,2022-07-05,yellow,29.0,green,91.0,green,30.0,green,97.0,yellow,29.0,green,91.0,yellow,29.5,green,96.0,green,30.0,green,97.0,green,30.0,green,95.0
575,2022-07-06,green,26.5,green,94.0,green,28.0,green,95.0,green,27.5,green,93.0,green,27.0,green,89.0,green,27.5,green,96.0,green,28.0,green,96.0
576,2022-07-07,green,27.0,green,93.0,green,29.0,green,97.0,green,27.5,green,91.0,green,27.5,green,94.0,green,28.0,green,96.0,green,28.5,green,93.0
577,2022-07-08,green,27.5,green,88.0,green,28.5,green,95.0,green,28.0,green,86.0,green,28.0,green,91.0,green,28.5,green,96.0,green,28.5,green,92.0
578,2022-07-09,green,27.5,green,93.0,green,29.0,green,94.0,green,28.0,green,91.0,yellow,28.0,green,91.0,green,28.5,green,92.0,green,28.5,green,93.0
579,2022-07-10,green,28.0,green,89.0,green,29.0,green,92.0,green,28.0,green,89.0,green,28.0,green,89.0,green,28.5,green,94.0,green,28.5,green,95.0
580,2022-07-11,green,27.0,green,89.0,green,28.5,green,85.0,yellow,28.0,green,86.0,yellow,28.0,green,95.0,green,28.0,green,96.0,green,28.5,green,95.0
581,2022-07-12,green,26.5,green,82.0,green,28.0,green,80.0,green,27.0,green,84.0,yellow,28.0,green,93.0,green,27.5,green,95.0,green,28.0,green,98.0
582,2022-07-13,yellow,27.0,green,74.0,green,28.5,green,78.0,green,27.5,green,80.0,green,28.0,green,93.0,green,28.5,green,95.0,green,28.5,green,96.0
583,2022-07-14,yellow,28.5,green,78.0,green,29.5,green,85.0,green,28.5,green,84.0,green,28.5,green,94.0,green,29.0,green,97.0,green,29.0,green,96.0
584,2022-07-15,green,28.5,green,77.0,green,29.5,green,87.0,green,28.5,green,82.0,yellow,29.5,green,94.0,green,29.5,green,95.0,green,29.5,green,94.0
585,2022-07-16,green,26.5,green,75.0,green,28.0,green,76.0,green,28.0,green,77.0,green,27.5,green,92.0,green,28.0,green,95.0,green,28.5,green,93.0
586,2022-07-17,yellow,27.5,green,71.0,green,29.0,green,80.0,green,28.0,green,75.0,yellow,28.5,green,94.0,green,29.0,green,95.0,green,28.5,green,93.0
587,2022-07-18,yellow,28.0,green,77.0,yellow,29.5,green,81.0,green,28.5,green,79.0,yellow,28.5,green,92.0,yellow,29.0,green,92.0,green,28.5,green,94.0
588,2022-07-19,yellow,28.0,green,69.0,green,29.0,green,78.0,green,28.5,green,68.0,yellow,28.5,green,89.0,yellow,29.0,green,89.0,yellow,29.0,green,92.0
589,2022-07-20,yellow,27.0,green,73.0,green,28.5,green,84.0,green,27.5,green,84.0,yellow,28.5,green,86.0,green,28.5,green,88.0,green,29.0,green,88.0
590,2022-07-21,yellow,27.5,green,85.0,yellow,29.0,green,82.0,yellow,27.0,green,92.0,yellow,28.5,green,78.0,yellow,29.0,green,91.0,yellow,29.0,green,82.0
591,2022-07-22,yellow,28.0,green,88.0,yellow,29.5,green,86.0,yellow,28.0,green,92.0,yellow,28.5,green,82.0,green,29.0,green,86.0,green,29.0,green,85.0
592,2022-07-23,yellow,29.0,green,82.0,green,29.5,green,87.0,green,29.0,green,89.0,green,29.5,green,76.0,green,29.0,green,82.0,green,29.5,green,75.0
593,2022-07-24,green,26.5,green,82.0,green,28.0,green,89.0,green,27.5,green,95.0,yellow,28.0,green,78.0,green,28.0,green,83.0,green,28.0,green,75.0
594,2022-07-25,green,25.5,green,87.0,green,27.0,green,86.0,green,26.0,green,92.0,green,26.0,green,71.0,green,26.0,green,78.0,green,26.5,green,77.0
595,2022-07-26,green,26.5,green,85.0,green,28.0,green,86.0,green,27.0,green,96.0,green,27.0,green,79.0,green,27.0,green,81.0,green,27.0,green,83.0
596,2022-07-27,yellow,27.0,green,84.0,yellow,28.5,green,84.0,green,27.5,green,88.0,yellow,28.0,green,74.0,green,28.5,green,83.0,green,28.5,green,73.0
597,2022-07-28,green,25.5,green,77.0,green,27.0,green,91.0,green,27.0,green,87.0,green,27.0,green,73.0,green,27.0,green,79.0,green,27.5,green,79.0
598,2022-07-29,yellow,26.0,green,79.0,green,27.0,green,87.0,green,26.5,green,89.0,yellow,27.0,green,75.0,green,27.0,green,84.0,green,27.0,green,79.0
599,2022-07-30,yellow,26.5,green,80.0,green,28.0,green,88.0,green,27.0,green,89.0,yellow,27.0,green,73.0,green,27.0,green,84.0,green,27.0,green,76.0
600,2022-07-31,green,27.0,green,85.0,green,28.0,green,94.0,green,27.5,green,93.0,green,27.5,green,76.0,green,28.0,green,86.0,green,28.0,green,78.0
601,2022-08-01,yellow,27.0,green,77.0,green,28.0,green,89.0,green,27.5,green,91.0,yellow,28.5,green,72.0,yellow,28.5,green,86.0,yellow,28.5,green,76.0
602,2022-08-02,yellow,29.0,green,88.0,yellow,30.0,green,97.0,yellow,29.5,green,93.0,green,29.5,green,78.0,green,29.0,green,86.0,yellow,29.5,green,80.0
603,2022-08-03,yellow,29.0,green,96.0,yellow,29.5,green,98.0,green,29.0,green,92.0,yellow,30.0,green,91.0,yellow,29.5,green,96.0,green,30.0,green,85.0
604,2022-08-04,yellow,26.0,green,78.0,green,27.5,green,89.0,green,27.0,green,84.0,green,27.5,green,72.0,green,28.0,green,81.0,green,28.0,green,75.0
605,2022-08-05,yellow,27.0,green,80.0,yellow,28.5,green,95.0,yellow,28.0,green,76.0,yellow,28.0,green,68.0,yellow,28.0,green,77.0,yellow,28.5,green,77.0
606,2022-08-06,yellow,29.0,green,83.0,yellow,29.5,green,94.0,yellow,29.0,green,71.0,yellow,29.5,green,67.0,yellow,29.0,green,79.0,yellow,29.5,green,68.0
607,2022-08-07,green,27.0,green,93.0,green,27.5,green,98.0,green,27.0,green,78.0,green,28.0,green,82.0,green,27.5,green,87.0,green,28.0,green,67.0
608,2022-08-08,yellow,24.5,green,72.0,green,26.5,green,85.0,green,26.0,green,74.0,green,26.5,green,63.0,green,26.5,green,71.0,green,27.0,green,68.0
609,2022-08-09,yellow,25.5,green,75.0,yellow,27.0,green,91.0,green,26.5,green,77.0,yellow,27.0,yellow,59.0,yellow,27.0,green,74.0,green,27.0,green,77.0
610,2022-08-10,yellow,26.5,green,77.0,yellow,28.0,green,91.0,yellow,27.0,green,82.0,yellow,28.0,yellow,59.0,yellow,28.0,green,82.0,yellow,28.0,green,81.0
611,2022-08-11,yellow,26.5,green,84.0,yellow,28.0,green,88.0,yellow,27.5,green,91.0,yellow,28.0,green,69.0,green,28.0,green,84.0,green,28.0,green,79.0
612,2022-08-12,yellow,27.0,green,93.0,yellow,28.0,green,99.0,yellow,27.5,green,96.0,yellow,28.0,green,77.0,yellow,27.5,green,89.0,yellow,28.0,green,82.0
613,2022-08-13,green,26.0,green,92.0,green,26.5,green,97.0,green,26.0,green,93.0,green,27.0,green,78.0,green,27.0,green,91.0,green,27.5,green,75.0
614,2022-08-14,green,24.0,green,80.0,green,26.0,green,91.0,green,25.5,green,91.0,green,26.0,green,68.0,green,26.0,green,81.0,green,26.5,green,76.0
615,2022-08-15,green,22.5,green,69.0,green,25.0,green,88.0,green,24.5,green,92.0,green,24.5,yellow,59.0,green,25.0,green,65.0,green,26.0,green,83.0
