,Date (America/Chicago),"Maschhoff_G1TC_RM1_CC Temp shock - color
 (MO201901-5K656G4J)","Maschhoff_G1TC_RM1_CC Temp (°C) - data
 (MO201901-5K656G4J)","Maschhoff_G1TC_RM1_CC ReHS - color
 (MO201901-5K656G4J)","Maschhoff_G1TC_RM1_CC ReHS - data
 (MO201901-5K656G4J)","Maschhoff_G1TC_RM1_N Temp shock - color
 (MO202101-LPSDQKHB)","Maschhoff_G1TC_RM1_N Temp (°C) - data
 (MO202101-LPSDQKHB)","Maschhoff_G1TC_RM1_N ReHS - color
 (MO202101-LPSDQKHB)","Maschhoff_G1TC_RM1_N ReHS - data
 (MO202101-LPSDQKHB)","Maschhoff_G1TC_RM1_NC Temp shock - color
 (MO201901-CP26R28V)","Maschhoff_G1TC_RM1_NC Temp (°C) - data
 (MO201901-CP26R28V)","Maschhoff_G1TC_RM1_NC ReHS - color
 (MO201901-CP26R28V)","Maschhoff_G1TC_RM1_NC ReHS - data
 (MO201901-CP26R28V)","Maschhoff_G1TC_RM1_S Temp shock - color
 (MO201601-FTC7LCLZ)","Maschhoff_G1TC_RM1_S Temp (°C) - data
 (MO201601-FTC7LCLZ)","Maschhoff_G1TC_RM1_S ReHS - color
 (MO201601-FTC7LCLZ)","Maschhoff_G1TC_RM1_S ReHS - data
 (MO201601-FTC7LCLZ)","Maschhoff_G1TC_RM1_SC Temp shock - color
 (MO202201-X2LJ7F79)","Maschhoff_G1TC_RM1_SC Temp (°C) - data
 (MO202201-X2LJ7F79)","Maschhoff_G1TC_RM1_SC ReHS - color
 (MO202201-X2LJ7F79)","Maschhoff_G1TC_RM1_SC ReHS - data
 (MO202201-X2LJ7F79)","Maschhoff_G1TC_RM2_CC Temp shock - color
 (MO201601-9CXHNX97)","Maschhoff_G1TC_RM2_CC Temp (°C) - data
 (MO201601-9CXHNX97)","Maschhoff_G1TC_RM2_CC ReHS - color
 (MO201601-9CXHNX97)","Maschhoff_G1TC_RM2_CC ReHS - data
 (MO201601-9CXHNX97)","Maschhoff_G1TC_RM2_N Temp shock - color
 (MO201901-2MLQLGBV)","Maschhoff_G1TC_RM2_N Temp (°C) - data
 (MO201901-2MLQLGBV)","Maschhoff_G1TC_RM2_N ReHS - color
 (MO201901-2MLQLGBV)","Maschhoff_G1TC_RM2_N ReHS - data
 (MO201901-2MLQLGBV)","Maschhoff_G1TC_RM2_NC Temp shock - color
 (MO202601-HV4JJK6F)","Maschhoff_G1TC_RM2_NC Temp (°C) - data
 (MO202601-HV4JJK6F)","Maschhoff_G1TC_RM2_NC ReHS - color
 (MO202601-HV4JJK6F)","Maschhoff_G1TC_RM2_NC ReHS - data
 (MO202601-HV4JJK6F)","Maschhoff_G1TC_RM2_S Temp shock - color
 (MO201901-2BC5ZZKR)","Maschhoff_G1TC_RM2_S Temp (°C) - data
 (MO201901-2BC5ZZKR)","Maschhoff_G1TC_RM2_S ReHS - color
 (MO201901-2BC5ZZKR)","Maschhoff_G1TC_RM2_S ReHS - data
 (MO201901-2BC5ZZKR)","Maschhoff_G1TC_RM2_SC Temp shock - color
 (MO201401-P9DTQ8WT)","Maschhoff_G1TC_RM2_SC Temp (°C) - data
 (MO201401-P9DTQ8WT)","Maschhoff_G1TC_RM2_SC ReHS - color
 (MO201401-P9DTQ8WT)","Maschhoff_G1TC_RM2_SC ReHS - data
 (MO201401-P9DTQ8WT)"
18,2021-01-08,green,16.5,green,98.0,green,17.0,green,99.0,green,17.0,green,99.0,green,17.0,green,99.0,green,18.0,green,96.0,green,28.5,green,99.0,green,27.5,green,98.0,green,27.5,green,96.0,green,28.5,green,99.0,green,29.0,green,97.0
19,2021-01-09,green,17.0,green,96.0,green,17.0,green,94.0,green,17.0,green,95.0,green,17.0,green,99.0,green,18.0,green,98.0,green,28.0,green,99.0,green,28.0,green,94.0,green,28.0,green,92.0,green,28.5,green,99.0,green,29.0,green,98.0
20,2021-01-10,green,17.0,green,97.0,green,17.0,green,96.0,green,17.0,green,97.0,green,17.0,green,96.0,green,18.0,green,96.0,green,28.0,green,99.0,blue,28.0,green,93.0,green,28.0,green,91.0,green,28.5,green,97.0,green,29.0,green,99.0
21,2021-01-11,green,17.0,green,99.0,green,17.0,green,97.0,green,17.0,green,99.0,green,44.5,green,99.0,green,18.0,green,98.0,green,29.0,green,99.0,green,28.0,green,96.0,green,27.5,green,96.0,green,28.5,green,96.0,green,29.5,green,98.0
22,2021-01-12,green,17.0,green,98.0,green,17.0,green,99.0,green,17.0,green,98.0,green,68.0,green,99.0,green,18.0,green,99.0,green,29.0,green,98.0,green,28.0,green,93.0,green,27.5,green,94.0,green,28.5,green,98.0,green,29.0,green,93.0
23,2021-01-13,yellow,16.5,green,99.0,green,16.5,green,96.0,green,16.5,green,98.0,green,16.5,green,99.0,green,18.0,green,96.0,green,28.5,green,97.0,green,28.5,green,92.0,green,28.0,green,88.0,green,28.0,green,99.0,green,29.0,green,99.0
24,2021-01-14,green,16.5,green,98.0,green,16.5,green,98.0,green,16.5,green,99.0,green,16.5,green,99.0,green,17.5,green,99.0,green,29.0,green,99.0,green,28.0,green,95.0,green,28.0,green,96.0,green,28.5,green,99.0,green,29.0,green,97.0
25,2021-01-15,green,16.5,green,96.0,green,17.0,green,99.0,green,17.0,green,98.0,green,17.0,green,96.0,green,18.0,green,97.0,green,29.0,green,98.0,green,28.0,green,96.0,green,28.0,green,92.0,green,28.5,green,99.0,green,29.5,green,90.0
26,2021-01-16,green,16.5,green,99.0,green,16.5,green,93.0,green,16.5,green,97.0,green,16.5,green,98.0,green,18.0,green,99.0,green,28.5,green,99.0,green,28.5,green,95.0,green,27.5,green,90.0,green,28.0,green,99.0,green,29.0,green,97.0
27,2021-01-17,red,18.0,green,99.0,red,18.0,green,98.0,red,18.0,green,98.0,red,18.5,green,99.0,red,20.0,green,99.0,green,28.5,green,97.0,green,28.5,green,99.0,green,27.5,green,97.0,green,28.0,green,99.0,green,29.0,green,99.0
28,2021-01-18,green,30.5,green,98.0,green,27.5,green,97.0,green,28.5,green,98.0,green,32.5,green,96.0,green,34.0,green,99.0,green,29.0,green,99.0,green,28.0,green,99.0,green,27.5,green,95.0,green,28.5,green,99.0,green,29.0,green,98.0
29,2021-01-19,yellow,31.5,green,96.0,green,28.5,green,99.0,green,29.0,green,99.0,yellow,31.5,green,98.0,green,33.0,green,96.0,green,29.0,green,99.0,green,28.0,green,92.0,green,27.5,green,86.0,green,28.5,green,99.0,green,29.0,green,91.0
30,2021-01-20,green,31.5,green,96.0,green,28.5,green,97.0,green,29.0,green,96.0,yellow,32.0,green,99.0,green,33.0,green,95.0,green,28.5,green,98.0,green,28.5,green,68.0,green,28.0,green,70.0,green,28.5,green,99.0,green,29.0,green,99.0
