,Date (America/Chicago),"Maschhoff_G1TC_RM1_CC Temp shock - color
 (MO201901-5K656G4J)","Maschhoff_G1TC_RM1_CC Temp (°C) - data
 (MO201901-5K656G4J)","Maschhoff_G1TC_RM1_CC ReHS - color
 (MO201901-5K656G4J)","Maschhoff_G1TC_RM1_CC ReHS - data
 (MO201901-5K656G4J)","Maschhoff_G1TC_RM1_N Temp shock - color
 (MO202101-LPSDQKHB)","Maschhoff_G1TC_RM1_N Temp (°C) - data
 (MO202101-LPSDQKHB)","Maschhoff_G1TC_RM1_N ReHS - color
 (MO202101-LPSDQKHB)","Maschhoff_G1TC_RM1_N ReHS - data
 (MO202101-LPSDQKHB)","Maschhoff_G1TC_RM1_NC Temp shock - color
 (MO201901-CP26R28V)","Maschhoff_G1TC_RM1_NC Temp (°C) - data
 (MO201901-CP26R28V)","Maschhoff_G1TC_RM1_NC ReHS - color
 (MO201901-CP26R28V)","Maschhoff_G1TC_RM1_NC ReHS - data
 (MO201901-CP26R28V)","Maschhoff_G1TC_RM1_S Temp shock - color
 (MO201601-FTC7LCLZ)","Maschhoff_G1TC_RM1_S Temp (°C) - data
 (MO201601-FTC7LCLZ)","Maschhoff_G1TC_RM1_S ReHS - color
 (MO201601-FTC7LCLZ)","Maschhoff_G1TC_RM1_S ReHS - data
 (MO201601-FTC7LCLZ)","Maschhoff_G1TC_RM1_SC Temp shock - color
 (MO202201-X2LJ7F79)","Maschhoff_G1TC_RM1_SC Temp (°C) - data
 (MO202201-X2LJ7F79)","Maschhoff_G1TC_RM1_SC ReHS - color
 (MO202201-X2LJ7F79)","Maschhoff_G1TC_RM1_SC ReHS - data
 (MO202201-X2LJ7F79)","Maschhoff_G1TC_RM2_CC Temp shock - color
 (MO201601-9CXHNX97)","Maschhoff_G1TC_RM2_CC Temp (°C) - data
 (MO201601-9CXHNX97)","Maschhoff_G1TC_RM2_CC ReHS - color
 (MO201601-9CXHNX97)","Maschhoff_G1TC_RM2_CC ReHS - data
 (MO201601-9CXHNX97)","Maschhoff_G1TC_RM2_N Temp shock - color
 (MO201901-2MLQLGBV)","Maschhoff_G1TC_RM2_N Temp (°C) - data
 (MO201901-2MLQLGBV)","Maschhoff_G1TC_RM2_N ReHS - color
 (MO201901-2MLQLGBV)","Maschhoff_G1TC_RM2_N ReHS - data
 (MO201901-2MLQLGBV)","Maschhoff_G1TC_RM2_NC Temp shock - color
 (MO202601-HV4JJK6F)","Maschhoff_G1TC_RM2_NC Temp (°C) - data
 (MO202601-HV4JJK6F)","Maschhoff_G1TC_RM2_NC ReHS - color
 (MO202601-HV4JJK6F)","Maschhoff_G1TC_RM2_NC ReHS - data
 (MO202601-HV4JJK6F)","Maschhoff_G1TC_RM2_S Temp shock - color
 (MO201901-2BC5ZZKR)","Maschhoff_G1TC_RM2_S Temp (°C) - data
 (MO201901-2BC5ZZKR)","Maschhoff_G1TC_RM2_S ReHS - color
 (MO201901-2BC5ZZKR)","Maschhoff_G1TC_RM2_S ReHS - data
 (MO201901-2BC5ZZKR)","Maschhoff_G1TC_RM2_SC Temp shock - color
 (MO201401-P9DTQ8WT)","Maschhoff_G1TC_RM2_SC Temp (°C) - data
 (MO201401-P9DTQ8WT)","Maschhoff_G1TC_RM2_SC ReHS - color
 (MO201401-P9DTQ8WT)","Maschhoff_G1TC_RM2_SC ReHS - data
 (MO201401-P9DTQ8WT)"
60,2021-02-19,green,22.0,green,97.0,green,23.0,green,97.0,green,22.5,green,96.0,yellow,22.0,green,99.0,green,23.5,green,93.0,green,23.0,green,96.0,green,23.0,green,96.0,green,23.0,green,98.0,green,23.5,green,92.0,green,23.5,green,92.0
61,2021-02-20,green,22.0,green,96.0,green,24.0,green,96.0,blue,23.0,green,97.0,yellow,22.5,green,96.0,green,24.0,green,94.0,green,24.5,green,97.0,green,24.5,green,92.0,blue,24.5,green,92.0,green,25.0,green,89.0,green,25.0,green,84.0
62,2021-02-21,green,22.0,green,96.0,green,24.0,green,95.0,green,23.0,green,99.0,yellow,21.0,green,94.0,green,23.5,green,94.0,green,24.0,green,96.0,green,24.5,green,88.0,green,24.0,green,93.0,green,25.0,green,87.0,green,25.0,green,85.0
63,2021-02-22,green,21.5,green,94.0,green,23.5,green,95.0,green,22.5,green,91.0,yellow,20.5,green,97.0,green,24.0,green,92.0,green,24.0,green,97.0,green,24.0,green,91.0,green,24.5,green,95.0,green,24.5,green,89.0,green,25.0,green,84.0
64,2021-02-23,green,22.5,green,91.0,green,23.5,green,88.0,green,23.0,green,91.0,yellow,20.5,green,94.0,green,24.5,green,96.0,green,23.5,green,98.0,green,23.0,green,88.0,green,23.5,green,95.0,green,23.5,green,82.0,green,24.0,green,85.0
65,2021-02-24,green,22.0,green,93.0,green,23.0,green,94.0,green,23.0,green,92.0,yellow,20.0,green,91.0,green,24.5,green,92.0,green,22.5,green,98.0,green,22.0,green,89.0,green,22.0,green,94.0,green,22.5,green,89.0,green,23.5,green,87.0
66,2021-02-25,green,22.5,green,96.0,green,23.5,green,96.0,green,23.0,green,94.0,red,21.5,green,97.0,yellow,24.5,green,96.0,green,23.0,green,99.0,green,22.0,green,97.0,green,22.0,green,98.0,green,22.5,green,92.0,green,23.5,green,93.0
67,2021-02-26,green,22.0,green,94.0,green,23.5,green,95.0,green,23.0,green,93.0,green,20.5,green,95.0,green,24.5,green,91.0,green,23.0,green,98.0,green,22.0,green,95.0,green,22.0,green,96.0,green,22.5,green,87.0,green,23.5,green,88.0
68,2021-02-27,green,22.0,green,89.0,green,23.0,green,88.0,green,22.5,green,91.0,green,20.0,green,96.0,green,24.5,green,87.0,green,22.5,green,94.0,green,22.0,green,90.0,green,22.5,green,94.0,green,22.5,green,89.0,green,23.0,green,81.0
69,2021-02-28,green,22.0,green,85.0,green,22.5,green,90.0,green,22.0,green,93.0,yellow,19.5,green,97.0,green,24.0,green,88.0,green,22.5,green,97.0,green,22.0,green,90.0,green,22.0,green,91.0,green,22.5,green,90.0,green,23.0,green,79.0
70,2021-03-01,green,21.5,green,94.0,green,22.0,green,89.0,green,22.0,green,88.0,green,20.0,green,97.0,green,24.0,green,92.0,green,22.0,green,97.0,green,21.0,green,96.0,green,21.0,green,96.0,green,21.5,green,93.0,green,22.5,green,87.0
71,2021-03-02,green,21.0,green,90.0,green,22.0,green,90.0,green,21.5,green,88.0,yellow,20.0,green,92.0,green,23.0,green,89.0,green,21.5,green,94.0,green,21.0,green,92.0,green,21.0,green,90.0,green,21.5,green,85.0,green,22.0,green,83.0
72,2021-03-03,green,22.0,green,90.0,green,22.5,green,84.0,green,22.0,green,90.0,green,21.0,green,92.0,green,23.5,green,85.0,green,22.0,green,97.0,green,21.5,green,88.0,green,22.0,green,90.0,green,22.0,green,88.0,green,22.5,green,90.0
73,2021-03-04,green,21.0,green,93.0,green,21.5,green,94.0,green,21.0,green,91.0,green,20.0,green,97.0,green,23.0,green,88.0,green,21.5,green,95.0,green,21.0,green,92.0,green,21.5,green,92.0,green,21.5,green,92.0,green,22.0,green,89.0
74,2021-03-05,green,21.0,green,88.0,green,21.5,green,91.0,green,21.0,green,88.0,yellow,20.0,green,97.0,green,23.0,green,90.0,green,21.5,green,93.0,green,20.5,green,86.0,green,21.0,green,82.0,green,21.5,green,90.0,green,22.0,green,87.0
75,2021-03-06,green,21.0,green,92.0,green,22.0,green,90.0,green,21.0,green,93.0,green,19.5,green,94.0,green,23.0,green,92.0,green,21.5,green,88.0,green,20.5,green,78.0,green,21.0,green,78.0,green,21.0,green,85.0,green,21.5,green,83.0
76,2021-03-07,green,21.5,green,97.0,green,22.0,green,89.0,green,21.0,green,94.0,green,20.0,green,94.0,green,23.0,green,91.0,green,21.5,green,90.0,green,21.0,green,88.0,green,21.5,green,87.0,green,21.5,green,88.0,green,22.0,green,86.0
77,2021-03-08,green,22.0,green,97.0,green,22.5,green,91.0,green,22.0,green,94.0,green,22.0,green,97.0,green,23.5,green,93.0,green,22.0,green,94.0,green,21.5,green,94.0,green,22.0,green,92.0,green,21.5,green,94.0,green,22.5,green,87.0
78,2021-03-09,green,22.5,green,94.0,green,23.0,green,91.0,green,22.5,green,92.0,green,22.5,green,99.0,green,24.0,green,90.0,green,22.5,green,89.0,green,22.0,green,94.0,green,22.5,green,86.0,green,22.0,green,92.0,green,23.0,green,85.0
79,2021-03-10,green,22.5,green,92.0,green,23.0,green,88.0,green,22.0,green,92.0,green,22.5,green,99.0,green,24.0,green,86.0,green,23.0,green,91.0,green,22.5,green,95.0,green,22.5,green,84.0,green,22.5,green,99.0,green,23.5,green,90.0
80,2021-03-11,green,22.0,green,94.0,green,22.0,green,89.0,green,22.0,green,87.0,green,20.0,green,98.0,green,23.5,green,84.0,green,22.0,green,88.0,green,22.0,green,95.0,green,22.0,green,95.0,green,22.0,green,94.0,green,23.0,green,92.0
81,2021-03-12,green,22.0,green,94.0,green,22.5,green,93.0,green,22.0,green,90.0,green,20.0,green,98.0,green,24.0,green,88.0,green,22.0,green,89.0,green,21.5,green,94.0,green,21.5,green,92.0,green,21.5,green,88.0,green,22.5,green,80.0
82,2021-03-13,green,22.0,green,97.0,green,22.5,green,93.0,green,22.0,green,93.0,green,20.0,green,99.0,green,24.0,green,91.0,green,22.0,green,92.0,green,21.5,green,98.0,green,22.0,green,93.0,green,22.0,green,93.0,green,22.5,green,92.0
83,2021-03-14,green,21.5,green,97.0,green,22.0,green,92.0,green,21.5,green,92.0,green,19.5,green,96.0,green,23.5,green,92.0,green,22.0,green,89.0,green,21.0,green,97.0,green,22.0,green,92.0,green,21.5,green,88.0,green,22.5,green,89.0
84,2021-03-15,green,21.0,green,91.0,green,22.0,green,94.0,green,21.0,green,96.0,green,18.0,green,97.0,green,23.0,green,93.0,green,21.5,green,93.0,green,21.0,green,97.0,green,21.5,green,95.0,green,21.5,green,88.0,green,22.0,green,89.0
85,2021-03-16,green,22.0,green,97.0,green,22.5,green,95.0,green,22.0,green,96.0,green,20.0,green,98.0,green,24.0,green,95.0,green,21.5,green,97.0,green,21.0,green,97.0,green,22.0,green,95.0,green,21.5,green,91.0,green,22.0,green,91.0
86,2021-03-17,green,22.0,green,95.0,green,22.0,green,95.0,green,21.5,green,93.0,green,20.0,green,98.0,green,23.5,green,97.0,green,22.0,green,93.0,green,21.0,green,98.0,green,22.0,green,97.0,green,21.5,green,90.0,green,22.5,green,83.0
87,2021-03-18,green,22.0,green,98.0,green,22.0,green,95.0,green,22.0,green,94.0,green,19.0,green,97.0,green,23.5,green,97.0,green,21.5,green,97.0,green,21.0,green,97.0,green,22.0,green,96.0,green,21.5,green,91.0,green,22.0,green,90.0
88,2021-03-19,green,22.0,green,97.0,green,22.0,green,95.0,green,22.0,green,92.0,green,19.0,green,97.0,green,23.5,green,97.0,green,21.5,green,94.0,green,21.0,green,96.0,green,21.5,green,94.0,green,21.5,green,92.0,green,22.5,green,87.0
89,2021-03-20,green,22.0,green,94.0,green,22.5,green,97.0,green,22.0,green,94.0,green,20.0,green,98.0,green,23.5,green,96.0,green,21.5,green,93.0,green,21.5,green,98.0,green,22.0,green,95.0,green,21.5,green,92.0,green,22.5,green,91.0
90,2021-03-21,green,23.0,green,95.0,green,23.0,green,97.0,green,22.5,green,97.0,yellow,22.0,green,95.0,green,24.0,green,97.0,green,22.5,green,95.0,green,22.0,green,99.0,green,22.5,green,94.0,green,22.0,green,93.0,green,23.0,green,89.0
91,2021-03-22,green,22.5,green,95.0,green,22.0,green,95.0,green,22.0,green,97.0,yellow,21.5,green,99.0,green,24.5,green,96.0,green,22.5,green,93.0,green,22.0,green,95.0,green,22.5,green,93.0,green,22.5,green,99.0,green,23.5,green,93.0
92,2021-03-23,green,22.5,green,96.0,green,22.5,green,93.0,green,22.0,green,94.0,green,20.5,green,99.0,green,23.5,green,99.0,green,22.5,green,95.0,green,22.5,green,95.0,green,21.5,green,94.0,green,22.5,green,97.0,green,24.0,green,94.0
93,2021-03-24,green,22.0,green,93.0,green,22.0,green,93.0,green,22.0,green,93.0,green,20.0,green,97.0,green,23.5,green,97.0,green,22.5,green,94.0,green,22.0,green,94.0,green,22.0,green,94.0,green,22.0,green,98.0,green,23.0,green,92.0
94,2021-03-25,green,22.0,green,94.0,green,21.5,green,95.0,green,21.5,green,92.0,green,19.0,green,99.0,green,23.5,green,98.0,green,22.0,green,94.0,green,21.5,green,95.0,green,21.5,green,94.0,green,21.5,green,97.0,green,23.0,green,90.0
95,2021-03-26,green,22.0,green,92.0,green,22.0,green,93.0,green,21.0,green,94.0,green,19.5,green,98.0,green,24.0,green,95.0,green,22.0,green,94.0,green,21.5,green,93.0,green,21.0,green,95.0,green,21.5,green,96.0,green,23.0,green,95.0
96,2021-03-27,green,22.0,green,97.0,green,22.0,green,93.0,green,20.5,green,93.0,green,20.5,green,98.0,green,24.5,green,96.0,green,22.5,green,92.0,green,22.0,green,98.0,green,21.0,green,93.0,green,22.5,green,95.0,green,23.5,green,94.0
97,2021-03-28,green,21.5,green,96.0,green,22.0,green,90.0,green,20.0,green,96.0,green,18.5,green,99.0,green,23.5,green,94.0,green,22.0,green,94.0,green,21.5,green,98.0,green,20.5,green,95.0,green,21.5,green,92.0,green,22.5,green,93.0
98,2021-03-29,green,22.5,green,97.0,green,22.5,green,91.0,green,21.0,green,94.0,yellow,21.0,green,98.0,green,24.5,green,95.0,green,22.5,green,95.0,green,22.0,green,98.0,green,20.5,green,93.0,green,22.5,green,94.0,green,23.5,green,89.0
99,2021-03-30,green,22.5,green,96.0,green,22.5,green,93.0,green,20.0,green,96.0,green,21.0,green,99.0,green,24.5,green,97.0,green,22.5,green,94.0,green,22.5,green,96.0,green,20.5,green,95.0,green,22.5,green,97.0,green,24.0,green,92.0
100,2021-03-31,green,22.0,green,94.0,green,22.5,green,91.0,green,21.0,green,94.0,green,19.0,green,99.0,green,23.5,green,96.0,green,21.5,green,92.0,green,21.5,green,98.0,green,20.0,green,90.0,green,21.5,green,91.0,green,22.0,green,93.0
101,2021-04-01,green,21.5,green,97.0,green,22.5,green,93.0,yellow,21.0,green,95.0,yellow,19.5,green,98.0,green,23.5,green,97.0,green,21.0,green,92.0,green,21.0,green,99.0,green,20.0,green,94.0,green,21.0,green,93.0,green,22.0,green,86.0
102,2021-04-02,green,22.0,green,96.0,green,23.0,green,95.0,green,21.0,green,95.0,yellow,20.5,green,99.0,green,24.0,green,98.0,green,21.5,green,93.0,green,21.5,green,97.0,green,20.0,green,95.0,green,21.5,green,95.0,green,22.5,green,90.0
103,2021-04-03,green,22.5,green,99.0,green,23.0,green,95.0,green,21.5,green,97.0,yellow,22.5,green,98.0,green,25.0,green,97.0,green,23.0,green,98.0,green,22.0,green,98.0,green,21.0,green,96.0,green,23.0,green,94.0,green,24.0,green,93.0
104,2021-04-04,green,23.0,green,98.0,green,22.5,green,96.0,green,21.5,green,98.0,green,23.0,green,99.0,green,25.0,green,98.0,green,23.5,green,98.0,green,22.5,green,98.0,green,21.5,green,93.0,green,23.5,green,99.0,green,24.5,green,94.0
105,2021-04-05,green,23.5,green,97.0,green,23.0,green,98.0,green,22.0,green,95.0,green,24.0,green,99.0,green,25.5,green,98.0,green,24.0,green,95.0,green,23.5,green,97.0,green,22.0,green,89.0,green,24.5,green,99.0,green,25.0,green,93.0
106,2021-04-06,green,23.5,green,94.0,green,24.0,green,93.0,green,23.0,green,94.0,green,25.0,green,98.0,green,25.5,green,99.0,green,24.5,green,94.0,green,24.0,green,94.0,yellow,23.0,green,88.0,green,25.0,green,99.0,green,25.0,green,90.0
107,2021-04-07,green,23.0,green,95.0,green,23.0,green,98.0,green,22.5,green,99.0,green,25.0,green,96.0,green,25.5,green,99.0,green,24.0,green,95.0,green,23.0,green,97.0,green,22.0,green,91.0,green,24.5,green,99.0,green,24.5,green,94.0
108,2021-04-08,green,22.5,green,97.0,green,23.5,green,97.0,green,20.5,green,97.0,green,20.5,green,99.0,green,24.0,green,98.0,green,23.0,green,90.0,green,22.5,green,98.0,green,20.0,green,88.0,green,22.0,green,99.0,green,23.5,green,95.0
109,2021-04-09,green,23.0,green,98.0,green,23.0,green,98.0,green,21.5,green,96.0,green,22.5,green,99.0,green,25.0,green,98.0,green,23.5,green,98.0,green,22.5,green,99.0,green,21.5,green,95.0,green,23.5,green,98.0,green,24.0,green,97.0
110,2021-04-10,green,23.0,green,97.0,green,23.0,green,93.0,green,21.0,green,97.0,green,21.0,green,99.0,green,24.5,green,94.0,green,23.0,green,96.0,green,22.5,green,98.0,green,20.5,green,94.0,green,22.0,green,99.0,green,23.5,green,95.0
111,2021-04-11,green,22.0,green,95.0,green,22.5,green,91.0,green,19.0,green,98.0,green,18.0,green,88.0,green,23.0,green,75.0,green,22.0,green,96.0,green,22.0,green,96.0,green,19.5,green,93.0,green,21.5,green,97.0,green,23.0,green,94.0
112,2021-04-12,green,22.5,green,94.0,green,22.5,green,95.0,green,20.5,green,95.0,yellow,20.0,green,91.0,green,24.0,green,67.0,green,22.5,green,93.0,green,22.0,green,98.0,green,20.0,green,93.0,green,21.5,green,98.0,green,23.0,green,95.0
113,2021-04-13,green,22.5,green,85.0,green,22.5,green,92.0,green,20.5,green,92.0,yellow,20.0,green,91.0,green,24.0,green,71.0,green,22.5,green,89.0,green,22.0,green,98.0,green,20.5,green,95.0,green,21.5,green,91.0,green,23.0,green,76.0
114,2021-04-14,green,22.0,yellow,56.0,green,22.5,green,82.0,green,20.0,green,77.0,green,19.5,green,97.0,green,23.5,yellow,55.0,green,22.5,yellow,57.0,green,21.5,green,95.0,green,20.0,green,70.0,green,21.5,green,68.0,green,23.0,red,32.0
115,2021-04-15,green,22.0,green,81.0,green,22.5,yellow,55.0,green,20.5,green,76.0,yellow,20.0,green,97.0,green,24.0,green,86.0,green,22.5,green,68.0,green,22.0,green,95.0,green,20.5,green,66.0,green,22.0,yellow,57.0,green,23.0,red,37.0
116,2021-04-16,blue,23.0,green,87.0,blue,22.5,green,72.0,blue,20.5,green,74.0,blue,21.0,green,99.0,blue,24.0,green,94.0,blue,23.0,green,73.0,blue,22.0,green,80.0,blue,21.0,green,65.0,blue,22.0,green,77.0,blue,23.0,green,74.0
117,2021-04-17,green,23.0,green,81.0,green,22.5,green,65.0,green,21.0,yellow,56.0,yellow,21.0,green,99.0,green,24.5,green,95.0,green,23.0,green,75.0,green,22.0,green,80.0,green,21.0,yellow,56.0,green,22.5,green,94.0,green,24.0,green,74.0
118,2021-04-18,green,22.5,green,89.0,green,22.0,green,79.0,green,20.5,green,75.0,yellow,21.0,green,99.0,green,24.5,green,98.0,green,23.0,green,80.0,green,21.5,green,71.0,green,21.0,yellow,49.0,green,22.5,green,98.0,green,23.5,green,88.0
119,2021-04-19,green,22.5,green,94.0,green,22.5,green,91.0,green,20.5,green,90.0,green,20.0,green,99.0,green,24.0,green,99.0,green,22.5,green,91.0,green,21.5,green,71.0,green,20.0,yellow,55.0,green,21.5,green,99.0,green,23.0,green,91.0
120,2021-04-20,green,21.5,green,99.0,green,21.5,green,97.0,yellow,19.0,green,96.0,yellow,18.5,green,99.0,green,23.0,green,99.0,green,22.0,green,93.0,green,21.0,green,92.0,green,19.0,green,86.0,green,21.0,green,95.0,green,22.0,green,92.0
121,2021-04-21,green,22.5,green,98.0,green,22.5,green,96.0,green,20.5,green,97.0,green,20.0,green,99.0,green,24.0,green,99.0,green,22.0,green,95.0,green,21.5,green,97.0,green,20.0,green,97.0,green,21.0,green,96.0,green,22.5,green,93.0
122,2021-04-22,green,23.0,green,98.0,green,23.0,green,97.0,green,21.0,green,96.0,yellow,21.0,green,99.0,green,24.0,green,99.0,green,22.5,green,96.0,green,21.5,green,98.0,green,20.5,green,97.0,green,21.5,green,97.0,green,22.5,green,92.0
123,2021-04-23,green,22.5,green,96.0,green,23.0,green,97.0,green,20.0,green,96.0,green,20.5,green,96.0,green,24.0,green,99.0,green,23.0,green,98.0,green,22.0,green,98.0,green,19.5,green,98.0,green,22.0,green,98.0,green,23.5,green,95.0
124,2021-04-24,green,23.5,green,98.0,green,23.0,green,99.0,green,20.0,green,96.0,green,21.5,green,99.0,green,24.5,green,98.0,green,23.5,green,97.0,green,22.0,green,99.0,green,21.0,green,96.0,green,22.5,green,98.0,green,24.0,green,98.0
125,2021-04-25,green,22.5,green,98.0,green,22.0,green,98.0,green,20.5,green,96.0,green,21.0,green,99.0,green,24.5,green,99.0,green,23.0,green,98.0,green,21.0,green,99.0,green,20.5,green,95.0,green,22.5,green,99.0,green,24.0,green,97.0
126,2021-04-26,yellow,23.5,green,98.0,yellow,23.5,green,98.0,yellow,22.5,green,97.0,green,24.0,green,96.0,green,25.5,green,99.0,green,24.5,green,97.0,yellow,23.0,green,99.0,yellow,22.5,green,98.0,green,25.0,green,99.0,green,25.0,green,95.0
127,2021-04-27,yellow,24.5,green,99.0,yellow,24.5,green,99.0,yellow,24.0,green,96.0,green,26.5,green,98.0,green,27.0,green,99.0,yellow,25.0,green,98.0,yellow,24.5,green,97.0,yellow,23.5,green,94.0,green,26.0,green,97.0,green,26.0,green,98.0
128,2021-04-28,green,22.5,green,98.0,green,22.5,green,99.0,green,22.5,green,96.0,green,25.0,green,99.0,green,25.0,green,99.0,yellow,23.0,green,97.0,yellow,21.0,green,99.0,yellow,21.5,green,95.0,green,24.5,green,99.0,green,24.0,green,96.0
129,2021-04-29,green,23.0,green,99.0,green,22.5,green,95.0,green,21.5,green,94.0,green,24.0,green,96.0,green,25.0,green,97.0,green,23.0,green,98.0,green,20.0,green,95.0,green,20.0,green,90.0,green,23.5,green,98.0,green,24.0,green,94.0
130,2021-04-30,green,22.5,green,97.0,green,22.0,green,97.0,green,20.5,green,97.0,yellow,23.0,green,99.0,green,24.5,green,99.0,green,23.5,green,98.0,green,22.0,green,98.0,green,20.5,green,93.0,green,24.0,green,98.0,green,24.5,green,98.0
131,2021-05-01,yellow,24.0,green,98.0,yellow,24.5,green,98.0,yellow,23.0,green,96.0,yellow,25.0,green,99.0,yellow,26.0,green,94.0,yellow,25.0,green,99.0,yellow,24.0,green,99.0,yellow,22.5,green,96.0,yellow,25.0,green,99.0,yellow,25.5,green,97.0
132,2021-05-02,green,23.5,green,99.0,green,23.0,green,98.0,green,23.0,green,97.0,green,25.5,green,99.0,green,26.0,green,94.0,green,24.0,green,96.0,green,23.5,green,96.0,green,22.5,green,91.0,green,25.0,green,97.0,green,24.5,green,98.0
133,2021-05-03,green,23.0,green,99.0,green,22.0,green,98.0,green,22.0,green,97.0,green,24.5,green,98.0,green,25.0,green,90.0,green,23.5,green,96.0,green,22.5,green,98.0,green,21.5,green,92.0,green,24.5,green,99.0,green,24.5,green,98.0
134,2021-05-04,green,23.5,green,99.0,green,20.5,green,98.0,green,22.0,green,98.0,green,22.5,green,98.0,green,25.5,green,94.0,green,23.5,green,96.0,green,23.0,green,96.0,green,19.0,green,92.0,green,22.0,green,99.0,green,23.5,green,96.0
135,2021-05-05,green,22.5,green,96.0,green,19.5,green,96.0,green,21.0,green,96.0,green,22.5,green,99.0,green,25.0,green,96.0,green,23.5,green,99.0,green,21.5,green,99.0,green,20.0,green,98.0,green,23.0,green,99.0,green,24.5,green,98.0
136,2021-05-06,green,23.0,green,99.0,green,22.5,green,99.0,green,21.0,green,98.0,yellow,22.0,green,99.0,green,25.0,green,98.0,green,24.0,green,99.0,green,23.0,green,99.0,green,20.5,green,98.0,green,23.0,green,98.0,green,24.5,green,98.0
137,2021-05-07,green,22.5,green,97.0,green,22.5,green,97.0,green,20.5,green,98.0,yellow,19.5,green,99.0,green,24.5,green,98.0,green,22.5,green,97.0,green,22.5,green,98.0,green,19.5,green,96.0,green,21.5,green,99.0,green,23.5,green,97.0
138,2021-05-08,green,,green,98.0,green,,green,97.0,green,,green,96.0,yellow,,green,98.0,green,,green,98.0,green,,green,99.0,green,,green,98.0,green,,green,94.0,green,,green,98.0,green,,green,97.0
139,2021-05-09,green,,green,98.0,green,,green,98.0,green,,green,96.0,yellow,,green,96.0,green,,green,98.0,green,,green,98.0,green,,green,98.0,green,,green,94.0,green,,green,99.0,green,,green,95.0
140,2021-05-10,green,22.5,green,99.0,green,21.0,green,97.0,green,20.5,green,99.0,green,22.5,green,99.0,green,25.0,green,98.0,green,23.0,green,98.0,green,21.5,green,98.0,green,20.5,green,94.0,green,22.5,green,99.0,green,24.0,green,97.0
141,2021-05-11,green,23.0,green,99.0,green,20.0,green,99.0,green,21.0,green,98.0,yellow,21.0,green,98.0,green,25.0,green,98.0,green,23.5,green,98.0,green,21.5,green,97.0,green,21.0,green,92.0,green,22.5,green,98.0,green,24.0,green,97.0
142,2021-05-12,green,22.5,green,98.0,green,18.5,green,96.0,green,20.0,green,97.0,yellow,21.5,green,99.0,green,25.0,green,98.0,green,23.0,green,99.0,green,21.0,green,98.0,green,20.0,green,98.0,green,22.5,green,99.0,green,24.0,green,99.0
143,2021-05-13,green,22.5,green,97.0,green,20.0,green,97.0,green,20.0,green,99.0,yellow,22.0,green,98.0,green,24.5,green,99.0,green,22.5,green,99.0,green,21.0,green,99.0,green,20.0,green,95.0,green,23.0,green,99.0,green,24.0,green,98.0
144,2021-05-14,green,22.5,green,98.0,green,22.0,green,97.0,green,21.0,green,98.0,green,22.5,green,97.0,green,24.5,green,98.0,green,23.0,green,99.0,green,21.5,green,98.0,green,20.5,green,94.0,green,23.5,green,99.0,green,24.0,green,99.0
145,2021-05-15,green,23.5,green,99.0,green,22.0,green,98.0,green,21.5,green,99.0,green,23.5,green,98.0,green,25.5,green,98.0,green,23.0,green,98.0,green,23.0,green,99.0,green,20.5,green,95.0,green,22.5,green,99.0,green,23.5,green,99.0
146,2021-05-16,green,23.0,green,99.0,green,22.0,green,97.0,green,21.5,green,98.0,green,24.5,green,99.0,green,25.0,green,97.0,green,23.5,green,99.0,green,22.5,green,99.0,green,21.0,green,98.0,green,24.0,green,99.0,green,24.0,green,99.0
147,2021-05-17,green,22.5,green,97.0,green,21.5,green,96.0,green,22.0,green,94.0,green,24.0,green,99.0,green,25.0,green,99.0,green,23.0,green,98.0,green,22.5,green,95.0,green,21.0,green,94.0,green,24.0,green,98.0,green,24.0,green,98.0
148,2021-05-18,green,22.5,green,99.0,green,21.5,green,95.0,green,22.0,green,91.0,green,24.5,green,97.0,green,25.0,green,99.0,green,23.0,green,99.0,green,21.5,green,98.0,green,21.0,green,96.0,green,24.0,green,98.0,green,24.0,green,99.0
149,2021-05-19,green,23.0,green,99.0,green,22.5,green,96.0,green,22.5,green,96.0,green,25.0,green,99.0,green,25.5,green,98.0,green,24.0,green,99.0,green,22.5,green,97.0,green,22.5,green,97.0,green,25.5,green,99.0,green,24.5,green,99.0
150,2021-05-20,yellow,24.5,green,98.0,yellow,24.5,green,97.0,yellow,24.5,green,98.0,yellow,26.5,green,96.0,yellow,27.0,green,98.0,yellow,25.5,green,98.0,yellow,24.5,green,98.0,yellow,24.5,green,95.0,green,26.5,green,98.0,green,26.0,green,97.0
151,2021-05-21,green,24.0,green,99.0,green,24.5,green,98.0,green,24.5,green,97.0,green,26.5,green,99.0,green,26.5,green,99.0,green,25.5,green,97.0,green,24.0,green,99.0,green,24.0,green,93.0,green,26.5,green,99.0,green,25.5,green,98.0
152,2021-05-22,green,23.5,green,98.0,green,24.0,green,99.0,green,23.5,green,96.0,green,26.0,green,99.0,green,26.0,green,99.0,green,25.0,green,96.0,green,23.5,green,99.0,green,23.5,green,90.0,green,26.0,green,99.0,green,25.0,green,98.0
153,2021-05-23,yellow,25.0,green,99.0,yellow,25.0,green,98.0,yellow,25.0,green,96.0,yellow,27.0,green,99.0,yellow,27.5,green,98.0,yellow,26.0,green,98.0,yellow,25.0,green,98.0,yellow,24.5,green,96.0,yellow,27.0,green,99.0,yellow,26.5,green,99.0
