,Date (America/Chicago),"Maschhoff_4NL2_RM1_C Temp shock - color
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_C Temp (°C) - data
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_C ReHS - color
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_C ReHS - data
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_E Temp shock - color
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_E Temp (°C) - data
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_E ReHS - color
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_E ReHS - data
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_W Temp shock - color
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM1_W Temp (°C) - data
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM1_W ReHS - color
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM1_W ReHS - data
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM2_C Temp shock - color
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_C Temp (°C) - data
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_C ReHS - color
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_C ReHS - data
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_E Temp shock - color
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_E Temp (°C) - data
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_E ReHS - color
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_E ReHS - data
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_W Temp shock - color
 (MO201901-9JN9RLN4)","Maschhoff_4NL2_RM2_W Temp (°C) - data
 (MO201901-9JN9RLN4)","Maschhoff_4NL2_RM2_W ReHS - color
 (MO201901-9JN9RLN4)","Maschhoff_4NL2_RM2_W ReHS - data
 (MO201901-9JN9RLN4)"
32,2021-01-22,green,31.5,green,99.0,green,30.0,green,98.0,green,28.0,green,98.0,green,28.5,green,99.0,green,,green,,green,28.0,green,99.0
33,2021-01-23,green,31.0,green,99.0,green,29.5,green,98.0,green,27.5,green,99.0,yellow,28.0,green,97.0,green,,green,,green,27.5,green,99.0
34,2021-01-24,yellow,29.0,green,96.0,green,29.0,green,99.0,green,26.5,green,99.0,yellow,26.5,green,99.0,green,,green,,green,27.0,green,99.0
35,2021-01-25,green,25.5,green,99.0,green,30.0,green,99.0,green,25.0,green,97.0,yellow,26.0,green,98.0,green,,green,,green,26.5,green,99.0
36,2021-01-26,yellow,26.0,green,99.0,green,30.0,green,99.0,green,25.5,green,97.0,yellow,26.0,green,99.0,green,,green,,green,26.0,green,99.0
37,2021-01-27,green,28.5,green,96.0,green,28.5,green,99.0,green,27.0,green,99.0,yellow,26.5,green,99.0,green,,green,,green,26.0,green,99.0
38,2021-01-28,green,29.0,green,99.0,green,28.0,green,99.0,green,26.5,green,99.0,yellow,25.5,green,99.0,green,,green,,green,26.0,green,99.0
39,2021-01-29,green,29.0,green,99.0,green,28.0,green,99.0,green,25.5,green,98.0,yellow,24.5,green,99.0,green,,green,,green,26.0,green,99.0
40,2021-01-30,green,27.5,green,99.0,green,27.0,green,99.0,green,25.5,green,99.0,yellow,21.5,green,99.0,green,,green,,green,25.5,green,99.0
41,2021-01-31,green,27.0,green,99.0,green,26.0,green,99.0,green,25.5,green,95.0,green,24.5,green,99.0,green,,green,,green,25.5,green,98.0
42,2021-02-01,green,27.0,green,99.0,green,26.5,green,99.0,green,25.0,green,98.0,yellow,23.0,green,99.0,green,,green,,green,25.0,green,99.0
43,2021-02-02,green,27.0,green,98.0,green,26.5,green,99.0,green,25.0,green,99.0,green,24.0,green,98.0,green,,green,,green,25.5,green,99.0
44,2021-02-03,green,26.5,green,98.0,green,26.0,green,99.0,green,24.5,green,99.0,green,23.0,green,99.0,green,,green,,green,25.0,green,99.0
45,2021-02-04,green,25.5,green,99.0,green,25.0,green,99.0,green,25.0,green,99.0,green,21.5,green,98.0,green,,green,,green,25.0,green,98.0
46,2021-02-05,green,27.0,green,99.0,green,26.0,green,99.0,green,24.5,green,99.0,yellow,22.0,green,99.0,green,,green,,green,24.0,green,99.0
47,2021-02-06,green,28.0,green,97.0,green,26.5,green,98.0,green,24.5,green,99.0,yellow,20.5,green,99.0,green,,green,,green,23.5,green,96.0
48,2021-02-07,green,28.0,green,99.0,green,26.0,green,99.0,green,24.0,green,99.0,green,24.5,green,99.0,green,,green,,green,24.0,green,99.0
