,Device id,Device name,Device code,Date (America/Chicago),Temperature shock - color,Temperature (°C) - data,ReHS - color,ReHS - data
4905,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-21,green,,blue,
4906,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-22,green,,blue,
4907,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-23,green,,blue,
4908,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-24,blue,,blue,
4909,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-25,blue,,blue,
4910,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-26,blue,,blue,
4911,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-27,blue,,blue,
4912,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-28,blue,,blue,
4913,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-29,blue,,blue,
4914,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-30,blue,,blue,
4915,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-31,blue,,blue,
4916,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-01,blue,,blue,
4917,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-02,blue,,blue,
4918,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-03,blue,,blue,
4919,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-04,green,28.0,green,
4920,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-05,green,29.0,green,94.0
4921,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-06,green,29.0,green,99.0
4922,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-07,green,29.0,green,98.0
4923,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-08,green,29.0,green,97.0
4924,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-09,green,29.0,green,98.0
4925,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-10,green,29.0,green,99.0
4926,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-11,green,29.5,green,98.0
4927,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-12,green,29.0,green,93.0
4928,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-13,green,29.0,green,99.0
4929,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-14,green,29.0,green,97.0
4930,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-15,green,29.5,green,90.0
4931,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-16,green,29.0,green,97.0
4932,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-17,green,29.0,green,99.0
4933,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-18,green,29.0,green,98.0
4934,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-19,green,29.0,green,91.0
4935,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-20,green,29.0,green,99.0
4936,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-21,green,29.0,green,97.0
4937,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-22,green,29.0,green,85.0
4938,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-23,green,29.0,green,98.0
4939,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-24,green,28.5,green,97.0
4940,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-25,green,29.0,green,99.0
4941,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-26,green,28.5,green,97.0
4942,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-27,green,28.5,green,99.0
4943,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-28,green,28.0,green,98.0
4944,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-29,green,27.5,green,97.0
4945,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-30,green,27.0,green,98.0
4946,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-31,green,28.0,green,97.0
4947,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-01,green,28.0,green,96.0
4948,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-02,green,28.0,green,95.0
4949,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-03,green,27.5,green,96.0
4950,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-04,green,27.0,green,95.0
4951,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-05,green,26.0,green,99.0
4952,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-06,green,26.5,green,95.0
4953,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-07,green,26.0,green,93.0
4954,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-08,green,25.5,green,88.0
4955,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-09,green,25.0,green,93.0
4956,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-10,green,25.0,green,93.0
4957,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-11,green,25.5,green,92.0
4958,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-12,green,24.0,green,90.0
4959,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-13,green,24.0,green,89.0
4960,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-14,green,24.0,green,92.0
4961,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-15,green,24.0,green,89.0
4962,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-16,green,24.5,green,89.0
4963,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-17,green,24.0,green,84.0
4964,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-18,green,24.0,green,84.0
4965,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-19,green,23.5,green,92.0
4966,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-20,green,25.0,green,84.0
4967,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-21,green,25.0,green,85.0
4968,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-22,green,25.0,green,84.0
4969,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-23,green,24.0,green,85.0
4970,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-24,green,23.5,green,87.0
4971,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-25,green,23.5,green,93.0
4972,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-26,green,23.5,green,88.0
4973,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-27,green,23.0,green,81.0
4974,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-02-28,green,23.0,green,79.0
4975,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-03-01,green,22.5,green,87.0
4976,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-03-02,green,22.0,green,83.0
4977,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-03-03,green,22.5,green,90.0
4978,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-03-04,green,22.0,green,89.0
4979,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-03-05,green,22.0,green,87.0
4980,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-03-06,green,21.5,green,83.0
4981,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-03-07,green,22.0,green,86.0
4982,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-03-08,green,22.5,green,87.0
4983,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-03-09,green,23.0,green,85.0
4984,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-03-10,green,23.5,green,90.0
4985,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-03-11,green,23.0,green,92.0
4986,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-03-12,green,22.5,green,80.0
4987,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-03-13,green,22.5,green,92.0
