,Date (America/Chicago),"Barn 1, Room 1 Temperature shock - color","Barn 1, Room 1 Temperature - data","Barn 1, Room 1 ReHS - color","Barn 1, Room 1 ReHS - data","Barn 1, Room 2 Temperature shock - color","Barn 1, Room 2 Temperature - data","Barn 1, Room 2 ReHS - color","Barn 1, Room 2 ReHS - data"
80,2021-03-25,green,21.55,green,92.0,green,21.86,green,90.0
81,2021-03-26,green,21.66,green,92.0,green,21.91,green,93.0
82,2021-03-27,green,21.97,green,93.0,green,22.4,green,92.0
83,2021-03-28,green,21.13,green,90.0,green,21.6,green,92.0
84,2021-03-29,yellow,22.33,green,91.0,green,22.18,green,89.0
85,2021-03-30,green,22.02,green,93.0,green,22.36,green,92.0
86,2021-03-31,green,21.56,green,91.0,green,21.25,green,90.0
87,2021-04-01,yellow,21.66,green,93.0,green,21.05,green,86.0
88,2021-04-02,yellow,22.0,green,95.0,green,21.35,green,90.0
89,2021-04-03,yellow,22.89,green,95.0,green,22.54,green,93.0
90,2021-04-04,green,22.94,green,96.0,green,23.1,green,93.0
91,2021-04-05,green,23.63,green,95.0,green,23.77,green,89.0
92,2021-04-06,green,24.21,green,93.0,yellow,24.28,green,88.0
93,2021-04-07,green,23.78,green,95.0,green,23.61,green,91.0
94,2021-04-08,green,22.13,green,97.0,green,22.23,green,88.0
95,2021-04-09,green,22.95,green,96.0,green,22.98,green,95.0
96,2021-04-10,green,22.43,green,93.0,green,22.3,green,94.0
97,2021-04-11,green,20.93,green,75.0,green,21.57,green,93.0
98,2021-04-12,yellow,21.9,green,67.0,green,21.82,green,93.0
99,2021-04-13,yellow,21.87,green,71.0,green,21.85,green,76.0
100,2021-04-14,green,21.49,yellow,55.0,green,21.74,red,32.0
101,2021-04-15,yellow,21.78,yellow,55.0,green,21.93,red,37.0
102,2021-04-16,blue,22.28,green,72.0,blue,22.29,green,65.0
103,2021-04-17,yellow,22.31,yellow,56.0,green,22.54,yellow,56.0
104,2021-04-18,yellow,22.14,green,75.0,green,22.3,yellow,49.0
105,2021-04-19,green,21.88,green,90.0,green,21.77,yellow,55.0
106,2021-04-20,yellow,20.81,green,96.0,green,21.01,green,86.0
107,2021-04-21,green,21.9,green,96.0,green,21.39,green,93.0
108,2021-04-22,yellow,22.44,green,96.0,green,21.86,green,92.0
109,2021-04-23,green,22.06,green,96.0,green,22.1,green,95.0
110,2021-04-24,green,22.57,green,96.0,green,22.55,green,96.0
111,2021-04-25,green,22.1,green,96.0,green,22.13,green,95.0
112,2021-04-26,yellow,23.9,green,96.0,yellow,23.93,green,95.0
113,2021-04-27,yellow,25.34,green,96.0,yellow,25.02,green,94.0
114,2021-04-28,green,23.4,green,96.0,yellow,22.78,green,95.0
115,2021-04-29,green,23.1,green,94.0,green,22.11,green,90.0
116,2021-04-30,yellow,22.57,green,97.0,green,22.94,green,93.0
117,2021-05-01,yellow,24.54,green,94.0,yellow,24.58,green,96.0
118,2021-05-02,green,24.11,green,94.0,green,23.84,green,91.0
119,2021-05-03,green,23.32,green,90.0,green,23.34,green,92.0
120,2021-05-04,green,22.81,green,94.0,green,22.22,green,92.0
121,2021-05-05,green,22.05,green,96.0,green,22.5,green,98.0
122,2021-05-06,yellow,22.78,green,98.0,green,22.95,green,98.0
123,2021-05-07,yellow,21.8,green,97.0,green,22.06,green,96.0
181,2021-05-08,yellow,,green,96.0,green,,green,94.0
182,2021-05-09,yellow,,green,96.0,green,,green,94.0
124,2021-05-10,green,22.33,green,97.0,green,22.33,green,94.0
125,2021-05-11,yellow,22.05,green,98.0,green,22.51,green,92.0
126,2021-05-12,yellow,21.5,green,96.0,green,22.11,green,98.0
127,2021-05-13,yellow,21.88,green,97.0,green,22.06,green,95.0
128,2021-05-14,green,22.32,green,97.0,green,22.52,green,94.0
129,2021-05-15,green,23.18,green,98.0,green,22.59,green,95.0
130,2021-05-16,green,23.26,green,97.0,green,23.02,green,98.0
131,2021-05-17,green,23.03,green,94.0,green,22.86,green,94.0
132,2021-05-18,green,23.01,green,91.0,green,22.74,green,96.0
133,2021-05-19,blue,23.72,green,96.0,blue,23.75,green,97.0
134,2021-05-20,yellow,25.45,green,96.0,yellow,25.42,green,95.0
135,2021-05-21,green,25.16,green,97.0,green,25.13,green,93.0
136,2021-05-22,green,24.64,green,96.0,green,24.56,green,90.0
137,2021-05-23,yellow,25.87,green,96.0,yellow,25.85,green,96.0
138,2021-05-24,yellow,26.51,green,94.0,yellow,26.51,green,91.0
