,Date (America/Chicago),"Barn 1, Room 1 Temperature shock - color","Barn 1, Room 1 Temperature - data","Barn 1, Room 1 ReHS - color","Barn 1, Room 1 ReHS - data","Barn 1, Room 2 Temperature shock - color","Barn 1, Room 2 Temperature - data","Barn 1, Room 2 ReHS - color","Barn 1, Room 2 ReHS - data"
390,2022-01-15,green,18.78,green,96.0,green,12.46,green,96.0
391,2022-01-16,green,17.01,green,96.0,green,12.37,green,96.0
392,2022-01-17,green,18.18,green,97.0,green,12.61,green,96.0
393,2022-01-18,yellow,20.58,green,96.0,green,12.34,green,97.0
394,2022-01-19,blue,22.98,blue,,green,9.74,green,96.0
530,2022-01-20,blue,,blue,,green,11.69,green,96.0
395,2022-01-21,blue,16.53,blue,,green,9.49,green,97.0
531,2022-01-22,blue,,blue,,green,6.56,green,97.0
396,2022-01-23,green,10.76,blue,,green,13.51,green,96.0
397,2022-01-24,blue,8.01,blue,,blue,25.07,blue,96.0
398,2022-01-25,blue,7.72,blue,,blue,27.0,blue,97.0
399,2022-01-26,blue,8.08,blue,,blue,27.16,blue,92.0
400,2022-01-27,blue,8.1,blue,,blue,27.93,blue,88.0
401,2022-01-28,blue,8.32,blue,,blue,27.54,blue,96.0
402,2022-01-29,yellow,8.21,blue,,green,27.4,green,96.0
403,2022-01-30,yellow,8.36,blue,,green,27.11,green,97.0
404,2022-01-31,yellow,19.62,blue,,green,27.88,green,97.0
532,2022-02-01,yellow,,blue,,green,28.64,green,91.0
405,2022-02-02,yellow,29.52,blue,,green,27.33,green,90.0
406,2022-02-03,yellow,29.65,blue,,green,27.12,green,90.0
407,2022-02-04,yellow,29.51,blue,,green,27.46,green,96.0
533,2022-02-05,yellow,,blue,,green,28.0,green,95.0
534,2022-02-06,yellow,,blue,,green,28.64,green,79.0
535,2022-02-07,yellow,,blue,,green,28.63,green,93.0
536,2022-02-08,yellow,,blue,,green,29.04,green,83.0
537,2022-02-09,yellow,,blue,,green,29.25,green,76.0
538,2022-02-10,yellow,,blue,,green,29.0,green,76.0
408,2022-02-11,yellow,29.5,blue,,green,28.54,green,79.0
409,2022-02-12,yellow,29.84,blue,,green,27.81,green,93.0
410,2022-02-13,yellow,30.38,blue,,green,27.98,green,92.0
411,2022-02-14,yellow,29.61,blue,,green,28.07,green,94.0
412,2022-02-15,red,28.6,blue,,yellow,28.29,green,93.0
413,2022-02-16,yellow,28.2,green,90.0,yellow,29.3,green,88.0
539,2022-02-17,blue,,blue,,green,28.42,green,94.0
540,2022-02-18,blue,,blue,,green,28.05,green,94.0
541,2022-02-19,blue,,blue,,green,27.66,green,94.0
542,2022-02-20,blue,,blue,,green,27.98,green,96.0
414,2022-02-21,yellow,26.61,blue,,green,28.4,green,90.0
415,2022-02-22,red,26.35,green,76.0,green,27.62,green,93.0
416,2022-02-23,yellow,26.32,green,89.0,green,26.45,green,90.0
417,2022-02-24,yellow,25.98,green,82.0,green,26.61,green,86.0
418,2022-02-25,green,25.21,green,86.0,green,26.18,green,74.0
419,2022-02-26,yellow,25.3,green,90.0,green,26.15,green,81.0
420,2022-02-27,green,25.78,green,87.0,green,26.53,green,86.0
421,2022-02-28,yellow,25.61,green,82.0,green,26.77,green,82.0
422,2022-03-01,yellow,25.12,green,86.0,green,26.87,green,81.0
423,2022-03-02,green,24.86,green,78.0,green,26.72,green,87.0
424,2022-03-03,red,24.3,green,76.0,green,26.05,green,82.0
425,2022-03-04,yellow,24.37,green,82.0,green,25.93,green,87.0
426,2022-03-05,green,25.27,green,86.0,yellow,26.59,green,92.0
427,2022-03-06,yellow,24.09,green,81.0,yellow,25.74,green,86.0
428,2022-03-07,yellow,24.24,green,90.0,green,23.92,green,87.0
429,2022-03-08,yellow,24.5,green,90.0,green,23.37,green,89.0
430,2022-03-09,yellow,24.39,green,86.0,green,23.57,green,89.0
431,2022-03-10,yellow,24.37,green,89.0,green,23.24,green,86.0
432,2022-03-11,yellow,24.21,green,89.0,green,23.11,green,94.0
433,2022-03-12,yellow,23.93,green,90.0,green,22.87,green,95.0
434,2022-03-13,green,24.44,green,76.0,green,23.95,green,82.0
435,2022-03-14,green,24.64,green,66.0,green,24.55,green,78.0
436,2022-03-15,yellow,24.71,yellow,58.0,green,24.64,yellow,60.0
437,2022-03-16,yellow,24.88,yellow,52.0,green,24.83,green,76.0
438,2022-03-17,green,24.41,green,71.0,green,24.82,green,82.0
439,2022-03-18,green,23.56,green,76.0,green,24.33,green,89.0
440,2022-03-19,green,22.8,green,76.0,green,23.26,green,84.0
441,2022-03-20,yellow,23.1,green,86.0,green,23.41,green,84.0
442,2022-03-21,green,23.25,green,79.0,green,24.04,green,89.0
443,2022-03-22,blue,22.56,blue,60.0,blue,23.38,blue,82.0
444,2022-03-23,green,22.47,green,71.0,green,23.0,green,82.0
445,2022-03-24,green,22.29,green,61.0,green,22.63,green,75.0
446,2022-03-25,green,21.97,green,72.0,green,22.23,green,78.0
447,2022-03-26,yellow,21.66,green,63.0,green,21.35,green,83.0
448,2022-03-27,yellow,21.78,green,69.0,green,21.69,green,84.0
449,2022-03-28,green,21.8,green,75.0,green,21.88,green,76.0
450,2022-03-29,green,21.59,green,71.0,green,21.99,green,82.0
451,2022-03-30,green,22.11,green,73.0,green,22.31,green,87.0
452,2022-03-31,yellow,22.01,green,75.0,green,21.82,green,87.0
453,2022-04-01,yellow,21.75,green,78.0,green,21.78,green,91.0
454,2022-04-02,yellow,21.87,green,81.0,green,21.82,green,89.0
455,2022-04-03,green,22.28,green,81.0,green,22.2,green,92.0
456,2022-04-04,green,21.98,green,75.0,green,21.94,green,86.0
457,2022-04-05,green,22.13,green,74.0,green,22.17,green,82.0
458,2022-04-06,green,21.92,green,77.0,green,21.97,green,92.0
459,2022-04-07,yellow,21.64,green,78.0,green,21.84,green,93.0
460,2022-04-08,yellow,21.92,green,78.0,green,21.83,green,80.0
461,2022-04-09,yellow,21.75,green,77.0,green,21.82,green,87.0
462,2022-04-10,green,22.86,green,82.0,green,22.57,green,91.0
463,2022-04-11,yellow,22.33,green,76.0,green,22.22,green,89.0
464,2022-04-12,green,22.55,green,87.0,green,22.46,green,89.0
465,2022-04-13,yellow,22.22,green,77.0,green,22.21,green,89.0
466,2022-04-14,yellow,21.81,green,81.0,green,21.67,green,93.0
467,2022-04-15,green,21.64,green,81.0,green,21.92,green,95.0
468,2022-04-16,yellow,21.07,green,79.0,green,21.49,green,86.0
469,2022-04-17,green,20.76,green,63.0,green,21.38,green,89.0
470,2022-04-18,yellow,20.74,green,78.0,green,21.18,green,89.0
471,2022-04-19,green,21.79,green,76.0,green,21.49,green,93.0
472,2022-04-20,green,22.01,green,82.0,green,21.66,green,91.0
473,2022-04-21,yellow,22.25,green,84.0,green,22.15,green,92.0
474,2022-04-22,yellow,24.6,green,83.0,yellow,24.44,green,89.0
475,2022-04-23,green,25.05,green,83.0,green,24.69,green,92.0
476,2022-04-24,green,22.86,green,81.0,green,22.7,green,87.0
477,2022-04-25,yellow,21.6,green,81.0,green,21.57,green,82.0
478,2022-04-26,yellow,21.07,green,82.0,yellow,21.19,green,88.0
479,2022-04-27,yellow,21.95,green,86.0,yellow,21.88,green,89.0
480,2022-04-28,yellow,21.77,green,79.0,green,21.73,green,87.0
481,2022-04-29,green,21.88,green,78.0,green,22.04,green,86.0
482,2022-04-30,yellow,22.92,green,78.0,yellow,22.88,green,88.0
483,2022-05-01,yellow,21.47,green,85.0,green,21.68,green,92.0
484,2022-05-02,yellow,21.61,yellow,43.0,green,21.57,green,92.0
485,2022-05-03,yellow,21.69,green,85.0,green,21.6,green,95.0
486,2022-05-04,yellow,21.29,green,85.0,green,21.39,green,93.0
487,2022-05-05,yellow,21.29,green,86.0,yellow,21.59,green,94.0
488,2022-05-06,yellow,21.22,green,85.0,green,21.42,green,95.0
489,2022-05-07,yellow,21.39,green,86.0,green,21.66,green,93.0
490,2022-05-08,green,22.11,green,86.0,green,21.7,green,92.0
491,2022-05-09,yellow,25.31,green,85.0,yellow,24.38,green,92.0
492,2022-05-10,yellow,27.16,green,88.0,yellow,26.92,green,95.0
493,2022-05-11,yellow,29.05,green,91.0,red,28.58,green,95.0
494,2022-05-12,yellow,29.34,green,86.0,red,28.59,green,96.0
495,2022-05-13,red,26.99,green,86.0,red,26.45,green,93.0
496,2022-05-14,red,25.93,green,85.0,red,25.5,green,91.0
497,2022-05-15,yellow,22.98,green,84.0,yellow,22.53,green,89.0
498,2022-05-16,red,23.51,green,80.0,yellow,23.03,green,92.0
499,2022-05-17,red,24.84,green,86.0,red,24.64,green,94.0
500,2022-05-18,red,22.89,green,79.0,red,23.23,green,89.0
501,2022-05-19,yellow,24.79,green,83.0,yellow,24.22,green,87.0
502,2022-05-20,red,25.82,green,86.0,red,25.21,green,93.0
503,2022-05-21,green,20.76,green,81.0,green,20.79,green,94.0
504,2022-05-22,red,19.92,green,82.0,yellow,20.73,green,92.0
505,2022-05-23,green,20.97,green,82.0,green,21.04,green,94.0
506,2022-05-24,green,22.36,green,84.0,green,22.28,green,92.0
507,2022-05-25,yellow,23.36,green,86.0,yellow,23.13,green,92.0
508,2022-05-26,green,22.35,green,86.0,yellow,22.23,green,93.0
509,2022-05-27,green,21.03,green,85.0,green,21.34,green,92.0
510,2022-05-28,yellow,22.68,green,91.0,yellow,22.57,green,94.0
511,2022-05-29,yellow,25.53,green,93.0,yellow,25.11,green,94.0
512,2022-05-30,yellow,26.99,green,94.0,red,26.15,green,97.0
513,2022-05-31,green,26.99,green,94.0,yellow,26.54,green,95.0
514,2022-06-01,green,22.57,green,84.0,green,22.25,green,85.0
515,2022-06-02,yellow,22.63,green,86.0,yellow,22.03,green,87.0
516,2022-06-03,red,23.91,green,88.0,red,24.05,green,93.0
517,2022-06-04,red,24.34,green,91.0,red,24.07,green,95.0
518,2022-06-05,yellow,24.97,green,94.0,yellow,24.76,green,97.0
519,2022-06-06,yellow,24.43,green,87.0,yellow,24.22,green,95.0
520,2022-06-07,yellow,23.54,green,87.0,yellow,23.37,green,96.0
521,2022-06-08,yellow,22.07,green,88.0,green,22.0,green,94.0
522,2022-06-09,yellow,23.85,green,91.0,yellow,23.77,green,93.0
523,2022-06-10,green,21.81,green,89.0,green,21.84,green,94.0
524,2022-06-11,yellow,24.14,green,81.0,yellow,24.13,green,96.0
525,2022-06-12,yellow,26.7,green,92.0,yellow,26.17,green,98.0
526,2022-06-13,yellow,29.78,green,96.0,red,29.59,green,98.0
527,2022-06-14,yellow,30.99,green,95.0,red,30.42,green,96.0
528,2022-06-15,yellow,30.28,green,97.0,red,29.19,green,97.0
529,2022-06-16,yellow,30.79,green,96.0,red,29.81,green,98.0
