"ModelName","ModelAIC","Time_to_Convergence"
"Level1_glm",4688.89386947483,0.0543291568756104
"Level1_oinv_glm",4635.66325976277,0.201098203659058
"Level1_inv_glm",4627.20828570541,0.220820665359497
"Level2_a_glm",4620.26281683095,0.174352645874023
"Level2_a_oinv_glm",4626.23740888515,0.289641380310059
"Level2_a_inv_glm",4600.43864617448,0.199801206588745
"Level2_b_glm",4597.32172212366,0.195125579833984
"Level2_b_oinv_glm",4621.0409977348,0.35113525390625
"Level2_b_inv_glm",4586.32917424372,0.295172929763794
"Level2_c_glm",4577.92248982715,0.210859298706055
"Level2_c_oinv_glm",4610.96249522313,0.530479669570923
"Level2_c_inv_glm",4569.83394547375,0.261202812194824
"Level3_a_glmer",4564.83250911363,16.4036064147949
"Level3_a_oinv_glmer",4553.797831307,36.1345093250275
"Level3_a_inv_glmer",4543.65754346468,44.3698387145996
"Level3_b_glmer",4523.41104072887,133.999874830246
"Level3_b_oinv_glmer",4528.17233240473,175.962267398834
"Level3_b_inv_glmer",4512.97356932033,236.835110902786
"Level3_c_glmer",4520.30902972739,1175.05610513687
"Level3_c_inv_glmer",4500.47232669428,1647.29833197594
"Level4_a_glmer",4539.06664356794,18.1356070041656
"Level4_a_oinv_glmer",4510.36715171011,26.6414563655853
"Level4_a_inv_glmer",4510.04781871937,32.0634324550629
"Level4_b_glmer",4527.9043496531,110.677776575089
"Level4_b_oinv_glmer",4501.09531020545,163.79603433609
"Level4_b_inv_glmer",4503.1057866645,224.677206277847
"Level4_c_glmer",4507.81593432174,1415.83882665634
"Level4_c_oinv_glmer",4487.72787971137,869.057079315186
"Level4_c_inv_glmer",4486.77497980271,708.60416674614
