,Date (America/Chicago),"Maschhoff_4NL2_RM1_C Temp shock - color
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_C Temp (°C) - data
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_C ReHS - color
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_C ReHS - data
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_E Temp shock - color
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_E Temp (°C) - data
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_E ReHS - color
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_E ReHS - data
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_W Temp shock - color
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM1_W Temp (°C) - data
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM1_W ReHS - color
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM1_W ReHS - data
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM2_C Temp shock - color
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_C Temp (°C) - data
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_C ReHS - color
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_C ReHS - data
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_E Temp shock - color
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_E Temp (°C) - data
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_E ReHS - color
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_E ReHS - data
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_W Temp shock - color
 (MO201901-9JN9RLN4)","Maschhoff_4NL2_RM2_W Temp (°C) - data
 (MO201901-9JN9RLN4)","Maschhoff_4NL2_RM2_W ReHS - color
 (MO201901-9JN9RLN4)","Maschhoff_4NL2_RM2_W ReHS - data
 (MO201901-9JN9RLN4)"
0,2021-12-21,green,25.0,green,96.0,green,26.0,green,98.0,green,25.0,green,97.0,green,26.0,green,98.0,green,27.0,green,99.0,green,26.0,green,97.0
1,2021-12-22,green,25.5,green,99.0,green,26.0,green,98.0,green,25.0,green,96.0,yellow,25.5,green,99.0,green,26.5,green,97.0,green,26.0,green,95.0
2,2021-12-23,green,24.5,green,97.0,green,25.5,green,97.0,green,25.0,green,95.0,green,24.0,green,99.0,green,26.5,green,97.0,green,25.5,green,97.0
3,2021-12-24,green,24.5,green,93.0,green,26.0,green,96.0,green,25.5,green,92.0,green,24.5,green,97.0,green,27.0,green,98.0,green,26.0,green,94.0
4,2021-12-25,yellow,24.5,green,82.0,green,26.0,green,98.0,green,25.5,green,95.0,green,24.5,green,98.0,green,26.5,green,96.0,green,26.0,green,97.0
5,2021-12-26,green,23.5,green,96.0,green,25.0,green,99.0,green,24.5,green,96.0,green,22.5,green,99.0,green,26.0,green,96.0,green,25.0,green,96.0
6,2021-12-27,yellow,24.0,green,92.0,green,25.0,green,94.0,green,25.0,green,89.0,green,23.5,green,99.0,green,26.0,green,99.0,green,25.5,green,96.0
7,2021-12-28,green,22.5,green,94.0,green,24.5,green,94.0,green,24.5,green,88.0,green,23.0,green,99.0,green,25.0,green,97.0,green,24.5,green,97.0
8,2021-12-29,green,23.0,green,94.0,green,24.0,green,95.0,green,24.0,green,91.0,green,23.0,green,99.0,green,25.0,green,99.0,green,24.0,green,96.0
9,2021-12-30,green,23.0,green,94.0,green,24.5,green,96.0,green,24.5,green,90.0,green,22.5,green,99.0,green,24.5,green,98.0,green,24.0,green,95.0
10,2021-12-31,green,23.5,green,92.0,green,24.5,green,96.0,green,24.5,green,93.0,green,22.5,green,97.0,green,24.5,green,97.0,green,24.0,green,95.0
11,2022-01-01,yellow,22.5,green,92.0,green,24.0,green,97.0,green,24.0,green,93.0,green,22.5,green,99.0,green,24.0,green,96.0,green,24.0,green,97.0
