,Date (America/Chicago),"House 1, Floor 1, Room 1 Temperature shock - color","House 1, Floor 1, Room 1 Temperature - data","House 1, Floor 1, Room 1 ReHS - color","House 1, Floor 1, Room 1 ReHS - data","House 1, Floor 1, Room 2 Temperature shock - color","House 1, Floor 1, Room 2 Temperature - data","House 1, Floor 1, Room 2 ReHS - color","House 1, Floor 1, Room 2 ReHS - data"
0,2021-12-21,green,25.46,green,96.0,yellow,26.36,green,97.0
1,2021-12-22,green,25.5,green,96.0,yellow,26.1,green,95.0
2,2021-12-23,green,24.95,green,95.0,green,25.44,green,97.0
3,2021-12-24,green,25.2,green,92.0,green,25.83,green,94.0
4,2021-12-25,yellow,25.43,green,82.0,green,25.64,green,96.0
5,2021-12-26,green,24.42,green,96.0,green,24.59,green,96.0
6,2021-12-27,yellow,24.71,green,89.0,green,24.98,green,96.0
7,2021-12-28,green,23.78,green,88.0,green,24.15,green,97.0
8,2021-12-29,green,23.7,green,91.0,green,23.96,green,96.0
9,2021-12-30,green,23.83,green,90.0,green,23.66,green,95.0
10,2021-12-31,green,24.13,green,92.0,green,23.69,green,95.0
11,2022-01-01,yellow,23.65,green,92.0,green,23.48,green,96.0
12,2022-01-02,yellow,23.09,green,94.0,green,22.96,green,97.0
13,2022-01-03,yellow,23.21,green,84.0,yellow,22.59,green,89.0
14,2022-01-04,yellow,22.72,green,86.0,green,21.88,green,92.0
15,2022-01-05,green,23.33,green,88.0,green,22.88,green,95.0
16,2022-01-06,green,23.46,green,87.0,green,22.81,green,92.0
17,2022-01-07,green,23.25,green,87.0,green,22.82,green,90.0
18,2022-01-08,green,22.22,green,93.0,green,23.25,green,94.0
19,2022-01-09,green,24.11,green,92.0,green,23.67,green,95.0
20,2022-01-10,green,23.86,green,92.0,green,23.41,green,95.0
21,2022-01-11,green,23.33,green,93.0,green,23.35,green,97.0
22,2022-01-12,green,23.5,green,74.0,green,23.84,green,97.0
23,2022-01-13,green,23.28,yellow,47.0,green,23.94,green,97.0
24,2022-01-14,green,22.98,yellow,47.0,green,23.53,green,95.0
25,2022-01-15,yellow,22.71,yellow,52.0,green,23.26,green,95.0
26,2022-01-16,green,22.57,green,68.0,green,23.89,green,90.0
27,2022-01-17,green,23.21,green,72.0,green,24.13,green,93.0
28,2022-01-18,green,22.95,yellow,55.0,green,23.9,green,92.0
29,2022-01-19,green,23.17,green,76.0,green,24.57,green,95.0
30,2022-01-20,yellow,22.16,green,82.0,green,23.93,green,96.0
31,2022-01-21,yellow,21.98,green,78.0,green,23.89,green,97.0
32,2022-01-22,yellow,22.88,green,77.0,green,23.85,green,97.0
33,2022-01-23,yellow,22.95,green,73.0,green,23.64,green,97.0
34,2022-01-24,green,22.99,green,71.0,green,23.89,green,97.0
35,2022-01-25,green,22.56,green,69.0,green,23.89,green,96.0
36,2022-01-26,green,22.21,green,67.0,yellow,23.82,green,97.0
37,2022-01-27,green,22.72,green,73.0,green,23.77,green,98.0
38,2022-01-28,yellow,22.56,yellow,55.0,green,23.83,green,97.0
39,2022-01-29,green,22.42,yellow,56.0,green,23.91,green,95.0
40,2022-01-30,green,22.8,yellow,55.0,green,24.14,green,96.0
41,2022-01-31,green,22.57,green,74.0,green,23.46,green,93.0
42,2022-02-01,green,22.63,green,77.0,green,23.36,green,81.0
43,2022-02-02,red,22.01,green,68.0,green,22.89,green,79.0
44,2022-02-03,red,20.76,green,78.0,green,22.09,green,82.0
45,2022-02-04,yellow,21.29,green,83.0,green,21.88,green,82.0
46,2022-02-05,red,20.62,green,84.0,yellow,21.83,green,87.0
47,2022-02-06,green,22.13,green,79.0,green,22.63,green,78.0
48,2022-02-07,yellow,22.04,green,77.0,green,22.63,green,79.0
49,2022-02-08,green,22.2,green,77.0,green,22.85,green,71.0
50,2022-02-09,green,22.29,green,74.0,green,23.09,green,70.0
51,2022-02-10,green,22.35,green,77.0,green,22.68,green,76.0
52,2022-02-11,green,22.36,green,84.0,green,23.23,green,83.0
53,2022-02-12,green,22.29,green,79.0,green,22.68,green,67.0
54,2022-02-13,green,21.94,green,75.0,green,22.32,yellow,53.0
55,2022-02-14,green,21.96,green,75.0,green,22.37,green,71.0
56,2022-02-15,green,21.82,green,75.0,green,22.55,green,75.0
57,2022-02-16,green,22.33,green,83.0,green,23.19,green,88.0
58,2022-02-17,green,22.07,green,75.0,green,22.48,green,75.0
59,2022-02-18,green,21.58,green,67.0,yellow,21.75,green,68.0
60,2022-02-19,green,21.98,green,64.0,yellow,22.09,green,70.0
61,2022-02-20,green,21.49,green,83.0,green,22.32,green,80.0
62,2022-02-21,green,22.03,green,85.0,green,22.51,green,90.0
63,2022-02-22,green,22.26,green,86.0,green,22.9,green,92.0
64,2022-02-23,green,21.92,green,67.0,green,22.34,green,76.0
65,2022-02-24,green,21.64,green,72.0,green,21.94,green,79.0
66,2022-02-25,green,21.71,green,74.0,green,22.17,green,87.0
67,2022-02-26,green,21.51,green,69.0,green,22.11,green,76.0
68,2022-02-27,green,21.75,green,77.0,green,22.22,green,77.0
69,2022-02-28,green,21.6,green,83.0,green,22.1,green,89.0
70,2022-03-01,green,22.01,green,87.0,green,22.74,green,97.0
71,2022-03-02,green,21.81,green,84.0,green,22.53,green,98.0
72,2022-03-03,green,21.21,green,87.0,green,21.99,green,93.0
73,2022-03-04,green,21.3,green,83.0,green,22.11,green,92.0
74,2022-03-05,yellow,21.97,green,93.0,yellow,22.59,green,96.0
75,2022-03-06,green,21.64,green,92.0,green,22.2,green,97.0
76,2022-03-07,green,21.37,green,69.0,green,21.97,green,92.0
77,2022-03-08,green,21.16,green,73.0,green,21.68,green,85.0
78,2022-03-09,green,21.23,green,75.0,green,21.65,green,94.0
79,2022-03-10,green,21.12,green,76.0,green,21.44,green,92.0
80,2022-03-11,green,21.56,green,75.0,green,22.02,green,92.0
81,2022-03-12,green,21.41,green,75.0,green,21.84,green,92.0
82,2022-03-13,green,21.11,green,78.0,green,21.85,green,95.0
83,2022-03-14,yellow,21.48,green,86.0,yellow,22.18,green,97.0
84,2022-03-15,yellow,21.57,green,89.0,yellow,22.12,green,98.0
85,2022-03-16,yellow,21.63,green,88.0,green,22.06,green,96.0
86,2022-03-17,yellow,21.21,green,94.0,yellow,21.82,green,97.0
87,2022-03-18,green,21.12,green,92.0,green,21.65,green,97.0
88,2022-03-19,green,21.3,green,85.0,green,21.9,green,97.0
89,2022-03-20,yellow,21.31,green,91.0,yellow,21.83,green,96.0
90,2022-03-21,green,21.53,green,93.0,green,21.97,green,98.0
91,2022-03-22,green,20.69,green,97.0,green,21.32,green,99.0
92,2022-03-23,green,20.79,green,97.0,green,21.17,green,96.0
93,2022-03-24,green,21.24,green,95.0,green,21.7,green,97.0
94,2022-03-25,yellow,21.37,green,97.0,red,21.66,green,98.0
95,2022-03-26,green,21.46,green,94.0,green,21.59,green,97.0
96,2022-03-27,green,20.69,green,93.0,green,21.04,green,96.0
97,2022-03-28,green,20.8,green,94.0,green,20.99,green,98.0
98,2022-03-29,green,20.77,green,94.0,green,21.44,green,96.0
99,2022-03-30,green,20.6,green,98.0,green,21.2,green,98.0
100,2022-03-31,green,21.05,green,97.0,green,21.41,green,96.0
101,2022-04-01,green,20.71,green,97.0,green,21.46,green,97.0
102,2022-04-02,green,20.65,green,97.0,green,21.31,green,97.0
103,2022-04-03,green,20.62,green,97.0,green,21.23,green,97.0
104,2022-04-04,green,20.25,green,97.0,green,20.85,green,96.0
105,2022-04-05,green,20.39,green,95.0,green,21.11,green,96.0
106,2022-04-06,yellow,20.24,green,96.0,yellow,20.85,green,97.0
107,2022-04-07,yellow,20.13,green,93.0,green,20.75,green,97.0
108,2022-04-08,green,20.57,green,94.0,green,20.92,green,97.0
109,2022-04-09,yellow,20.43,green,97.0,green,20.93,green,96.0
110,2022-04-10,green,20.87,green,92.0,green,21.03,green,97.0
111,2022-04-11,green,20.11,green,99.0,yellow,20.73,green,96.0
112,2022-04-12,green,20.71,green,97.0,green,21.0,green,97.0
113,2022-04-13,yellow,19.98,green,98.0,red,19.9,green,97.0
114,2022-04-14,yellow,20.15,green,97.0,yellow,20.77,green,96.0
115,2022-04-15,green,19.9,green,97.0,green,20.6,green,97.0
116,2022-04-16,yellow,20.02,green,96.0,green,20.81,green,97.0
117,2022-04-17,green,19.65,green,97.0,green,20.58,green,96.0
118,2022-04-18,yellow,20.26,green,97.0,yellow,20.9,green,99.0
119,2022-04-19,green,19.77,green,95.0,green,20.48,green,98.0
120,2022-04-20,green,19.4,green,96.0,green,20.12,green,97.0
121,2022-04-21,yellow,19.75,green,96.0,yellow,20.18,green,96.0
122,2022-04-22,green,20.84,green,98.0,green,21.15,green,97.0
123,2022-04-23,green,23.43,green,98.0,green,23.85,green,97.0
124,2022-04-24,green,19.77,green,96.0,green,19.97,green,96.0
125,2022-04-25,green,19.33,green,97.0,red,19.61,green,98.0
126,2022-04-26,green,19.46,green,96.0,green,19.68,green,97.0
127,2022-04-27,green,19.38,green,95.0,yellow,19.67,green,97.0
128,2022-04-28,green,19.43,green,94.0,green,19.78,green,96.0
129,2022-04-29,green,19.47,green,96.0,green,19.55,green,97.0
130,2022-04-30,yellow,20.16,green,97.0,yellow,20.44,green,97.0
131,2022-05-01,yellow,19.25,green,97.0,yellow,19.67,green,97.0
132,2022-05-02,green,19.02,green,94.0,green,19.12,green,97.0
133,2022-05-03,green,19.1,green,91.0,green,19.49,green,96.0
134,2022-05-04,green,19.27,green,93.0,green,19.37,green,99.0
135,2022-05-05,green,19.7,green,92.0,green,19.43,green,97.0
136,2022-05-06,green,19.55,green,93.0,green,19.32,green,97.0
137,2022-05-07,green,19.54,green,92.0,green,19.73,green,99.0
138,2022-05-08,green,19.73,green,93.0,green,19.96,green,96.0
139,2022-05-09,yellow,23.55,green,95.0,yellow,24.04,green,96.0
140,2022-05-10,yellow,26.41,green,96.0,yellow,26.98,green,97.0
141,2022-05-11,yellow,28.05,green,95.0,yellow,28.53,green,97.0
142,2022-05-12,yellow,28.36,green,97.0,yellow,28.74,green,97.0
143,2022-05-13,red,24.95,green,97.0,yellow,25.34,green,98.0
144,2022-05-14,red,23.05,green,97.0,red,23.24,green,96.0
145,2022-05-15,green,19.56,green,97.0,green,19.81,green,96.0
146,2022-05-16,red,20.86,green,84.0,red,21.11,green,97.0
147,2022-05-17,blue,18.2,blue,,blue,18.56,blue,
177,2022-05-18,blue,,blue,,blue,,blue,
148,2022-05-19,green,25.58,blue,,green,25.97,blue,
149,2022-05-20,green,22.31,green,96.0,green,22.53,green,97.0
150,2022-05-21,green,17.7,green,96.0,green,17.95,green,97.0
151,2022-05-22,green,16.15,green,97.0,green,16.37,green,97.0
152,2022-05-23,yellow,24.45,green,98.0,yellow,24.74,green,97.0
153,2022-05-24,yellow,28.67,green,74.0,yellow,29.12,green,82.0
154,2022-05-25,green,28.49,yellow,43.0,green,28.68,yellow,54.0
155,2022-05-26,green,28.34,green,69.0,yellow,28.69,yellow,60.0
156,2022-05-27,green,28.38,green,76.0,green,28.72,green,65.0
157,2022-05-28,green,28.55,green,81.0,green,28.7,green,73.0
158,2022-05-29,green,29.06,green,84.0,green,29.06,green,72.0
159,2022-05-30,green,29.29,green,81.0,green,29.38,green,83.0
160,2022-05-31,green,29.28,green,82.0,green,29.15,green,85.0
161,2022-06-01,green,28.46,green,84.0,green,28.49,green,79.0
162,2022-06-02,green,28.32,green,94.0,yellow,28.69,green,86.0
163,2022-06-03,green,28.54,green,96.0,green,28.89,green,89.0
164,2022-06-04,green,28.0,green,97.0,green,28.34,green,93.0
165,2022-06-05,green,28.2,green,96.0,green,28.55,green,88.0
166,2022-06-06,green,28.27,green,94.0,green,28.42,green,88.0
167,2022-06-07,green,28.05,green,95.0,green,28.14,green,94.0
168,2022-06-08,green,27.31,green,95.0,green,27.2,green,95.0
