"ModelName","ModelAIC","Time_to_Convergence"
"Level1_glm",17244.4330450963,0.0522294044494629
"Level1_oinv_glm",16924.1271534765,0.114956617355347
"Level1_inv_glm",16760.0897899557,0.136906862258911
"Level2_a_glm",17150.5751652943,0.146440982818604
"Level2_a_oinv_glm",16908.5848072407,0.195542573928833
"Level2_a_inv_glm",16729.1075722027,0.215394735336304
"Level2_b_glm",17026.2465752844,0.200689077377319
"Level2_b_oinv_glm",16776.640414228,0.230411767959595
"Level2_b_inv_glm",16616.6601700105,0.35708212852478
"Level2_c_glm",16969.4812390087,0.187978029251099
"Level2_c_oinv_glm",102175.82260472,1.5498161315918
"Level2_c_inv_glm",16572.6979587943,0.483317852020264
"Level3_a_glmer",16317.2650362332,48.5925402641296
"Level3_a_oinv_glmer",16136.5446504914,65.3464279174805
"Level3_a_inv_glmer",16067.2150702392,99.5984117984772
"Level3_b_oinv_glmer",15238.9153017881,192.159548282623
"Level3_b_inv_glmer",15240.448579068,308.668847560883
"Level4_a_glmer",16085.192934515,65.7862050533295
"Level4_a_oinv_glmer",15894.2797060226,48.6828796863556
"Level4_a_inv_glmer",15770.0134612374,127.065175056458
"Level4_b_glmer",28824.2476830593,185.605404853821
"Level4_b_oinv_glmer",28648.0631763829,140.762969970703
