,Date (America/Chicago),"Maschhoff_BIBL_C_RM3 Temp shock - color
 (MO202101-CJSR9JKN)","Maschhoff_BIBL_C_RM3 Temp (°C) - data
 (MO202101-CJSR9JKN)","Maschhoff_BIBL_C_RM3 ReHS - color
 (MO202101-CJSR9JKN)","Maschhoff_BIBL_C_RM3 ReHS - data
 (MO202101-CJSR9JKN)","Maschhoff_BIBL_C_RM4  Temp shock - color
 (MO1936XX-P6TLS59Q)","Maschhoff_BIBL_C_RM4  Temp (°C) - data
 (MO1936XX-P6TLS59Q)","Maschhoff_BIBL_C_RM4  ReHS - color
 (MO1936XX-P6TLS59Q)","Maschhoff_BIBL_C_RM4  ReHS - data
 (MO1936XX-P6TLS59Q)","Maschhoff_BIBL_EC_RM3 Temp shock - color
 (MO202001-DSXZ8WVL)","Maschhoff_BIBL_EC_RM3 Temp (°C) - data
 (MO202001-DSXZ8WVL)","Maschhoff_BIBL_EC_RM3 ReHS - color
 (MO202001-DSXZ8WVL)","Maschhoff_BIBL_EC_RM3 ReHS - data
 (MO202001-DSXZ8WVL)","Maschhoff_BIBL_EC_RM4 Temp shock - color
 (MO201201-4C7S5KNG)","Maschhoff_BIBL_EC_RM4 Temp (°C) - data
 (MO201201-4C7S5KNG)","Maschhoff_BIBL_EC_RM4 ReHS - color
 (MO201201-4C7S5KNG)","Maschhoff_BIBL_EC_RM4 ReHS - data
 (MO201201-4C7S5KNG)","Maschhoff_BIBL_EE_RM3 Temp shock - color
 (MO201201-KQQ77D7J)","Maschhoff_BIBL_EE_RM3 Temp (°C) - data
 (MO201201-KQQ77D7J)","Maschhoff_BIBL_EE_RM3 ReHS - color
 (MO201201-KQQ77D7J)","Maschhoff_BIBL_EE_RM3 ReHS - data
 (MO201201-KQQ77D7J)","Maschhoff_BIBL_EE_RM4 Temp shock - color
 (MO201401-BGHDKCLJ)","Maschhoff_BIBL_EE_RM4 Temp (°C) - data
 (MO201401-BGHDKCLJ)","Maschhoff_BIBL_EE_RM4 ReHS - color
 (MO201401-BGHDKCLJ)","Maschhoff_BIBL_EE_RM4 ReHS - data
 (MO201401-BGHDKCLJ)","Maschhoff_BIBL_WC_RM3 Temp shock - color
 (MO201201-JPTKLQ7D)","Maschhoff_BIBL_WC_RM3 Temp (°C) - data
 (MO201201-JPTKLQ7D)","Maschhoff_BIBL_WC_RM3 ReHS - color
 (MO201201-JPTKLQ7D)","Maschhoff_BIBL_WC_RM3 ReHS - data
 (MO201201-JPTKLQ7D)","Maschhoff_BIBL_WC_RM4 Temp shock - color
 (MO201401-8FBZLPSJ)","Maschhoff_BIBL_WC_RM4 Temp (°C) - data
 (MO201401-8FBZLPSJ)","Maschhoff_BIBL_WC_RM4 ReHS - color
 (MO201401-8FBZLPSJ)","Maschhoff_BIBL_WC_RM4 ReHS - data
 (MO201401-8FBZLPSJ)","Maschhoff_BIBL_WW_RM3 Temp shock - color
 (MO201401-8HZ6MVH5)","Maschhoff_BIBL_WW_RM3 Temp (°C) - data
 (MO201401-8HZ6MVH5)","Maschhoff_BIBL_WW_RM3 ReHS - color
 (MO201401-8HZ6MVH5)","Maschhoff_BIBL_WW_RM3 ReHS - data
 (MO201401-8HZ6MVH5)","Maschhoff_BIBL_WW_RM4 Temp shock - color
 (MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM4 Temp (°C) - data
 (MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM4 ReHS - color
 (MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM4 ReHS - data
 (MO201401-SWCJ996P)"
320,2021-12-25,green,24.0,green,96.0,green,24.0,green,96.0,green,23.0,green,85.0,green,23.5,green,93.0,green,23.0,green,76.0,green,22.0,green,97.0,green,24.0,green,99.0,green,25.0,green,97.0,green,24.0,green,98.0,green,25.5,green,98.0
321,2021-12-26,green,22.0,green,94.0,green,23.0,green,96.0,green,22.0,green,91.0,green,24.0,green,96.0,green,22.0,green,88.0,green,23.5,green,98.0,green,22.0,green,99.0,green,23.5,green,98.0,green,21.5,green,96.0,green,23.5,green,96.0
322,2021-12-27,green,23.0,green,93.0,green,23.5,green,97.0,green,23.0,green,93.0,green,23.5,green,97.0,green,22.5,green,88.0,green,22.5,green,99.0,green,23.5,green,96.0,green,24.5,green,98.0,green,24.0,green,96.0,green,25.0,green,99.0
323,2021-12-28,green,21.5,green,96.0,green,21.0,green,96.0,green,22.0,green,94.0,green,22.5,green,96.0,green,21.0,green,91.0,green,22.5,green,96.0,green,21.5,green,99.0,green,22.5,green,99.0,green,21.5,green,94.0,green,22.0,green,96.0
324,2021-12-29,green,21.5,green,97.0,green,21.5,green,96.0,green,21.5,green,97.0,green,22.5,green,94.0,green,20.5,green,94.0,green,22.5,green,97.0,green,21.5,green,99.0,green,22.5,green,99.0,green,21.0,green,96.0,green,22.0,green,94.0
325,2021-12-30,green,22.0,green,99.0,green,21.5,green,97.0,green,22.0,green,96.0,green,23.0,green,96.0,green,21.0,green,97.0,green,22.5,green,97.0,green,22.0,green,99.0,green,23.0,green,99.0,green,21.5,green,99.0,green,22.5,green,96.0
326,2021-12-31,green,23.0,green,97.0,green,23.0,green,97.0,green,23.0,green,96.0,green,23.5,green,96.0,green,22.0,green,91.0,green,22.0,green,96.0,green,23.0,green,99.0,green,24.5,green,99.0,green,23.5,green,97.0,green,24.5,green,99.0
327,2022-01-01,green,22.0,green,99.0,green,22.0,green,99.0,green,22.0,green,96.0,green,23.0,green,96.0,green,21.0,green,96.0,green,22.0,green,97.0,green,21.5,green,97.0,green,23.5,green,99.0,green,21.5,green,99.0,green,23.5,green,94.0
328,2022-01-02,green,20.5,green,99.0,green,20.0,green,96.0,green,20.5,green,98.0,green,20.5,green,96.0,green,19.0,green,94.0,green,21.0,green,91.0,green,20.0,green,99.0,green,20.5,green,99.0,green,19.5,green,98.0,green,20.5,green,91.0
329,2022-01-03,green,20.0,green,99.0,green,19.5,green,99.0,green,20.0,green,96.0,green,21.0,green,96.0,green,18.5,green,96.0,green,21.5,green,91.0,green,20.0,green,99.0,green,20.0,green,99.0,green,19.5,green,99.0,green,20.0,green,96.0
330,2022-01-04,green,20.0,green,97.0,green,19.0,green,97.0,green,20.5,green,96.0,green,21.5,green,96.0,green,18.5,green,96.0,green,21.5,green,99.0,green,20.5,green,99.0,green,20.5,green,96.0,green,20.0,green,97.0,green,20.5,green,99.0
331,2022-01-05,green,20.5,green,97.0,green,19.5,green,94.0,green,20.5,green,96.0,green,21.0,green,96.0,green,19.0,green,96.0,green,21.5,green,96.0,green,20.5,green,98.0,green,21.0,green,99.0,green,20.5,green,97.0,green,20.5,green,99.0
332,2022-01-06,green,19.5,green,96.0,green,19.0,green,94.0,green,19.5,green,94.0,green,21.0,green,93.0,green,18.5,green,94.0,green,20.5,green,99.0,green,19.5,green,99.0,green,20.0,green,99.0,green,19.0,green,99.0,green,20.5,green,94.0
333,2022-01-07,green,19.5,green,99.0,green,19.5,green,96.0,green,19.5,green,94.0,green,21.0,green,94.0,green,18.5,green,94.0,green,20.5,green,99.0,green,20.0,green,98.0,green,20.0,green,97.0,green,18.5,green,99.0,green,21.0,green,96.0
334,2022-01-08,green,20.5,green,98.0,green,19.5,green,99.0,green,20.5,green,99.0,green,21.5,green,93.0,green,19.0,green,96.0,green,21.0,green,99.0,green,20.5,green,96.0,green,21.0,green,99.0,green,20.0,green,98.0,green,21.5,green,99.0
335,2022-01-09,green,21.0,green,97.0,green,20.0,green,99.0,green,21.0,green,96.0,green,21.5,green,96.0,green,19.5,green,96.0,green,21.0,green,97.0,green,20.5,green,99.0,green,22.0,green,97.0,green,20.5,green,97.0,green,21.5,green,99.0
336,2022-01-10,green,20.0,green,97.0,green,19.5,green,99.0,green,20.0,green,96.0,green,21.0,green,94.0,green,19.0,green,99.0,green,21.0,green,99.0,green,20.0,green,99.0,green,21.0,green,99.0,green,19.5,green,97.0,green,21.0,green,97.0
337,2022-01-11,green,20.0,green,91.0,green,19.5,green,97.0,green,20.0,green,96.0,green,21.5,green,90.0,green,19.0,green,93.0,green,21.0,green,99.0,green,20.5,green,96.0,green,21.0,green,99.0,green,20.0,green,94.0,green,21.0,green,99.0
338,2022-01-12,green,21.5,green,90.0,green,21.0,green,97.0,green,21.5,green,94.0,green,22.0,green,96.0,green,20.5,green,90.0,green,21.5,green,99.0,green,21.5,green,94.0,green,22.0,green,99.0,green,21.0,green,96.0,green,22.0,green,97.0
339,2022-01-13,green,21.5,green,96.0,green,21.0,green,97.0,green,21.5,green,99.0,green,22.0,green,96.0,green,20.5,green,94.0,green,21.5,green,97.0,green,21.0,green,97.0,green,22.0,green,97.0,green,20.5,green,96.0,green,22.0,green,97.0
340,2022-01-14,green,22.0,green,96.0,green,20.5,green,96.0,green,21.5,green,99.0,green,22.5,green,94.0,green,19.5,green,99.0,green,21.5,green,99.0,green,21.0,green,97.0,green,22.0,green,99.0,green,20.5,green,98.0,green,21.5,green,96.0
341,2022-01-15,green,21.5,green,96.0,green,20.5,green,96.0,green,21.0,green,99.0,green,22.0,green,94.0,green,19.0,green,96.0,green,21.5,green,96.0,green,21.0,green,99.0,green,21.5,green,99.0,green,20.5,green,96.0,green,21.0,green,98.0
342,2022-01-16,green,20.5,green,99.0,green,20.0,green,99.0,green,20.5,green,97.0,green,21.5,green,99.0,green,18.5,green,96.0,green,21.5,green,98.0,green,20.0,green,99.0,green,20.5,green,99.0,green,20.0,green,97.0,green,20.5,green,99.0
343,2022-01-17,green,20.5,green,99.0,green,20.0,green,99.0,green,21.0,green,99.0,green,21.5,green,96.0,green,19.0,green,99.0,green,21.5,green,99.0,green,19.5,green,99.0,green,21.0,green,99.0,green,19.5,green,96.0,green,21.0,green,98.0
344,2022-01-18,green,21.0,green,99.0,green,21.0,green,97.0,green,20.5,green,99.0,green,22.5,green,99.0,green,20.5,green,97.0,green,22.0,green,98.0,green,20.5,green,99.0,green,22.0,green,98.0,green,20.5,green,99.0,green,22.5,green,99.0
345,2022-01-19,green,20.5,green,99.0,green,20.5,green,99.0,green,20.0,green,99.0,green,22.0,green,97.0,green,20.5,green,99.0,green,21.0,green,96.0,green,20.0,green,98.0,green,21.5,green,98.0,green,20.0,green,96.0,green,21.5,green,96.0
346,2022-01-20,green,19.0,green,97.0,green,19.5,green,99.0,green,19.5,green,99.0,green,21.0,green,98.0,green,19.0,green,96.0,green,20.0,green,96.0,green,19.0,green,99.0,green,20.0,green,97.0,green,18.0,green,96.0,green,20.0,green,99.0
347,2022-01-21,green,19.5,green,99.0,green,19.0,green,99.0,green,19.5,green,98.0,green,20.5,green,99.0,green,18.5,green,99.0,green,20.5,green,96.0,green,19.0,green,99.0,green,19.5,green,99.0,green,18.5,green,97.0,green,20.0,green,99.0
348,2022-01-22,green,20.0,green,99.0,green,19.5,green,99.0,green,20.0,green,96.0,green,21.5,green,96.0,green,19.0,green,98.0,green,21.0,green,98.0,green,19.5,green,99.0,green,20.5,green,99.0,green,19.0,green,99.0,green,20.5,green,99.0
349,2022-01-23,green,20.5,green,99.0,green,20.0,green,99.0,green,20.5,green,97.0,green,21.5,green,97.0,green,19.0,green,97.0,green,21.0,green,99.0,green,20.0,green,99.0,green,21.0,green,97.0,green,19.5,green,99.0,green,20.5,green,99.0
350,2022-01-24,green,20.5,green,97.0,green,20.5,green,97.0,green,20.5,green,97.0,green,21.5,green,99.0,green,20.0,green,99.0,green,21.0,green,99.0,green,20.0,green,99.0,green,21.5,green,99.0,green,20.0,green,99.0,green,21.0,green,96.0
351,2022-01-25,green,19.5,green,99.0,green,20.5,green,97.0,green,20.0,green,99.0,green,21.0,green,97.0,green,18.5,green,99.0,green,21.0,green,99.0,green,19.0,green,99.0,green,20.0,green,98.0,green,18.5,green,98.0,green,19.5,green,96.0
352,2022-01-26,green,19.5,green,97.0,green,19.5,green,99.0,green,19.5,green,97.0,green,20.0,green,99.0,green,18.5,green,99.0,green,20.5,green,99.0,green,19.5,green,98.0,green,19.5,green,99.0,green,18.0,green,99.0,green,19.5,green,96.0
353,2022-01-27,green,20.5,green,99.0,green,20.0,green,99.0,green,20.0,green,99.0,green,21.5,green,99.0,green,19.5,green,94.0,green,21.0,green,99.0,green,19.5,green,99.0,green,20.5,green,94.0,green,19.5,green,97.0,green,21.0,green,99.0
354,2022-01-28,green,20.0,green,97.0,green,20.5,green,97.0,green,20.0,green,96.0,green,21.0,green,97.0,green,19.0,green,97.0,blue,20.5,blue,,green,19.5,green,98.0,green,20.0,green,99.0,green,18.5,green,99.0,green,20.0,green,97.0
355,2022-01-29,green,20.0,green,94.0,green,20.0,green,96.0,green,19.5,green,99.0,green,21.0,green,99.0,green,18.5,green,99.0,green,20.5,green,98.0,green,19.5,green,97.0,green,20.0,green,96.0,green,18.5,green,97.0,green,19.5,green,96.0
356,2022-01-30,green,20.5,green,99.0,green,20.0,green,97.0,green,20.0,green,99.0,green,21.5,green,99.0,green,19.5,green,99.0,green,20.5,green,97.0,green,19.5,green,99.0,green,20.5,green,97.0,green,19.0,green,99.0,green,20.5,green,96.0
357,2022-01-31,green,20.5,green,96.0,green,20.0,green,99.0,green,20.0,green,98.0,green,21.0,green,97.0,green,19.5,green,97.0,blue,21.0,blue,,green,20.0,green,97.0,green,20.0,green,98.0,green,19.5,green,99.0,green,20.5,green,97.0
358,2022-02-01,green,21.5,green,99.0,green,21.5,green,99.0,green,21.0,green,99.0,green,22.0,green,99.0,green,21.5,green,99.0,green,21.5,green,97.0,green,21.0,green,97.0,green,21.5,green,98.0,green,21.0,green,99.0,green,22.0,green,99.0
359,2022-02-02,green,20.5,green,99.0,green,20.5,green,96.0,green,20.0,green,99.0,green,21.5,green,96.0,green,19.5,green,99.0,green,20.5,green,96.0,green,20.0,green,99.0,green,20.5,green,99.0,green,20.0,green,99.0,green,21.0,green,98.0
360,2022-02-03,green,19.0,green,96.0,green,19.5,green,99.0,green,19.5,green,94.0,green,20.5,green,99.0,green,18.5,green,99.0,green,20.5,green,98.0,green,19.0,green,97.0,green,20.0,green,98.0,green,19.0,green,99.0,green,20.0,green,94.0
361,2022-02-04,green,19.0,green,96.0,green,19.5,green,99.0,green,19.5,green,99.0,green,20.5,green,96.0,green,18.5,green,99.0,green,20.5,green,97.0,green,19.0,green,99.0,green,20.0,green,94.0,green,18.5,green,99.0,green,19.5,green,90.0
362,2022-02-05,green,19.0,green,99.0,green,19.5,green,99.0,green,18.5,green,96.0,green,20.5,green,96.0,green,18.0,green,99.0,green,20.5,green,99.0,green,19.0,green,94.0,green,19.5,green,99.0,green,17.5,green,99.0,green,19.0,green,99.0
363,2022-02-06,green,19.5,green,93.0,green,20.0,green,99.0,green,19.5,green,97.0,green,21.0,green,99.0,green,19.0,green,94.0,green,20.5,green,97.0,green,19.5,green,87.0,green,20.0,green,96.0,green,18.5,green,96.0,green,20.0,green,97.0
364,2022-02-07,green,20.0,green,99.0,green,21.0,green,96.0,green,20.0,green,98.0,green,21.0,green,96.0,green,19.0,green,99.0,green,20.0,green,98.0,green,19.5,green,94.0,green,20.0,green,98.0,green,18.5,green,94.0,green,19.5,green,99.0
365,2022-02-08,green,20.5,green,96.0,green,21.0,green,99.0,green,20.0,green,99.0,green,21.0,green,93.0,green,20.5,green,96.0,green,20.5,green,98.0,green,20.0,green,97.0,green,20.5,green,99.0,green,19.0,green,97.0,green,20.5,green,97.0
366,2022-02-09,green,20.5,green,96.0,green,21.0,green,97.0,green,19.0,green,96.0,green,21.5,green,94.0,green,21.5,green,97.0,green,21.0,green,99.0,green,20.5,green,98.0,green,20.5,green,97.0,green,20.0,green,99.0,green,21.5,green,99.0
367,2022-02-10,green,20.5,green,99.0,green,20.0,green,99.0,green,19.0,green,97.0,green,21.5,green,97.0,green,21.0,green,99.0,green,21.0,green,99.0,green,20.5,green,99.0,green,19.5,green,99.0,green,18.5,green,99.0,green,21.5,green,99.0
368,2022-02-11,green,20.5,green,99.0,green,20.0,green,99.0,green,18.5,green,97.0,green,22.0,green,99.0,green,21.0,green,98.0,green,21.0,green,96.0,green,20.5,green,98.0,green,20.0,green,96.0,green,19.5,green,99.0,green,21.5,green,99.0
369,2022-02-12,green,18.5,green,99.0,green,19.5,green,99.0,green,18.0,green,99.0,green,20.0,green,97.0,green,19.5,green,96.0,green,20.0,green,99.0,green,19.5,green,99.0,green,19.0,green,94.0,green,17.0,green,99.0,green,19.5,green,94.0
370,2022-02-13,green,19.0,green,96.0,green,19.0,green,99.0,green,17.5,green,99.0,green,20.5,green,96.0,green,19.0,green,94.0,green,20.0,green,99.0,green,19.5,green,97.0,green,18.5,green,98.0,green,17.0,green,97.0,green,19.0,green,99.0
371,2022-02-14,green,19.0,green,97.0,green,19.5,green,99.0,green,17.0,green,99.0,green,20.5,green,97.0,green,19.5,green,94.0,green,20.5,green,99.0,green,19.5,green,99.0,green,19.0,green,98.0,green,17.0,green,96.0,green,20.0,green,96.0
372,2022-02-15,green,19.0,green,99.0,green,20.0,green,99.0,green,18.5,green,98.0,green,22.0,green,94.0,green,22.0,green,96.0,green,21.5,green,98.0,green,19.5,green,99.0,green,19.5,green,99.0,green,18.5,green,99.0,green,20.5,green,97.0
373,2022-02-16,green,20.0,green,94.0,green,21.0,green,97.0,green,20.5,green,97.0,green,23.0,green,93.0,green,23.0,green,96.0,yellow,21.0,green,99.0,green,21.0,green,97.0,green,22.5,green,99.0,green,21.5,green,99.0,green,23.0,green,99.0
374,2022-02-17,green,16.0,green,94.0,green,18.0,green,97.0,green,18.5,green,97.0,green,22.0,green,93.0,green,21.5,green,97.0,green,22.5,green,96.0,green,17.5,green,99.0,green,19.5,green,99.0,red,18.0,green,99.0,green,19.5,green,99.0
375,2022-02-18,green,15.0,green,94.0,green,17.5,green,99.0,green,18.0,green,99.0,green,21.5,green,97.0,green,20.0,green,93.0,green,22.5,green,99.0,green,17.5,green,97.0,green,18.0,green,99.0,green,18.0,green,97.0,green,17.5,green,96.0
376,2022-02-19,green,15.5,green,96.0,green,16.5,green,96.0,green,18.0,green,99.0,green,21.0,green,99.0,green,20.5,green,99.0,green,22.0,green,96.0,green,18.0,green,96.0,green,18.0,green,99.0,green,16.5,green,98.0,green,17.5,green,79.0
377,2022-02-20,green,16.5,green,96.0,green,17.5,green,99.0,green,19.5,green,96.0,green,22.0,green,98.0,green,21.0,green,96.0,green,22.5,green,96.0,green,18.5,green,97.0,green,19.0,green,94.0,green,18.5,green,81.0,green,19.0,green,90.0
378,2022-02-21,green,18.5,green,96.0,green,20.0,green,99.0,green,20.5,green,99.0,green,22.5,green,99.0,yellow,22.5,green,99.0,yellow,22.0,green,97.0,green,19.5,green,99.0,green,21.5,green,99.0,green,19.5,green,85.0,green,21.5,green,96.0
379,2022-02-22,green,19.0,green,94.0,green,20.5,green,99.0,green,20.5,green,99.0,green,22.0,green,96.0,green,22.0,green,99.0,green,23.0,green,99.0,green,19.0,green,99.0,green,21.5,green,99.0,green,19.0,green,99.0,green,21.0,green,96.0
380,2022-02-23,green,16.0,green,89.0,green,18.0,green,99.0,green,16.5,green,97.0,green,20.0,green,95.0,green,18.0,green,95.0,green,22.0,green,98.0,green,18.0,green,95.0,green,19.0,green,98.0,green,16.0,green,98.0,green,16.5,green,95.0
381,2022-02-24,green,16.5,green,95.0,green,18.5,green,96.0,green,15.5,green,98.0,green,18.5,green,94.0,green,17.5,green,95.0,green,20.0,green,98.0,green,18.5,green,97.0,green,20.0,green,98.0,green,16.0,green,98.0,green,18.5,green,97.0
382,2022-02-25,green,15.5,green,97.0,green,18.5,green,98.0,green,15.5,green,98.0,green,18.0,green,95.0,green,18.0,green,97.0,green,17.5,green,98.0,green,18.0,green,97.0,green,20.0,green,97.0,green,16.0,green,95.0,green,18.5,green,97.0
383,2022-02-26,green,16.0,green,95.0,green,18.5,green,98.0,green,16.0,green,98.0,green,18.5,green,97.0,green,18.0,green,90.0,green,17.5,green,79.0,green,18.0,green,98.0,green,20.0,green,98.0,green,16.5,green,95.0,green,18.5,green,98.0
384,2022-02-27,green,16.0,green,94.0,green,19.0,green,98.0,green,16.5,green,98.0,green,18.5,green,95.0,green,18.5,green,92.0,green,18.0,green,94.0,green,18.5,green,98.0,green,20.5,green,97.0,green,17.0,green,98.0,green,18.5,green,95.0
385,2022-02-28,green,16.5,green,89.0,green,19.5,green,97.0,green,17.0,green,97.0,green,19.5,green,92.0,green,19.5,green,95.0,green,19.0,green,94.0,green,18.5,green,95.0,green,21.0,green,98.0,green,17.0,green,98.0,green,19.5,green,95.0
386,2022-03-01,green,18.0,green,66.0,green,19.5,green,98.0,green,18.0,green,94.0,green,20.0,green,90.0,green,20.0,green,90.0,green,20.0,green,89.0,green,18.5,green,76.0,green,20.5,green,97.0,green,18.0,green,90.0,green,20.0,green,95.0
387,2022-03-02,green,19.5,green,82.0,green,20.0,green,98.0,green,19.0,green,97.0,green,21.0,green,92.0,green,20.5,green,97.0,green,20.5,green,90.0,green,19.0,green,95.0,green,21.0,green,95.0,green,18.5,green,95.0,green,20.5,green,97.0
388,2022-03-03,green,17.0,green,87.0,green,17.5,green,97.0,green,16.5,green,95.0,green,19.0,green,95.0,green,18.0,green,94.0,green,20.0,green,97.0,green,15.5,green,95.0,green,18.0,green,98.0,red,14.5,green,94.0,green,16.0,green,92.0
389,2022-03-04,green,16.5,green,95.0,green,17.5,green,94.0,green,17.0,green,89.0,green,19.5,green,89.0,green,18.5,green,86.0,green,20.0,green,96.0,green,16.0,green,95.0,green,16.0,green,95.0,green,16.0,green,90.0,green,15.5,green,94.0
390,2022-03-05,green,19.0,green,94.0,green,20.0,green,95.0,green,20.0,green,92.0,green,21.5,green,97.0,green,20.5,green,89.0,green,21.5,green,98.0,green,18.5,green,98.0,green,19.5,green,98.0,green,18.0,green,90.0,green,19.5,green,95.0
391,2022-03-06,green,17.5,green,98.0,green,18.5,green,95.0,green,18.5,green,98.0,green,20.5,green,95.0,green,20.0,green,97.0,green,21.5,green,97.0,green,17.0,green,98.0,green,18.5,green,96.0,green,17.0,green,89.0,green,19.0,green,98.0
392,2022-03-07,green,14.5,green,89.0,green,17.0,green,95.0,green,15.5,green,98.0,green,19.0,green,90.0,green,17.5,green,92.0,green,20.0,green,98.0,green,14.5,green,95.0,green,14.5,green,96.0,yellow,16.0,green,86.0,green,15.5,green,95.0
393,2022-03-08,green,15.0,green,89.0,green,16.5,green,95.0,green,15.5,green,97.0,green,17.5,green,90.0,green,16.5,green,89.0,green,19.5,green,98.0,green,15.5,green,89.0,green,14.5,green,97.0,green,16.0,green,87.0,green,15.5,green,94.0
394,2022-03-09,green,17.0,green,87.0,green,17.0,green,97.0,green,15.5,green,95.0,green,17.5,green,89.0,green,15.0,green,84.0,green,19.5,green,98.0,green,16.0,green,94.0,green,15.0,green,98.0,red,15.5,green,84.0,green,14.0,green,90.0
395,2022-03-10,green,16.0,green,94.0,green,16.5,green,92.0,green,14.5,green,95.0,green,16.5,green,95.0,green,14.0,green,94.0,green,17.0,green,98.0,yellow,16.0,green,97.0,green,15.5,green,98.0,red,15.5,green,84.0,green,14.0,green,87.0
396,2022-03-11,green,15.0,green,98.0,green,16.0,green,97.0,green,14.5,green,98.0,yellow,17.5,green,97.0,green,12.5,green,98.0,green,15.0,green,98.0,green,17.0,green,98.0,green,16.5,green,96.0,red,16.5,green,97.0,green,14.0,green,98.0
397,2022-03-12,green,15.0,green,97.0,green,17.0,green,98.0,green,14.5,green,97.0,yellow,18.0,green,96.0,green,12.5,green,97.0,green,15.0,green,97.0,green,17.0,green,99.0,green,17.0,green,99.0,red,17.0,green,97.0,green,14.0,green,98.0
398,2022-03-13,green,15.0,green,96.0,green,15.5,green,98.0,green,15.0,green,97.0,yellow,16.5,green,97.0,green,13.5,green,96.0,green,15.0,green,96.0,green,16.0,green,97.0,green,16.0,green,98.0,yellow,16.5,green,97.0,green,14.5,green,98.0
399,2022-03-14,green,15.5,green,97.0,green,15.5,green,99.0,green,15.5,green,96.0,green,16.5,green,97.0,green,14.5,green,97.0,green,15.5,green,98.0,green,16.0,green,98.0,green,16.0,green,98.0,green,15.5,green,99.0,green,15.5,green,98.0
400,2022-03-15,yellow,17.0,green,98.0,yellow,16.5,green,97.0,yellow,17.0,green,98.0,yellow,17.0,green,96.0,yellow,16.5,green,99.0,yellow,17.0,green,96.0,yellow,17.0,green,97.0,yellow,17.0,green,97.0,yellow,17.0,green,97.0,yellow,16.5,green,99.0
401,2022-03-16,yellow,18.0,green,97.0,yellow,17.0,green,98.0,yellow,17.0,green,96.0,yellow,18.0,green,98.0,yellow,17.0,green,98.0,yellow,17.0,green,99.0,yellow,17.5,green,99.0,yellow,17.5,green,97.0,yellow,17.5,green,98.0,yellow,17.0,green,98.0
402,2022-03-17,yellow,18.0,green,98.0,yellow,16.5,green,97.0,yellow,17.5,green,99.0,green,17.0,green,98.0,yellow,17.0,green,98.0,yellow,17.0,green,97.0,yellow,17.0,green,97.0,yellow,17.0,green,99.0,yellow,17.0,green,98.0,yellow,17.0,green,99.0
403,2022-03-18,green,14.5,green,98.0,green,14.5,green,96.0,green,14.0,green,98.0,green,15.5,green,99.0,green,14.0,green,97.0,green,15.0,green,99.0,green,13.5,green,99.0,green,15.0,green,96.0,green,13.5,green,98.0,green,14.5,green,97.0
404,2022-03-19,green,14.0,green,96.0,green,14.5,green,98.0,green,13.5,green,96.0,yellow,15.5,green,98.0,green,12.0,green,98.0,green,14.0,green,98.0,yellow,15.0,green,99.0,green,16.0,green,96.0,green,12.5,green,99.0,green,14.0,green,98.0
405,2022-03-20,green,15.0,green,97.0,green,15.5,green,96.0,green,15.0,green,98.0,yellow,16.0,green,98.0,yellow,14.0,green,99.0,green,15.5,green,98.0,yellow,15.0,green,98.0,green,16.0,green,96.0,yellow,13.5,green,98.0,green,15.0,green,98.0
406,2022-03-21,green,16.0,green,99.0,green,15.5,green,98.0,green,15.5,green,98.0,green,16.0,green,96.0,green,15.5,green,98.0,green,15.0,green,97.0,green,15.5,green,99.0,green,15.5,green,99.0,green,15.0,green,97.0,green,15.5,green,98.0
407,2022-03-22,green,13.5,green,96.0,green,12.5,green,98.0,green,13.0,green,98.0,green,13.0,green,98.0,green,12.5,green,96.0,green,13.0,green,98.0,green,12.5,green,97.0,green,13.0,green,98.0,green,12.5,green,98.0,green,13.0,green,97.0
408,2022-03-23,green,13.0,green,97.0,green,12.0,green,97.0,green,12.5,green,97.0,green,12.5,green,97.0,green,12.5,green,97.0,green,12.5,green,98.0,green,12.5,green,97.0,green,12.5,green,97.0,green,12.0,green,98.0,green,12.5,green,98.0
409,2022-03-24,blue,10.5,blue,,green,13.0,green,97.0,blue,9.5,blue,,green,14.0,green,98.0,blue,9.5,blue,,green,11.5,green,97.0,blue,9.5,blue,,green,14.5,green,97.0,blue,9.0,blue,,green,11.0,green,96.0
410,2022-03-25,blue,,blue,,green,19.0,green,97.0,blue,,blue,,green,20.0,green,98.0,blue,,blue,,green,16.0,green,96.0,blue,,blue,,green,19.0,green,96.0,blue,,blue,,green,15.0,green,97.0
411,2022-03-26,blue,,blue,,green,21.0,green,98.0,blue,,blue,,green,23.0,green,97.0,blue,,blue,,green,17.5,green,98.0,blue,,blue,,green,19.0,green,97.0,blue,,blue,,green,16.0,green,98.0
412,2022-03-27,blue,,blue,,green,26.5,green,96.0,blue,,blue,,green,28.0,green,96.0,blue,,blue,,green,24.0,green,97.0,blue,,blue,,green,26.5,green,97.0,blue,,blue,,green,23.0,green,98.0
413,2022-03-28,blue,,blue,,green,29.5,green,98.0,blue,,blue,,green,31.0,green,97.0,blue,,blue,,green,29.0,green,99.0,blue,,blue,,yellow,29.5,green,97.0,blue,,blue,,green,26.5,green,98.0
