,Date (America/Chicago),"Maschhoff_HOTC_C_RM7 Temp shock - color
 (MO201901-6P8LLGNG)","Maschhoff_HOTC_C_RM7 Temp (°C) - data
 (MO201901-6P8LLGNG)","Maschhoff_HOTC_C_RM7 ReHS - color
 (MO201901-6P8LLGNG)","Maschhoff_HOTC_C_RM7 ReHS - data
 (MO201901-6P8LLGNG)","Maschhoff_HOTC_C_RM8 Temp shock - color
 (MO202001-5VW997BT)","Maschhoff_HOTC_C_RM8 Temp (°C) - data
 (MO202001-5VW997BT)","Maschhoff_HOTC_C_RM8 ReHS - color
 (MO202001-5VW997BT)","Maschhoff_HOTC_C_RM8 ReHS - data
 (MO202001-5VW997BT)","Maschhoff_HOTC_EC_RM7 Temp shock - color
 (MO201301-48J2HC6M)","Maschhoff_HOTC_EC_RM7 Temp (°C) - data
 (MO201301-48J2HC6M)","Maschhoff_HOTC_EC_RM7 ReHS - color
 (MO201301-48J2HC6M)","Maschhoff_HOTC_EC_RM7 ReHS - data
 (MO201301-48J2HC6M)","Maschhoff_HOTC_EC_RM8 Temp shock - color
 (MO202101-5HBHCH9K)","Maschhoff_HOTC_EC_RM8 Temp (°C) - data
 (MO202101-5HBHCH9K)","Maschhoff_HOTC_EC_RM8 ReHS - color
 (MO202101-5HBHCH9K)","Maschhoff_HOTC_EC_RM8 ReHS - data
 (MO202101-5HBHCH9K)","Maschhoff_HOTC_EE_RM7 Temp shock - color
 (MO202001-VWHX49GR)","Maschhoff_HOTC_EE_RM7 Temp (°C) - data
 (MO202001-VWHX49GR)","Maschhoff_HOTC_EE_RM7 ReHS - color
 (MO202001-VWHX49GR)","Maschhoff_HOTC_EE_RM7 ReHS - data
 (MO202001-VWHX49GR)","Maschhoff_HOTC_EE_RM8 Temp shock - color
 (MO201401-QHJLTHT9)","Maschhoff_HOTC_EE_RM8 Temp (°C) - data
 (MO201401-QHJLTHT9)","Maschhoff_HOTC_EE_RM8 ReHS - color
 (MO201401-QHJLTHT9)","Maschhoff_HOTC_EE_RM8 ReHS - data
 (MO201401-QHJLTHT9)","Maschhoff_HOTC_WC_RM7 Temp shock - color
 (MO201201-ZB856GBP)","Maschhoff_HOTC_WC_RM7 Temp (°C) - data
 (MO201201-ZB856GBP)","Maschhoff_HOTC_WC_RM7 ReHS - color
 (MO201201-ZB856GBP)","Maschhoff_HOTC_WC_RM7 ReHS - data
 (MO201201-ZB856GBP)","Maschhoff_HOTC_WC_RM8 Temp shock - color
 (MO201901-QVBMLZV7)","Maschhoff_HOTC_WC_RM8 Temp (°C) - data
 (MO201901-QVBMLZV7)","Maschhoff_HOTC_WC_RM8 ReHS - color
 (MO201901-QVBMLZV7)","Maschhoff_HOTC_WC_RM8 ReHS - data
 (MO201901-QVBMLZV7)","Maschhoff_HOTC_WW_RM7 Temp shock - color
 (MO201301-9V9PHSMB)","Maschhoff_HOTC_WW_RM7 Temp (°C) - data
 (MO201301-9V9PHSMB)","Maschhoff_HOTC_WW_RM7 ReHS - color
 (MO201301-9V9PHSMB)","Maschhoff_HOTC_WW_RM7 ReHS - data
 (MO201301-9V9PHSMB)","Maschhoff_HOTC_WW_RM8 Temp shock - color
 (MO202201-TTDCTLQN)","Maschhoff_HOTC_WW_RM8 Temp (°C) - data
 (MO202201-TTDCTLQN)","Maschhoff_HOTC_WW_RM8 ReHS - color
 (MO202201-TTDCTLQN)","Maschhoff_HOTC_WW_RM8 ReHS - data
 (MO202201-TTDCTLQN)"
21,2021-03-01,green,24.0,green,65.0,green,25.0,green,90.0,red,25.5,yellow,44.0,green,26.0,yellow,68.0,red,29.0,red,16.0,green,25.5,green,87.0,red,24.5,red,34.0,green,25.5,red,32.0,green,23.0,green,66.0,green,26.5,yellow,68.0
22,2021-03-02,green,24.0,green,71.0,green,25.0,green,83.0,yellow,25.0,yellow,50.0,green,26.0,yellow,55.0,red,28.5,red,18.0,green,25.5,green,81.0,red,24.5,red,36.0,green,25.5,red,25.0,green,23.0,yellow,66.0,green,26.5,red,52.0
23,2021-03-03,green,24.5,yellow,65.0,green,25.0,green,71.0,green,24.5,red,44.0,green,26.5,yellow,46.0,green,26.5,red,14.0,green,26.0,yellow,68.0,green,24.0,red,30.0,green,25.0,red,24.0,green,23.5,yellow,54.0,green,25.5,red,33.0
24,2021-03-04,green,24.0,yellow,47.0,green,25.0,green,74.0,green,23.5,red,35.0,green,25.5,red,44.0,green,24.0,red,12.0,green,25.0,yellow,52.0,green,22.5,red,27.0,green,25.0,red,26.0,green,23.0,yellow,52.0,green,25.0,red,27.0
25,2021-03-05,green,23.0,yellow,46.0,green,24.0,green,76.0,yellow,23.5,red,32.0,green,25.0,yellow,34.0,red,25.0,red,12.0,green,24.5,yellow,56.0,red,22.5,red,27.0,green,24.5,red,20.0,green,23.0,yellow,51.0,green,25.0,red,27.0
26,2021-03-06,green,23.5,yellow,46.0,green,24.0,green,79.0,green,23.5,red,34.0,green,25.5,red,45.0,green,25.0,red,12.0,green,24.5,yellow,55.0,green,22.5,red,30.0,green,24.5,red,27.0,green,22.5,yellow,52.0,green,25.0,red,37.0
27,2021-03-07,green,23.5,yellow,43.0,green,24.5,red,69.0,green,23.0,red,35.0,green,25.5,red,36.0,green,24.0,red,10.0,green,24.5,yellow,47.0,green,22.0,red,33.0,green,24.0,red,25.0,green,22.5,yellow,46.0,green,25.0,red,31.0
28,2021-03-08,green,23.5,yellow,45.0,green,24.5,red,32.0,green,23.0,yellow,35.0,green,26.0,red,33.0,green,23.5,red,13.0,green,25.0,yellow,49.0,green,22.0,red,31.0,green,24.0,red,26.0,green,22.5,yellow,50.0,green,25.0,red,28.0
29,2021-03-09,green,23.5,yellow,48.0,green,25.0,red,30.0,green,23.0,yellow,47.0,green,26.0,red,33.0,green,23.5,red,12.0,green,25.0,red,52.0,green,22.5,yellow,35.0,green,24.0,red,30.0,green,23.0,green,55.0,green,25.0,yellow,30.0
30,2021-03-10,green,23.5,yellow,53.0,green,25.0,red,31.0,green,22.5,yellow,46.0,green,26.5,red,29.0,green,23.5,red,10.0,green,26.0,red,35.0,green,21.5,yellow,45.0,green,23.5,red,25.0,green,21.5,green,77.0,green,25.0,red,50.0
31,2021-03-11,green,22.5,yellow,47.0,green,25.0,red,25.0,green,21.0,yellow,49.0,green,26.5,red,25.0,green,23.5,red,9.0,green,25.5,red,36.0,green,21.0,red,45.0,green,23.5,red,26.0,green,20.5,yellow,86.0,green,25.0,red,32.0
32,2021-03-12,green,22.0,yellow,46.0,green,25.0,red,22.0,green,21.5,yellow,45.0,green,26.0,red,21.0,green,22.5,red,14.0,green,25.0,red,26.0,green,21.0,red,32.0,green,24.5,red,19.0,green,21.0,yellow,54.0,green,25.0,red,17.0
33,2021-03-13,green,21.5,red,50.0,green,24.5,red,20.0,green,21.0,red,47.0,green,26.0,red,15.0,green,22.5,red,14.0,green,25.0,red,19.0,green,20.5,red,35.0,green,24.5,red,16.0,green,20.5,yellow,54.0,green,25.5,red,17.0
34,2021-03-14,green,21.0,red,36.0,green,24.5,red,13.0,green,21.0,red,31.0,green,25.5,red,7.0,green,22.5,red,6.0,green,25.0,red,8.0,green,20.0,red,26.0,green,24.0,red,6.0,green,20.5,yellow,46.0,green,25.5,red,9.0
35,2021-03-15,green,21.0,yellow,46.0,green,24.5,red,21.0,green,21.0,red,31.0,green,25.5,red,12.0,green,22.0,red,15.0,green,25.0,red,16.0,green,20.5,red,28.0,green,24.0,red,16.0,green,20.5,yellow,45.0,green,25.0,red,13.0
36,2021-03-16,green,21.0,red,34.0,green,24.0,red,14.0,green,21.5,red,22.0,green,25.5,red,4.0,green,22.5,red,10.0,green,25.0,red,12.0,green,20.5,red,27.0,green,23.5,red,12.0,green,21.0,yellow,46.0,green,25.0,red,10.0
37,2021-03-17,green,21.0,yellow,48.0,green,24.0,red,15.0,green,20.0,red,32.0,green,25.5,red,6.0,green,22.0,red,8.0,green,25.0,red,8.0,green,20.0,red,34.0,green,23.0,red,16.0,green,19.5,green,63.0,green,25.0,red,18.0
38,2021-03-18,green,21.0,yellow,43.0,green,23.5,red,20.0,green,20.5,red,20.0,green,25.0,red,10.0,green,22.0,red,7.0,green,24.0,red,13.0,green,20.0,red,26.0,green,22.0,red,22.0,green,20.0,green,67.0,green,24.0,red,20.0
39,2021-03-19,green,21.5,red,36.0,green,23.0,red,17.0,green,21.5,red,20.0,green,24.0,red,8.0,green,22.0,red,6.0,green,23.0,red,8.0,green,21.0,red,26.0,green,23.0,red,13.0,green,21.0,red,30.0,green,23.5,red,12.0
40,2021-03-20,green,21.5,red,32.0,green,23.0,red,23.0,green,21.0,red,25.0,green,24.0,red,7.0,green,21.0,red,9.0,green,23.5,red,12.0,green,20.5,red,32.0,green,22.5,red,21.0,green,21.0,red,37.0,green,24.0,red,28.0
41,2021-03-21,green,21.5,red,34.0,green,23.0,red,22.0,green,21.0,red,27.0,green,24.5,red,8.0,green,21.5,red,7.0,green,23.5,red,11.0,green,21.0,red,30.0,green,22.5,red,23.0,yellow,21.5,yellow,50.0,green,24.0,red,31.0
42,2021-03-22,green,21.5,yellow,48.0,green,23.0,red,21.0,green,20.5,red,27.0,green,24.0,red,10.0,green,21.5,red,5.0,green,23.0,red,15.0,green,21.0,red,29.0,green,22.5,red,23.0,yellow,21.0,green,65.0,green,24.0,red,35.0
43,2021-03-23,green,21.0,red,36.0,green,22.5,red,30.0,green,19.0,red,34.0,green,23.5,red,29.0,green,22.0,red,4.0,green,22.5,red,16.0,green,19.0,red,37.0,green,20.0,red,31.0,green,18.5,green,92.0,green,22.5,green,69.0
44,2021-03-24,green,22.0,yellow,46.0,green,22.5,red,29.0,yellow,21.0,red,26.0,green,23.5,red,36.0,green,22.0,red,3.0,green,22.5,red,16.0,yellow,21.0,red,37.0,yellow,21.5,red,32.0,red,21.0,green,83.0,yellow,23.5,green,70.0
45,2021-03-25,green,21.0,red,36.0,green,22.0,red,27.0,green,21.0,red,26.0,green,23.0,red,17.0,green,22.0,red,4.0,yellow,22.5,red,18.0,green,20.0,red,24.0,green,19.5,red,28.0,green,20.0,green,64.0,green,22.5,green,63.0
46,2021-03-26,green,21.5,yellow,47.0,green,21.5,red,30.0,yellow,21.0,red,31.0,green,23.0,red,22.0,green,22.0,red,5.0,yellow,21.5,red,26.0,green,20.5,red,28.0,yellow,20.0,red,34.0,yellow,20.5,green,66.0,green,22.5,green,78.0
47,2021-03-27,green,22.5,red,37.0,yellow,22.5,red,24.0,yellow,22.5,red,26.0,yellow,23.5,red,15.0,yellow,23.0,red,3.0,red,22.5,red,16.0,yellow,22.5,red,36.0,yellow,22.5,red,31.0,yellow,22.5,green,72.0,yellow,24.0,green,78.0
48,2021-03-28,green,21.0,yellow,52.0,green,22.0,red,33.0,green,22.0,red,30.0,green,22.5,red,31.0,green,22.5,red,7.0,green,21.5,red,28.0,green,20.0,red,33.0,green,19.0,yellow,46.0,green,20.0,green,69.0,green,21.5,green,78.0
49,2021-03-29,green,20.5,yellow,46.0,green,21.0,red,31.0,green,20.5,red,34.0,green,22.0,red,20.0,green,21.5,red,8.0,yellow,21.0,red,24.0,yellow,20.5,red,34.0,red,19.5,red,33.0,red,20.5,green,68.0,yellow,22.0,green,64.0
50,2021-03-30,green,21.5,yellow,45.0,green,21.5,red,30.0,green,21.0,red,34.0,green,22.0,red,21.0,yellow,22.0,red,9.0,yellow,20.5,red,25.0,green,21.0,yellow,47.0,yellow,21.0,red,37.0,yellow,21.0,green,77.0,yellow,22.5,green,88.0
51,2021-03-31,green,21.0,yellow,52.0,green,21.5,red,31.0,green,22.0,red,30.0,green,22.5,red,24.0,green,23.0,red,12.0,yellow,21.5,red,21.0,green,20.0,red,32.0,green,18.5,red,34.0,yellow,20.0,green,64.0,green,22.0,green,64.0
52,2021-04-01,green,20.0,green,64.0,green,21.0,red,34.0,green,21.5,yellow,50.0,green,21.0,red,29.0,green,22.5,red,15.0,green,21.5,red,35.0,green,20.0,red,37.0,green,15.5,yellow,47.0,green,20.0,yellow,51.0,green,21.5,yellow,44.0
53,2021-04-02,green,20.0,green,65.0,green,20.5,red,34.0,green,21.0,green,64.0,yellow,21.5,red,25.0,green,22.0,red,20.0,yellow,21.0,red,28.0,green,19.5,yellow,46.0,yellow,17.0,yellow,51.0,green,20.0,green,63.0,green,22.0,yellow,55.0
54,2021-04-03,green,21.0,green,70.0,green,21.5,red,36.0,green,21.0,green,63.0,green,21.5,red,29.0,green,21.5,red,18.0,green,20.5,red,34.0,yellow,20.5,green,65.0,red,19.5,green,67.0,yellow,20.5,green,79.0,yellow,22.5,green,76.0
55,2021-04-04,green,22.5,green,72.0,green,22.5,yellow,44.0,yellow,21.5,green,68.0,green,23.0,red,29.0,yellow,22.5,red,26.0,yellow,22.0,red,33.0,green,22.0,green,71.0,yellow,22.5,green,74.0,yellow,22.0,green,92.0,green,24.0,green,92.0
56,2021-04-05,green,23.0,green,73.0,green,23.0,red,36.0,green,21.5,green,73.0,green,22.5,red,25.0,yellow,22.5,red,26.0,yellow,21.0,red,34.0,green,22.0,green,83.0,green,22.5,green,66.0,green,22.0,green,97.0,green,24.0,green,99.0
57,2021-04-06,green,23.5,green,75.0,green,23.5,yellow,54.0,green,22.5,green,78.0,yellow,23.5,yellow,45.0,yellow,22.5,yellow,49.0,yellow,22.0,yellow,45.0,green,23.0,green,86.0,green,24.5,green,70.0,green,23.5,green,95.0,green,25.5,green,96.0
58,2021-04-07,green,24.0,green,83.0,yellow,24.0,yellow,49.0,green,23.0,green,80.0,yellow,24.0,red,23.0,yellow,23.0,red,28.0,yellow,23.0,red,24.0,green,24.0,green,92.0,green,25.5,green,72.0,yellow,24.0,green,99.0,green,26.0,green,99.0
59,2021-04-08,green,20.0,green,83.0,green,21.0,yellow,54.0,red,21.0,green,89.0,green,20.5,red,36.0,red,26.0,green,72.0,green,17.5,yellow,46.0,red,20.5,green,91.0,yellow,20.5,green,68.0,green,17.5,green,97.0,green,22.5,green,97.0
60,2021-04-09,yellow,22.0,green,91.0,green,23.0,yellow,49.0,yellow,23.0,green,98.0,yellow,23.0,red,19.0,yellow,26.5,green,89.0,red,21.5,red,25.0,yellow,23.0,green,99.0,green,22.5,green,66.0,yellow,21.0,green,99.0,green,24.0,green,98.0
61,2021-04-10,green,19.5,green,96.0,green,21.0,yellow,47.0,yellow,20.5,green,99.0,yellow,21.0,red,27.0,red,25.0,green,84.0,red,20.0,red,29.0,red,20.5,green,99.0,red,21.5,yellow,50.0,green,18.5,green,99.0,green,23.5,green,94.0
62,2021-04-11,green,20.5,green,97.0,green,22.0,yellow,46.0,red,22.0,green,99.0,green,22.0,red,24.0,red,27.0,green,82.0,green,21.5,red,29.0,red,22.0,green,98.0,red,20.5,yellow,49.0,green,19.0,green,98.0,yellow,23.5,green,83.0
63,2021-04-12,green,21.0,green,74.0,green,21.0,yellow,56.0,green,21.5,green,90.0,green,22.5,red,35.0,green,25.5,green,84.0,green,21.5,red,34.0,green,22.0,green,76.0,green,21.5,yellow,55.0,green,19.5,green,94.0,green,23.5,green,88.0
64,2021-04-13,green,21.0,yellow,47.0,green,20.5,yellow,54.0,green,19.0,green,83.0,green,20.0,red,35.0,green,20.0,green,87.0,green,17.5,yellow,47.0,green,21.0,red,36.0,red,19.5,yellow,56.0,green,20.0,yellow,55.0,yellow,21.0,green,94.0
65,2021-04-14,green,22.5,yellow,51.0,green,21.5,yellow,49.0,green,19.0,green,84.0,yellow,22.5,red,30.0,green,18.5,green,91.0,red,21.0,red,35.0,green,22.0,yellow,44.0,red,20.5,green,69.0,green,22.5,yellow,47.0,green,21.0,green,90.0
66,2021-04-15,green,22.0,yellow,48.0,green,21.0,yellow,54.0,green,18.5,green,85.0,yellow,23.0,yellow,44.0,green,18.5,green,88.0,yellow,22.5,yellow,48.0,green,21.5,red,33.0,yellow,19.5,green,72.0,green,21.5,yellow,45.0,green,20.5,green,84.0
67,2021-04-16,green,22.0,yellow,50.0,green,20.5,yellow,54.0,green,18.0,green,81.0,green,21.5,yellow,45.0,green,18.0,green,88.0,green,20.5,yellow,50.0,green,21.0,yellow,46.0,green,19.0,green,81.0,green,21.0,yellow,54.0,green,20.5,green,90.0
68,2021-04-17,green,21.5,green,64.0,green,21.0,green,69.0,green,17.0,green,94.0,green,20.5,yellow,51.0,green,17.5,green,93.0,green,18.5,yellow,53.0,green,20.5,yellow,46.0,red,19.0,green,75.0,green,20.0,yellow,52.0,yellow,20.5,green,92.0
69,2021-04-18,green,22.5,yellow,53.0,green,21.0,green,72.0,green,19.0,green,91.0,yellow,22.0,yellow,52.0,green,18.5,green,93.0,yellow,20.5,yellow,52.0,green,22.5,red,37.0,red,20.0,green,78.0,green,23.0,yellow,54.0,yellow,21.5,green,89.0
70,2021-04-19,green,21.5,green,72.0,green,21.0,yellow,55.0,yellow,19.0,green,85.0,green,21.0,yellow,45.0,green,19.5,green,77.0,green,20.0,yellow,56.0,yellow,21.0,yellow,56.0,yellow,20.0,green,79.0,red,21.5,green,69.0,yellow,21.0,green,81.0
71,2021-04-20,green,19.5,green,74.0,green,21.0,green,68.0,green,19.0,green,72.0,green,21.0,yellow,54.0,green,21.5,red,36.0,green,19.0,green,70.0,green,18.5,yellow,56.0,green,21.0,green,74.0,green,18.0,green,69.0,green,20.0,yellow,49.0
72,2021-04-21,green,20.0,green,78.0,green,20.5,yellow,56.0,yellow,19.0,green,69.0,green,21.5,yellow,53.0,green,21.0,yellow,48.0,green,19.5,green,65.0,green,18.5,green,70.0,green,20.5,green,71.0,yellow,18.0,green,74.0,green,20.5,yellow,48.0
73,2021-04-22,green,21.0,green,76.0,green,20.5,green,64.0,green,19.0,green,74.0,yellow,21.0,yellow,47.0,green,20.5,yellow,44.0,yellow,18.5,green,76.0,yellow,19.5,green,72.0,yellow,20.5,green,66.0,red,19.0,green,77.0,green,21.0,yellow,55.0
74,2021-04-23,green,20.5,green,77.0,green,21.0,yellow,43.0,green,17.5,green,74.0,green,21.0,yellow,48.0,green,21.0,red,34.0,yellow,19.0,green,74.0,green,18.5,green,74.0,yellow,20.0,green,65.0,yellow,17.5,green,91.0,green,21.5,green,74.0
75,2021-04-24,green,21.0,green,75.0,green,20.5,red,34.0,green,17.5,green,79.0,green,20.5,yellow,48.0,green,19.5,red,32.0,yellow,19.5,yellow,57.0,green,19.0,green,76.0,yellow,17.5,green,74.0,yellow,17.0,green,88.0,green,20.5,green,90.0
76,2021-04-25,green,20.5,green,79.0,green,21.0,red,35.0,green,18.0,green,74.0,green,21.0,yellow,52.0,green,20.5,yellow,45.0,yellow,20.5,yellow,55.0,green,19.5,green,77.0,yellow,19.5,green,69.0,yellow,19.0,green,94.0,yellow,22.0,green,77.0
77,2021-04-26,green,22.5,green,74.0,green,22.5,yellow,50.0,green,21.0,green,68.0,green,23.5,yellow,51.0,green,22.5,red,36.0,green,22.5,green,64.0,green,21.5,green,82.0,green,22.0,green,73.0,green,21.5,green,98.0,green,23.5,green,89.0
78,2021-04-27,green,25.0,green,74.0,green,24.0,red,33.0,green,24.0,yellow,48.0,green,24.5,red,32.0,green,24.0,red,26.0,green,23.5,yellow,51.0,green,25.0,green,86.0,green,25.0,green,78.0,green,26.0,green,99.0,green,25.0,green,99.0
79,2021-04-28,green,23.0,green,85.0,green,22.0,yellow,52.0,green,22.0,green,74.0,green,22.5,yellow,50.0,green,21.5,green,64.0,green,21.5,green,66.0,green,23.0,green,86.0,green,23.5,green,73.0,green,24.0,green,99.0,green,24.0,green,99.0
80,2021-04-29,green,22.0,green,83.0,green,21.0,yellow,56.0,green,20.5,green,68.0,green,21.5,yellow,48.0,green,20.5,yellow,50.0,green,20.0,yellow,55.0,green,22.5,green,82.0,yellow,22.0,green,79.0,green,23.5,green,99.0,green,22.5,green,99.0
81,2021-04-30,green,23.0,green,76.0,green,22.0,yellow,49.0,yellow,21.0,yellow,56.0,yellow,22.0,yellow,46.0,yellow,22.0,yellow,43.0,yellow,21.0,green,69.0,green,22.5,green,85.0,yellow,21.0,green,78.0,yellow,22.5,green,97.0,green,22.5,green,98.0
82,2021-05-01,yellow,23.0,green,72.0,green,23.0,red,36.0,yellow,21.5,yellow,55.0,yellow,23.5,red,34.0,yellow,22.5,red,29.0,yellow,22.5,yellow,53.0,green,22.5,green,85.0,green,22.0,green,76.0,green,22.5,green,98.0,green,23.5,green,96.0
