"ModelName","ModelAIC","Time_to_Convergence"
"Level1_glm",136408.814753794,0.0156636238098145
"Level1_oinv_glm",103882.449144947,0.014575719833374
"Level1_inv_glm",89144.8163523702,0.0162427425384521
"Level2_a_glm",105695.272839979,0.00887942314147949
"Level2_a_oinv_glm",86108.4356719278,0.0129110813140869
"Level2_a_inv_glm",81550.9389785709,0.00874519348144531
"Level2_b_glm",91147.6286493076,0.0137786865234375
"Level2_b_oinv_glm",77843.961122112,0.0141024589538574
"Level2_b_inv_glm",75926.6732047806,0.0122573375701904
"Level2_c_glm",90956.7735281647,0.0193901062011719
"Level2_c_oinv_glm",77844.9311181954,0.0232582092285156
"Level2_c_inv_glm",75907.3343639126,0.0158309936523438
"Level3_a_glmer",77685.881373124,1.32661104202271
"Level3_a_oinv_glmer",69453.1944156051,1.12198781967163
"Level3_a_inv_glmer",68779.6689088989,1.86397290229797
"Level3_b_glmer",60629.2102257769,11.2311344146729
"Level3_b_oinv_glmer",58469.1398094074,7.51656413078308
"Level3_b_inv_glmer",58382.9709889231,18.0994310379028
"Level3_c_oinv_glmer",57226.9889687932,5.89501762390137
"Level3_c_inv_glmer",57009.1672605861,24.3117458820343
"Level4_a_glmer",61932.0881114026,1.57271838188171
"Level4_a_oinv_glmer",56436.9237020684,1.96113419532776
"Level4_a_inv_glmer",55566.0856521418,1.9624719619751
"Level4_b_glmer",42841.9810533301,62.8376493453979
"Level4_b_oinv_glmer",42421.2572360887,24.0402047634125
"Level4_b_inv_glmer",42293.9715590419,39.6872873306274
