,Date (America/Chicago),"Barn 1, Room 1 (north) Temperature shock - color","Barn 1, Room 1 (north) Temperature - data","Barn 1, Room 1 (north) ReHS - color","Barn 1, Room 1 (north) ReHS - data","Barn 1, Room 2 (south) Temperature shock - color","Barn 1, Room 2 (south) Temperature - data","Barn 1, Room 2 (south) ReHS - color","Barn 1, Room 2 (south) ReHS - data"
413,2022-02-08,green,24.05,green,96.0,green,22.45,green,94.0
414,2022-02-09,green,24.07,green,94.0,green,22.38,green,93.0
415,2022-02-10,green,23.72,green,94.0,green,22.03,green,93.0
416,2022-02-11,yellow,23.62,green,94.0,yellow,22.13,green,93.0
417,2022-02-12,green,22.99,green,93.0,green,21.16,green,91.0
418,2022-02-13,yellow,23.27,green,93.0,green,20.46,green,91.0
419,2022-02-14,green,23.46,green,96.0,green,20.75,green,94.0
420,2022-02-15,green,23.63,green,96.0,green,21.89,green,90.0
421,2022-02-16,green,24.17,green,96.0,green,22.29,green,90.0
422,2022-02-17,green,23.51,green,96.0,yellow,20.83,green,91.0
423,2022-02-18,yellow,23.31,green,94.0,yellow,21.53,green,93.0
424,2022-02-19,green,22.81,green,94.0,yellow,21.17,green,93.0
425,2022-02-20,green,23.82,green,96.0,green,22.53,green,94.0
426,2022-02-21,green,23.76,green,96.0,green,22.03,green,90.0
427,2022-02-22,green,23.55,green,93.0,green,22.52,green,87.0
428,2022-02-23,green,23.31,green,79.0,green,22.39,green,87.0
429,2022-02-24,green,23.53,green,73.0,green,22.51,green,87.0
430,2022-02-25,green,23.4,green,90.0,green,22.57,green,86.0
431,2022-02-26,green,23.76,green,90.0,green,22.67,green,84.0
432,2022-02-27,green,23.55,green,78.0,green,22.87,green,79.0
433,2022-02-28,green,23.85,green,73.0,green,23.5,yellow,46.0
434,2022-03-01,green,24.07,yellow,45.0,green,23.68,yellow,55.0
435,2022-03-02,green,23.96,red,39.0,green,23.1,yellow,52.0
436,2022-03-03,green,23.58,red,28.0,green,22.11,red,39.0
437,2022-03-04,green,23.86,yellow,50.0,green,22.09,yellow,49.0
438,2022-03-05,green,23.68,green,81.0,green,22.16,green,78.0
439,2022-03-06,green,23.29,green,87.0,green,21.76,green,86.0
440,2022-03-07,green,22.99,green,86.0,green,21.5,green,87.0
441,2022-03-08,green,23.27,green,90.0,green,22.02,green,87.0
442,2022-03-09,green,23.21,green,90.0,green,21.8,green,90.0
443,2022-03-10,green,23.49,green,89.0,green,21.49,green,81.0
444,2022-03-11,green,22.5,green,87.0,green,21.3,green,87.0
445,2022-03-12,green,22.88,green,89.0,yellow,21.02,green,86.0
446,2022-03-13,green,23.66,green,90.0,green,21.87,green,90.0
447,2022-03-14,green,23.39,green,87.0,green,21.49,green,84.0
448,2022-03-15,green,22.69,green,92.0,green,21.25,green,82.0
449,2022-03-16,yellow,22.73,green,90.0,yellow,21.69,green,90.0
450,2022-03-17,green,21.08,green,92.0,green,20.45,green,87.0
451,2022-03-18,green,20.73,green,89.0,green,20.91,green,86.0
452,2022-03-19,yellow,20.96,green,92.0,green,21.05,green,87.0
453,2022-03-20,yellow,22.17,green,89.0,yellow,21.25,green,90.0
454,2022-03-21,yellow,22.1,green,94.0,yellow,21.44,green,96.0
455,2022-03-22,green,20.95,green,93.0,green,20.02,green,92.0
456,2022-03-23,green,21.07,green,93.0,green,19.97,green,94.0
457,2022-03-24,green,20.09,green,91.0,green,20.31,green,94.0
458,2022-03-25,yellow,20.56,green,91.0,green,20.15,green,96.0
459,2022-03-26,yellow,19.83,green,93.0,green,19.4,green,91.0
460,2022-03-27,yellow,19.91,green,93.0,green,19.89,green,91.0
461,2022-03-28,green,19.4,green,94.0,green,19.74,green,93.0
462,2022-03-29,green,19.67,green,91.0,yellow,20.05,green,91.0
463,2022-03-30,green,19.06,green,91.0,green,19.05,green,92.0
464,2022-03-31,yellow,18.57,green,92.0,green,18.94,green,93.0
465,2022-04-01,green,19.1,green,92.0,yellow,19.47,green,94.0
466,2022-04-02,yellow,19.59,green,96.0,yellow,19.59,green,94.0
467,2022-04-03,yellow,18.91,green,95.0,yellow,19.23,green,92.0
468,2022-04-04,yellow,19.15,green,95.0,yellow,19.34,green,93.0
469,2022-04-05,green,18.76,green,94.0,green,19.11,green,94.0
470,2022-04-06,green,18.86,green,93.0,green,18.56,green,92.0
471,2022-04-07,green,18.13,green,94.0,green,18.3,green,93.0
472,2022-04-08,green,18.69,green,95.0,green,18.37,green,94.0
473,2022-04-09,red,18.79,green,95.0,yellow,18.95,green,92.0
474,2022-04-10,red,20.2,green,96.0,red,19.85,green,94.0
475,2022-04-11,yellow,19.71,green,93.0,yellow,19.05,green,93.0
476,2022-04-12,red,20.99,green,93.0,red,21.35,green,94.0
477,2022-04-13,yellow,17.21,green,84.0,yellow,17.95,green,86.0
478,2022-04-14,yellow,17.09,green,87.0,green,17.83,green,84.0
479,2022-04-15,yellow,17.17,green,92.0,yellow,17.75,green,71.0
480,2022-04-16,yellow,17.21,green,72.0,yellow,17.66,green,68.0
481,2022-04-17,green,17.35,green,73.0,green,17.5,green,71.0
482,2022-04-18,green,17.12,green,64.0,green,17.97,green,77.0
483,2022-04-19,green,17.04,green,81.0,green,17.81,green,85.0
484,2022-04-20,yellow,18.25,green,77.0,yellow,18.72,green,92.0
485,2022-04-21,green,19.15,green,85.0,green,19.67,green,97.0
486,2022-04-22,yellow,21.47,green,94.0,yellow,21.7,green,96.0
487,2022-04-23,yellow,21.94,green,95.0,green,21.5,green,97.0
488,2022-04-24,yellow,18.86,green,95.0,yellow,19.06,green,97.0
489,2022-04-25,yellow,17.68,green,96.0,yellow,17.91,green,95.0
490,2022-04-26,yellow,18.72,green,96.0,yellow,18.65,green,96.0
491,2022-04-27,yellow,19.82,green,96.0,yellow,19.49,green,97.0
492,2022-04-28,green,20.32,green,96.0,green,20.53,green,94.0
493,2022-04-29,green,20.35,green,97.0,green,21.06,green,96.0
494,2022-04-30,green,19.77,green,97.0,green,19.71,green,98.0
495,2022-05-01,green,18.72,green,99.0,green,18.63,green,94.0
496,2022-05-02,green,18.53,green,97.0,green,18.29,green,96.0
497,2022-05-03,yellow,19.01,green,86.0,yellow,18.59,green,96.0
498,2022-05-04,green,19.36,green,96.0,green,19.24,green,95.0
499,2022-05-05,yellow,19.69,green,97.0,yellow,19.86,green,96.0
500,2022-05-06,yellow,20.32,green,98.0,yellow,20.58,green,96.0
501,2022-05-07,yellow,21.05,green,96.0,yellow,21.04,green,97.0
502,2022-05-08,green,20.25,green,95.0,green,20.91,green,99.0
503,2022-05-09,red,25.32,green,95.0,red,25.85,green,97.0
504,2022-05-10,red,23.17,green,93.0,red,23.24,green,96.0
505,2022-05-11,red,27.62,green,97.0,red,27.55,green,97.0
506,2022-05-12,red,28.26,green,97.0,red,28.01,green,98.0
507,2022-05-13,red,22.59,green,97.0,red,22.38,green,98.0
508,2022-05-14,red,23.65,green,97.0,red,23.72,green,97.0
509,2022-05-15,red,21.34,green,97.0,red,21.77,green,96.0
510,2022-05-16,red,22.97,green,97.0,red,23.2,green,98.0
511,2022-05-17,green,20.91,green,93.0,green,20.93,green,97.0
512,2022-05-18,red,22.82,green,97.0,red,23.35,green,97.0
513,2022-05-19,red,25.49,green,97.0,red,25.35,green,97.0
514,2022-05-20,green,20.16,green,97.0,yellow,21.13,green,98.0
515,2022-05-21,yellow,19.43,green,96.0,yellow,19.44,green,96.0
516,2022-05-22,green,19.53,green,95.0,green,19.82,green,93.0
517,2022-05-23,green,20.74,green,91.0,green,20.4,green,91.0
518,2022-05-24,green,20.78,green,96.0,green,20.46,green,96.0
519,2022-05-25,green,20.47,green,96.0,green,20.22,green,96.0
520,2022-05-26,green,19.64,green,95.0,green,19.59,green,95.0
521,2022-05-27,yellow,21.26,green,94.0,yellow,21.3,green,95.0
522,2022-05-28,red,24.74,green,93.0,red,24.56,green,97.0
523,2022-05-29,green,25.64,green,96.0,green,25.45,green,96.0
524,2022-05-30,red,26.61,green,97.0,red,26.4,green,96.0
525,2022-05-31,yellow,22.05,green,92.0,yellow,21.99,green,96.0
526,2022-06-01,yellow,20.13,green,89.0,yellow,20.55,green,93.0
527,2022-06-02,red,21.72,green,93.0,yellow,21.96,green,95.0
528,2022-06-03,red,22.14,green,93.0,red,22.32,green,96.0
529,2022-06-04,green,20.98,green,93.0,green,20.88,green,95.0
530,2022-06-05,green,21.78,green,93.0,green,21.96,green,96.0
531,2022-06-06,blue,19.9,blue,,green,21.32,green,97.0
533,2022-06-07,blue,,blue,,green,22.31,green,97.0
547,2022-06-08,blue,,blue,,yellow,22.38,green,97.0
548,2022-06-09,blue,,blue,,green,21.9,green,98.0
549,2022-06-10,blue,,blue,,blue,19.55,blue,
550,2022-06-11,blue,,blue,,blue,,blue,
551,2022-06-12,blue,,blue,,blue,,blue,
552,2022-06-13,blue,,blue,,blue,,blue,
553,2022-06-14,blue,,blue,,blue,,blue,
554,2022-06-15,blue,,blue,,blue,,blue,
555,2022-06-16,blue,,blue,,blue,,blue,
