"DepVar","IndVar","Estimate","SE","WaldZ_Statistic","WaldTest_P"
"TotalMortality","ReHS",-0.00444978656914138,0.00286057512376723,-1.55555661942597,0.119813561051
"TotalMortality","TempReHS",-0.00711236556351094,0.00693760955032283,-1.02518965818421,0.305273707019461
"TotalMortality","ReHS_Lag1",-0.00480936070745741,0.00270835856003662,-1.77574741336774,0.0757745587276096
"TotalMortality","TempReHS_Lag1",-0.00318653041568436,0.00689872688485821,-0.461901227410288,0.644152153774636
"TotalMortality","ReHS_Lag2",-0.00196866864335974,0.00292196091677152,-0.673749136088692,0.500470817167838
"TotalMortality","TempReHS_Lag2",-0.00943152266474138,0.00714645898857378,-1.31974767921024,0.186919275389227
"TotalMortality","ReHS_Lag3",-0.0162163974635979,0.00282462469769429,-5.74108039090472,9.40744151644516e-09
"TotalMortality","TempReHS_Lag3",-0.0223997167940893,0.00705429124058473,-3.17533201141728,0.00149665151196428
"TotalMortality","ReHS_Lag4",-0.00182940548908747,0.00279993572368257,-0.653374101988802,0.51351513061664
"TotalMortality","TempReHS_Lag4",-0.0152965521759601,0.00710470128665275,-2.15301834078471,0.0313172371420741
"TotalMortality","ReHS_Lag5",-0.00461878445784662,0.00255387913293274,-1.80853682474106,0.0705229908617823
"TotalMortality","TempReHS_Lag5",-0.00196095179748633,0.00706726326561345,-0.277469753677857,0.781419427451152
"TotalMortality","ReHS_Lag6",-0.000608452457125353,0.00269767643494504,-0.225546862938642,0.821553873039467
"TotalMortality","TempReHS_Lag6",-0.0089647656246511,0.00718562356119526,-1.24759744903195,0.212178513152057
"TotalMortality","ReHS_Lag7",-0.00426701104374459,0.00267334070100655,-1.59613439549176,0.110458790852554
"TotalMortality","TempReHS_Lag7",-0.014763555822391,0.0073389943419266,-2.01165924574283,0.0442558694477406
"TotalMortality","ReHS_Lag8",-0.00309408364843194,0.00271840431514251,-1.13819847592088,0.255037614955284
"TotalMortality","TempReHS_Lag8",-0.00942401866762059,0.00773521807445813,-1.21832617734966,0.223100046171048
"TotalMortality","ReHS_Lag9",-0.00599742527541865,0.00283262324345349,-2.11726896235826,0.0342370274842571
"TotalMortality","TempReHS_Lag9",-0.00873305734521057,0.00690635110595013,-1.26449657876308,0.206051847910679
"TotalMortality","ReHS_Lag10",0.000955903663561718,0.00321231072061623,0.297575093662902,0.766027486220409
"TotalMortality","TempReHS_Lag10",-0.0170754448520852,0.00709162917304599,-2.40783104071289,0.0160476059121329
"TotalMortality","ReHS_Lag11",-0.000992929749353822,0.00283099056276689,-0.350735803366076,0.725786562576938
"TotalMortality","TempReHS_Lag11",-0.0232206058692203,0.00713114298608223,-3.25622497186491,0.00112904253181041
"TotalMortality","ReHS_Lag12",-0.00159266826166151,0.00291067537185834,-0.547181687473676,0.584253915894049
"TotalMortality","TempReHS_Lag12",-0.00640453780373592,0.00741829801194712,-0.863343288908244,0.387948749975707
"TotalMortality","ReHS_Lag13",-4.32331152775536e-05,0.0030393064856942,-0.014224664567739,0.988650742496933
"TotalMortality","TempReHS_Lag13",-0.014976124778979,0.00756263858128984,-1.98027773217013,0.0476723295307114
"TotalMortality","ReHS_Lag14",0.00554325723596497,0.00107009767508729,5.18014136935003,2.21717805294518e-07
"TotalMortality","TempReHS_Lag14",0.00174342238021286,0.001367112562469,1.27525883974341,0.202217641168819
