,Date (America/Chicago),"Maschhoff_TPLJ_RM2_C Temp shock - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_CTemp (°C) - data
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - data
(MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_W Temp shock - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_WTemp (°C) - data
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - data
(MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM1_W Temp shock - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_WTemp (°C) - data
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - data
(MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_C Temp shock - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_CTemp (°C) - data
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - data
(MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM2_E Temp shock - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_ETemp (°C) - data
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - data
(MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM1_E Temp shock - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_ETemp (°C) - data
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - data
(MO202701-QRND87D5)"
117,2021-07-10,green,20.5,green,99.0,green,21.5,green,98.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
118,2021-07-11,yellow,21.5,green,99.0,yellow,22.5,green,97.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
119,2021-07-12,yellow,22.0,green,99.0,yellow,22.0,green,97.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
120,2021-07-13,yellow,23.0,green,99.0,yellow,23.5,green,96.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
121,2021-07-14,green,23.0,green,99.0,green,23.5,green,99.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
122,2021-07-15,yellow,22.0,green,99.0,yellow,22.5,green,99.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
123,2021-07-16,yellow,22.0,green,99.0,yellow,22.5,green,99.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
124,2021-07-17,yellow,23.0,green,99.0,yellow,23.5,green,99.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
125,2021-07-18,red,23.0,green,99.0,yellow,23.5,green,99.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
126,2021-07-19,red,23.0,green,99.0,red,23.5,green,98.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
127,2021-07-20,red,23.5,green,98.0,red,23.5,green,99.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
128,2021-07-21,yellow,24.0,green,99.0,yellow,24.5,green,98.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
129,2021-07-22,yellow,25.0,green,99.0,yellow,25.5,green,99.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
130,2021-07-23,yellow,27.0,green,99.0,yellow,27.0,green,98.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
131,2021-07-24,red,27.0,green,99.0,red,27.0,green,97.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
