,Date (America/Chicago),"Maschhoff_TPLJ_RM2_C Temp shock - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_CTemp (°C) - data
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - data
(MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_W Temp shock - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_WTemp (°C) - data
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - data
(MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM1_W Temp shock - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_WTemp (°C) - data
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - data
(MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_C Temp shock - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_CTemp (°C) - data
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - data
(MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM2_E Temp shock - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_ETemp (°C) - data
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - data
(MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM1_E Temp shock - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_ETemp (°C) - data
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - data
(MO202701-QRND87D5)"
0,2021-03-15,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
1,2021-03-16,green,26.0,blue,,green,25.0,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
2,2021-03-17,green,23.0,blue,,green,23.0,blue,,green,,blue,,yellow,,blue,,red,,blue,,green,,blue,
3,2021-03-18,green,23.5,green,76.0,green,23.0,green,82.0,yellow,,green,,yellow,,green,,red,,yellow,,yellow,,yellow,
4,2021-03-19,green,23.0,green,77.0,green,23.0,green,71.0,green,,green,,green,,green,,red,,yellow,,green,,green,
5,2021-03-20,green,22.0,green,67.0,green,23.0,yellow,46.0,green,,green,,green,,green,,green,,yellow,,green,,green,
6,2021-03-21,green,21.5,green,64.0,green,23.0,red,36.0,green,,green,,green,,yellow,,green,,red,,green,,yellow,
7,2021-03-22,green,22.0,red,36.0,green,23.0,red,26.0,green,,yellow,,green,,yellow,,green,,red,,yellow,,yellow,
8,2021-03-23,green,22.0,red,24.0,green,23.0,red,26.0,green,,yellow,,green,,yellow,,green,,red,,green,,yellow,
9,2021-03-24,green,22.5,red,18.0,green,23.0,red,28.0,yellow,,red,,yellow,,red,,green,,red,,green,,red,
10,2021-03-25,green,21.0,red,21.0,green,23.0,red,31.0,green,,red,,green,,red,,green,,red,,green,,red,
11,2021-03-26,green,19.5,red,28.0,green,23.0,red,30.0,green,,red,,green,,red,,green,,red,,green,,red,
12,2021-03-27,green,19.5,red,32.0,green,23.0,red,33.0,green,,yellow,,yellow,,red,,green,,red,,green,,red,
13,2021-03-28,green,19.0,red,29.0,green,22.5,red,35.0,green,,yellow,,green,,red,,green,,red,,green,,red,
14,2021-03-29,yellow,21.5,yellow,43.0,green,23.0,yellow,54.0,yellow,,green,,red,,yellow,,yellow,,red,,yellow,,yellow,
15,2021-03-30,green,19.5,red,37.0,green,22.0,yellow,55.0,green,,green,,green,,yellow,,yellow,,red,,green,,yellow,
16,2021-03-31,green,20.0,yellow,46.0,green,22.0,green,68.0,yellow,,green,,yellow,,yellow,,red,,red,,green,,yellow,
17,2021-04-01,green,20.0,yellow,52.0,green,22.5,yellow,57.0,green,,green,,green,,yellow,,green,,red,,green,,yellow,
18,2021-04-02,yellow,20.5,green,70.0,green,22.0,green,87.0,yellow,,green,,yellow,,green,,yellow,,yellow,,green,,green,
19,2021-04-03,red,21.0,green,69.0,green,23.0,green,85.0,red,,green,,red,,green,,red,,red,,yellow,,green,
20,2021-04-04,yellow,22.5,green,78.0,yellow,23.5,green,91.0,yellow,,green,,red,,green,,green,,yellow,,yellow,,green,
21,2021-04-05,green,24.5,green,88.0,green,24.0,green,98.0,yellow,,green,,yellow,,green,,green,,yellow,,yellow,,green,
22,2021-04-06,green,23.5,green,88.0,green,23.0,green,98.0,green,,green,,green,,green,,green,,yellow,,green,,green,
23,2021-04-07,green,21.0,green,80.0,green,21.0,green,94.0,green,,green,,green,,green,,green,,yellow,,green,,green,
24,2021-04-08,green,18.0,green,69.0,green,21.0,green,85.0,green,,green,,green,,green,,green,,yellow,,green,,green,
25,2021-04-09,green,18.0,green,73.0,green,21.0,green,86.0,green,,green,,green,,green,,green,,yellow,,green,,green,
26,2021-04-10,green,18.0,green,77.0,green,21.0,green,86.0,green,,green,,green,,green,,yellow,,yellow,,green,,green,
27,2021-04-11,yellow,18.0,green,82.0,green,20.5,green,82.0,yellow,,green,,yellow,,green,,yellow,,green,,green,,green,
28,2021-04-12,green,17.5,green,85.0,green,19.5,green,87.0,green,,green,,yellow,,green,,green,,green,,green,,green,
29,2021-04-13,green,17.0,green,89.0,green,19.0,green,86.0,green,,green,,green,,green,,green,,green,,green,,green,
30,2021-04-14,green,16.5,green,89.0,green,18.5,green,92.0,green,,green,,green,,green,,yellow,,green,,yellow,,green,
31,2021-04-15,green,16.5,green,89.0,green,19.0,green,92.0,green,,green,,green,,green,,green,,green,,green,,green,
32,2021-04-16,green,17.5,green,86.0,green,18.5,green,84.0,green,,green,,green,,green,,green,,green,,green,,green,
33,2021-04-17,green,18.0,green,87.0,green,18.5,green,88.0,green,,green,,green,,green,,green,,green,,green,,green,
34,2021-04-18,yellow,19.0,green,89.0,green,19.0,green,90.0,yellow,,green,,yellow,,green,,yellow,,green,,yellow,,green,
35,2021-04-19,green,16.0,green,90.0,green,17.0,green,86.0,green,,green,,green,,green,,yellow,,green,,green,,green,
36,2021-04-20,green,15.5,green,90.0,green,18.0,green,89.0,green,,green,,green,,green,,yellow,,green,,green,,green,
37,2021-04-21,green,16.0,green,92.0,green,18.0,green,92.0,green,,green,,green,,green,,yellow,,green,,green,,green,
38,2021-04-22,green,18.0,green,88.0,green,18.5,green,94.0,green,,green,,green,,green,,yellow,,green,,green,,green,
39,2021-04-23,yellow,19.0,green,94.0,yellow,18.5,green,92.0,yellow,,green,,yellow,,green,,yellow,,green,,green,,green,
40,2021-04-24,yellow,17.5,green,90.0,green,17.5,green,92.0,yellow,,green,,yellow,,green,,yellow,,green,,green,,green,
41,2021-04-25,green,19.0,green,93.0,yellow,19.0,green,93.0,green,,green,,green,,green,,green,,green,,green,,green,
42,2021-04-26,red,23.0,green,96.0,red,23.0,green,98.0,red,,green,,red,,green,,red,,green,,red,,green,
43,2021-04-27,green,20.0,green,98.0,yellow,19.5,green,99.0,yellow,,green,,yellow,,green,,green,,green,,green,,green,
44,2021-04-28,green,19.5,green,95.0,green,19.5,green,98.0,green,,green,,yellow,,green,,green,,green,,green,,green,
45,2021-04-29,yellow,19.0,green,91.0,yellow,19.5,green,97.0,yellow,,green,,red,,green,,yellow,,green,,yellow,,green,
46,2021-04-30,yellow,20.0,green,95.0,yellow,20.5,green,97.0,yellow,,green,,yellow,,green,,yellow,,green,,yellow,,green,
47,2021-05-01,red,25.5,green,99.0,yellow,25.5,green,98.0,red,,green,,red,,green,,red,,green,,red,,green,
48,2021-05-02,red,23.5,green,99.0,yellow,24.0,green,97.0,red,,green,,red,,green,,red,,green,,red,,green,
49,2021-05-03,green,20.5,green,95.0,yellow,20.0,green,99.0,yellow,,green,,green,,green,,green,,green,,green,,green,
50,2021-05-04,yellow,17.5,green,94.0,yellow,17.0,green,95.0,red,,green,,yellow,,green,,yellow,,green,,green,,green,
51,2021-05-05,yellow,18.0,green,95.0,yellow,17.0,green,97.0,yellow,,green,,yellow,,green,,yellow,,green,,green,,green,
52,2021-05-06,yellow,18.0,green,97.0,yellow,18.0,green,97.0,yellow,,green,,yellow,,green,,yellow,,green,,yellow,,green,
53,2021-05-07,yellow,16.0,green,98.0,yellow,16.5,green,99.0,yellow,,green,,yellow,,green,,green,,green,,green,,green,
54,2021-05-08,green,,green,97.0,green,,green,99.0,green,,green,,green,,green,,green,,green,,green,,green,
55,2021-05-09,green,,green,96.0,yellow,,green,99.0,yellow,,green,,yellow,,green,,green,,green,,green,,green,
56,2021-05-10,green,18.0,green,98.0,yellow,18.0,green,99.0,yellow,,green,,yellow,,green,,yellow,,green,,green,,green,
57,2021-05-11,yellow,17.0,green,98.0,yellow,17.5,green,97.0,yellow,,green,,yellow,,green,,yellow,,green,,green,,green,
58,2021-05-12,green,18.0,green,98.0,yellow,18.0,green,96.0,yellow,,green,,green,,green,,green,,green,,green,,green,
59,2021-05-13,green,19.0,green,99.0,yellow,19.5,green,99.0,green,,green,,green,,green,,green,,green,,green,,green,
60,2021-05-14,green,19.0,green,99.0,yellow,18.5,green,99.0,green,,green,,green,,green,,green,,green,,green,,green,
61,2021-05-15,yellow,20.5,green,99.0,green,20.5,green,99.0,yellow,,green,,yellow,,green,,yellow,,green,,yellow,,green,
62,2021-05-16,green,20.0,green,99.0,green,20.5,green,99.0,green,,green,,green,,green,,green,,green,,green,,green,
63,2021-05-17,green,20.0,green,99.0,green,20.5,green,98.0,green,,green,,green,,green,,green,,green,,green,,green,
64,2021-05-18,green,20.0,green,99.0,green,21.0,green,99.0,green,,green,,green,,green,,green,,green,,green,,green,
65,2021-05-19,green,21.5,green,97.0,green,22.5,green,96.0,yellow,,green,,yellow,,green,,yellow,,green,,yellow,,green,
66,2021-05-20,green,21.5,green,97.0,green,22.5,green,99.0,green,,green,,green,,green,,green,,green,,green,,green,
67,2021-05-21,yellow,23.5,green,99.0,yellow,24.0,green,99.0,yellow,,green,,yellow,,green,,yellow,,green,,yellow,,green,
68,2021-05-22,yellow,24.0,green,98.0,yellow,24.5,green,97.0,yellow,,green,,yellow,,green,,yellow,,green,,yellow,,green,
69,2021-05-23,yellow,24.5,green,97.0,yellow,25.0,green,99.0,yellow,,green,,yellow,,green,,yellow,,green,,yellow,,green,
70,2021-05-24,yellow,25.0,green,99.0,yellow,25.0,green,98.0,yellow,,green,,yellow,,green,,yellow,,green,,yellow,,green,
71,2021-05-25,red,24.5,green,99.0,red,25.0,green,98.0,red,,green,,red,,green,,red,,green,,red,,green,
72,2021-05-26,yellow,21.5,green,99.0,yellow,22.0,green,98.0,yellow,,green,,yellow,,green,,yellow,,green,,yellow,,green,
73,2021-05-27,green,19.0,green,99.0,green,19.0,green,99.0,green,,green,,green,,green,,green,,green,,green,,green,
74,2021-05-28,green,17.0,green,96.0,green,15.5,green,98.0,green,,green,,green,,green,,green,,green,,green,,green,
75,2021-05-29,green,18.0,green,93.0,yellow,18.0,green,97.0,green,,green,,green,,green,,yellow,,green,,green,,green,
76,2021-05-30,green,19.0,green,93.0,green,19.0,green,99.0,green,,green,,green,,green,,yellow,,green,,green,,green,
77,2021-05-31,red,20.0,green,96.0,yellow,20.0,green,99.0,yellow,,green,,yellow,,green,,red,,green,,red,,green,
78,2021-06-01,yellow,22.0,green,99.0,yellow,22.0,green,99.0,red,,green,,red,,green,,red,,green,,red,,green,
79,2021-06-02,red,22.5,green,98.0,yellow,22.5,green,98.0,red,,green,,red,,green,,red,,green,,red,,green,
80,2021-06-03,yellow,24.5,green,99.0,yellow,25.0,green,99.0,yellow,,green,,yellow,,green,,yellow,,green,,yellow,,green,
81,2021-06-04,yellow,27.5,green,99.0,yellow,27.5,green,99.0,yellow,,green,,yellow,,green,,yellow,,green,,red,,green,
82,2021-06-05,yellow,28.0,green,99.0,yellow,28.5,green,98.0,yellow,,green,,yellow,,green,,yellow,,green,,red,,green,
83,2021-06-06,green,26.0,green,96.0,green,26.5,green,99.0,green,,green,,green,,green,,green,,green,,green,,green,
84,2021-06-07,yellow,27.0,green,96.0,yellow,27.5,green,99.0,yellow,,green,,yellow,,green,,yellow,,green,,yellow,,green,
85,2021-06-08,red,27.0,green,99.0,red,27.5,green,99.0,yellow,,green,,yellow,,green,,red,,green,,red,,green,
86,2021-06-09,red,27.5,green,99.0,red,28.0,green,99.0,yellow,,green,,red,,green,,red,,green,,red,,green,
87,2021-06-10,yellow,29.0,green,98.0,yellow,29.5,green,99.0,yellow,,green,,yellow,,green,,yellow,,green,,yellow,,green,
88,2021-06-11,red,25.5,green,99.0,yellow,26.0,green,99.0,yellow,,green,,red,,green,,red,,green,,red,,green,
89,2021-06-12,red,24.0,green,98.0,red,24.5,green,99.0,red,,green,,red,,green,,red,,green,,red,,green,
90,2021-06-13,red,26.0,green,99.0,red,26.0,green,98.0,red,,green,,red,,green,,red,,green,,red,,green,
91,2021-06-14,red,24.0,green,99.0,red,25.0,green,99.0,red,,green,,red,,green,,red,,green,,red,,green,
92,2021-06-15,red,25.0,green,99.0,red,25.0,green,96.0,red,,green,,red,,green,,red,,green,,red,,green,
93,2021-06-16,red,26.5,green,99.0,red,27.0,green,99.0,red,,green,,red,,green,,red,,green,,red,,green,
94,2021-06-17,red,31.0,green,99.0,red,31.0,green,98.0,red,,green,,red,,green,,red,,green,,red,,green,
95,2021-06-18,red,25.5,green,99.0,red,26.0,green,98.0,red,,green,,red,,green,,red,,green,,red,,green,
96,2021-06-19,yellow,23.5,green,99.0,yellow,24.5,green,98.0,yellow,,green,,yellow,,green,,yellow,,green,,yellow,,green,
97,2021-06-20,red,23.5,green,99.0,yellow,24.0,green,98.0,red,,green,,red,,green,,red,,green,,red,,green,
98,2021-06-21,yellow,19.0,green,99.0,green,20.5,green,98.0,yellow,,green,,yellow,,green,,red,,green,,yellow,,green,
99,2021-06-22,red,21.0,green,99.0,yellow,22.5,green,99.0,red,,green,,red,,green,,red,,green,,red,,green,
100,2021-06-23,yellow,25.5,green,98.0,yellow,26.0,green,98.0,yellow,,green,,yellow,,green,,yellow,,green,,yellow,,green,
101,2021-06-24,green,25.0,green,99.0,green,25.5,green,99.0,green,,green,,green,,green,,green,,green,,green,,green,
102,2021-06-25,green,22.5,green,99.0,green,23.0,green,99.0,blue,,blue,,green,,green,,green,,green,,green,,green,
103,2021-06-26,green,20.5,green,99.0,green,21.5,green,98.0,blue,,blue,,blue,,blue,,green,,green,,green,,green,
104,2021-06-27,yellow,22.5,green,98.0,yellow,23.0,green,99.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
105,2021-06-28,yellow,23.5,green,99.0,green,24.0,green,99.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
106,2021-06-29,yellow,24.0,green,96.0,yellow,24.5,green,98.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
107,2021-06-30,red,24.0,green,99.0,red,24.5,green,98.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
108,2021-07-01,red,23.5,green,99.0,red,24.5,green,96.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
109,2021-07-02,red,24.0,green,99.0,red,25.0,green,99.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
110,2021-07-03,yellow,24.5,green,99.0,yellow,25.5,green,99.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
111,2021-07-04,yellow,26.5,green,99.0,yellow,27.0,green,99.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
112,2021-07-05,yellow,27.5,green,99.0,yellow,28.0,green,99.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
113,2021-07-06,yellow,27.0,green,99.0,yellow,27.0,green,99.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
114,2021-07-07,green,21.0,green,99.0,green,22.0,green,99.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
115,2021-07-08,green,20.0,green,98.0,green,21.0,green,97.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
116,2021-07-09,yellow,23.5,green,95.0,yellow,24.5,green,99.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
