,Date (America/Chicago),"Maschhoff_TPLJ_RM1_C Temp shock - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C Temp (°C) - data
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - data
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_E Temp shock - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E Temp (°C) - data
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - data
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_W Temp shock - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W Temp (°C) - data
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - data
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM2_C Temp shock - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C Temp (°C) - data
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - data
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_E Temp shock - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E Temp (°C) - data
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - data
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_W Temp shock - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W Temp (°C) - data
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - data
 (MO201301-MLJQ4R57)"
30,2021-06-14,red,,green,,red,,green,,red,,green,,red,24.0,green,99.0,red,,green,,red,25.0,green,99.0
31,2021-06-15,red,,green,,red,,green,,red,,green,,red,25.0,green,99.0,red,,green,,red,25.0,green,96.0
32,2021-06-16,red,,green,,red,,green,,red,,green,,red,26.5,green,99.0,red,,green,,red,27.0,green,99.0
33,2021-06-17,red,,green,,red,,green,,red,,green,,red,31.0,green,99.0,red,,green,,red,31.0,green,98.0
34,2021-06-18,red,,green,,red,,green,,red,,green,,red,25.5,green,99.0,red,,green,,red,26.0,green,98.0
35,2021-06-19,yellow,,green,,yellow,,green,,yellow,,green,,yellow,23.5,green,99.0,yellow,,green,,yellow,24.5,green,98.0
36,2021-06-20,red,,green,,red,,green,,red,,green,,red,23.5,green,99.0,red,,green,,yellow,24.0,green,98.0
37,2021-06-21,yellow,,green,,yellow,,green,,yellow,,green,,yellow,19.0,green,99.0,red,,green,,green,20.5,green,98.0
38,2021-06-22,red,,green,,red,,green,,red,,green,,red,21.0,green,99.0,red,,green,,yellow,22.5,green,99.0
39,2021-06-23,yellow,,green,,yellow,,green,,yellow,,green,,yellow,25.5,green,98.0,yellow,,green,,yellow,26.0,green,98.0
40,2021-06-24,green,,green,,green,,green,,green,,green,,green,25.0,green,99.0,green,,green,,green,25.5,green,99.0
41,2021-06-25,green,,green,,green,,green,,blue,,blue,,green,22.5,green,99.0,green,,green,,green,23.0,green,99.0
42,2021-06-26,blue,,blue,,green,,green,,blue,,blue,,green,20.5,green,99.0,green,,green,,green,21.5,green,98.0
43,2021-06-27,blue,,blue,,blue,,blue,,blue,,blue,,yellow,22.5,green,98.0,blue,,blue,,yellow,23.0,green,99.0
44,2021-06-28,blue,,blue,,blue,,blue,,blue,,blue,,yellow,23.5,green,99.0,blue,,blue,,green,24.0,green,99.0
45,2021-06-29,blue,,blue,,blue,,blue,,blue,,blue,,yellow,24.0,green,96.0,blue,,blue,,yellow,24.5,green,98.0
46,2021-06-30,blue,,blue,,blue,,blue,,blue,,blue,,red,24.0,green,99.0,blue,,blue,,red,24.5,green,98.0
47,2021-07-01,blue,,blue,,blue,,blue,,blue,,blue,,red,23.5,green,99.0,blue,,blue,,red,24.5,green,96.0
48,2021-07-02,blue,,blue,,blue,,blue,,blue,,blue,,red,24.0,green,99.0,blue,,blue,,red,25.0,green,99.0
49,2021-07-03,blue,,blue,,blue,,blue,,blue,,blue,,yellow,24.5,green,99.0,blue,,blue,,yellow,25.5,green,99.0
50,2021-07-04,blue,,blue,,blue,,blue,,blue,,blue,,yellow,26.5,green,99.0,blue,,blue,,yellow,27.0,green,99.0
51,2021-07-05,blue,,blue,,blue,,blue,,blue,,blue,,yellow,27.5,green,99.0,blue,,blue,,yellow,28.0,green,99.0
52,2021-07-06,blue,,blue,,blue,,blue,,blue,,blue,,yellow,27.0,green,99.0,blue,,blue,,yellow,27.0,green,99.0
53,2021-07-07,blue,,blue,,blue,,blue,,blue,,blue,,green,21.0,green,99.0,blue,,blue,,green,22.0,green,99.0
54,2021-07-08,blue,,blue,,blue,,blue,,blue,,blue,,green,20.0,green,98.0,blue,,blue,,green,21.0,green,97.0
55,2021-07-09,blue,,blue,,blue,,blue,,blue,,blue,,yellow,23.5,green,95.0,blue,,blue,,yellow,24.5,green,99.0
56,2021-07-10,blue,,blue,,blue,,blue,,blue,,blue,,green,20.5,green,99.0,blue,,blue,,green,21.5,green,98.0
57,2021-07-11,blue,,blue,,blue,,blue,,blue,,blue,,yellow,21.5,green,99.0,blue,,blue,,yellow,22.5,green,97.0
58,2021-07-12,blue,,blue,,blue,,blue,,blue,,blue,,yellow,22.0,green,99.0,blue,,blue,,yellow,22.0,green,97.0
59,2021-07-13,blue,,blue,,blue,,blue,,blue,,blue,,yellow,23.0,green,99.0,blue,,blue,,yellow,23.5,green,96.0
60,2021-07-14,blue,,blue,,blue,,blue,,blue,,blue,,green,23.0,green,99.0,blue,,blue,,green,23.5,green,99.0
61,2021-07-15,blue,,blue,,blue,,blue,,blue,,blue,,yellow,22.0,green,99.0,blue,,blue,,yellow,22.5,green,99.0
62,2021-07-16,blue,,blue,,blue,,blue,,blue,,blue,,yellow,22.0,green,99.0,blue,,blue,,yellow,22.5,green,99.0
63,2021-07-17,blue,,blue,,blue,,blue,,blue,,blue,,yellow,23.0,green,99.0,blue,,blue,,yellow,23.5,green,99.0
64,2021-07-18,blue,,blue,,blue,,blue,,blue,,blue,,red,23.0,green,99.0,blue,,blue,,yellow,23.5,green,99.0
65,2021-07-19,blue,,blue,,blue,,blue,,blue,,blue,,red,23.0,green,99.0,blue,,blue,,red,23.5,green,98.0
66,2021-07-20,blue,,blue,,blue,,blue,,blue,,blue,,red,23.5,green,98.0,blue,,blue,,red,23.5,green,99.0
67,2021-07-21,blue,,blue,,blue,,blue,,blue,,blue,,yellow,24.0,green,99.0,blue,,blue,,yellow,24.5,green,98.0
68,2021-07-22,blue,,blue,,blue,,blue,,blue,,blue,,yellow,25.0,green,99.0,blue,,blue,,yellow,25.5,green,99.0
69,2021-07-23,blue,,blue,,blue,,blue,,blue,,blue,,yellow,27.0,green,99.0,blue,,blue,,yellow,27.0,green,98.0
70,2021-07-24,blue,,blue,,blue,,blue,,blue,,blue,,red,27.0,green,99.0,blue,,blue,,red,27.0,green,97.0
71,2021-07-25,blue,,blue,,blue,,blue,,blue,,blue,,red,24.5,green,97.0,blue,,blue,,red,25.0,green,99.0
72,2021-07-26,red,,blue,,red,,blue,,yellow,,blue,,red,25.0,green,99.0,red,,blue,,yellow,25.0,green,97.0
73,2021-07-27,yellow,30.0,blue,,yellow,29.5,blue,,yellow,30.0,blue,,yellow,27.0,green,99.0,yellow,30.0,blue,,yellow,27.0,green,99.0
74,2021-07-28,green,29.0,green,98.0,yellow,28.0,green,89.0,green,29.0,green,98.0,green,29.0,green,98.0,yellow,28.5,green,83.0,green,29.0,green,99.0
75,2021-07-29,yellow,27.5,green,99.0,yellow,26.5,green,90.0,yellow,27.5,green,98.0,yellow,27.0,green,99.0,yellow,27.0,green,92.0,yellow,27.0,green,98.0
76,2021-07-30,green,22.5,green,99.0,green,21.5,green,93.0,green,22.5,green,98.0,green,22.0,green,99.0,green,22.0,green,98.0,green,22.5,green,99.0
77,2021-07-31,green,24.0,green,98.0,green,23.0,green,99.0,yellow,24.0,green,96.0,yellow,23.0,green,99.0,green,23.0,green,97.0,green,23.5,green,99.0
78,2021-08-01,yellow,22.5,green,98.0,yellow,21.0,green,99.0,yellow,22.0,green,98.0,green,19.5,blue,,green,19.0,blue,,green,20.0,blue,
79,2021-08-02,green,18.5,blue,,green,16.5,blue,,green,17.5,blue,,green,,blue,,green,,blue,,green,,blue,
80,2021-08-03,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
81,2021-08-04,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
82,2021-08-05,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
83,2021-08-06,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
84,2021-08-07,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
85,2021-08-08,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
86,2021-08-09,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
87,2021-08-10,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
88,2021-08-11,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
89,2021-08-12,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
90,2021-08-13,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
91,2021-08-14,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
92,2021-08-15,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
93,2021-08-16,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
94,2021-08-17,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
95,2021-08-18,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
96,2021-08-19,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
97,2021-08-20,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
98,2021-08-21,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
99,2021-08-22,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
100,2021-08-23,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
101,2021-08-24,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
102,2021-08-25,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
103,2021-08-26,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
104,2021-08-27,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
105,2021-08-28,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
106,2021-08-29,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
107,2021-08-30,yellow,27.5,blue,,green,25.5,blue,,green,28.5,blue,,green,27.5,blue,,yellow,28.0,blue,,green,27.5,blue,
108,2021-08-31,green,24.5,green,89.0,green,25.0,green,74.0,green,26.0,green,88.0,green,25.5,green,96.0,yellow,26.0,green,83.0,green,25.5,green,97.0
109,2021-09-01,green,24.0,green,95.0,green,25.0,green,68.0,green,25.5,green,90.0,green,26.5,green,97.0,green,27.5,green,80.0,green,26.0,green,98.0
110,2021-09-02,green,23.5,green,98.0,green,25.0,green,67.0,green,26.0,green,84.0,green,25.5,green,96.0,green,25.5,green,72.0,green,26.0,green,98.0
111,2021-09-03,green,24.0,green,99.0,green,25.0,yellow,56.0,green,26.0,green,84.0,green,25.5,green,98.0,green,26.0,green,73.0,green,26.0,green,98.0
112,2021-09-04,green,24.5,green,96.0,green,25.0,yellow,50.0,green,26.0,green,79.0,green,25.5,green,97.0,green,25.5,green,79.0,green,26.0,green,98.0
113,2021-09-05,yellow,24.5,green,96.0,yellow,26.0,green,64.0,green,26.5,green,80.0,green,26.0,green,97.0,yellow,26.5,green,79.0,green,27.0,green,98.0
114,2021-09-06,green,26.0,green,98.0,green,26.5,green,64.0,green,27.0,green,83.0,green,27.0,green,97.0,green,27.5,green,76.0,green,27.5,green,96.0
115,2021-09-07,yellow,25.5,green,98.0,green,25.5,green,65.0,green,26.5,green,90.0,green,26.5,green,96.0,green,27.0,green,81.0,green,26.5,green,92.0
116,2021-09-08,yellow,24.0,green,94.0,green,25.0,yellow,54.0,yellow,25.0,green,72.0,green,25.0,green,90.0,green,26.5,yellow,55.0,green,26.0,green,94.0
117,2021-09-09,yellow,23.5,green,93.0,green,24.5,yellow,46.0,green,24.5,green,69.0,green,25.0,green,84.0,green,26.5,yellow,45.0,green,25.5,green,93.0
118,2021-09-10,yellow,25.0,green,95.0,yellow,25.5,red,36.0,yellow,26.0,green,73.0,green,26.0,green,75.0,green,26.5,red,36.0,yellow,26.5,green,90.0
119,2021-09-11,green,26.5,green,97.0,green,26.5,green,66.0,green,27.5,green,80.0,green,27.5,green,81.0,green,28.0,yellow,54.0,green,27.5,green,94.0
120,2021-09-12,yellow,24.5,green,99.0,green,24.5,green,68.0,green,25.5,green,92.0,green,26.0,green,88.0,yellow,26.5,yellow,52.0,green,25.5,green,98.0
121,2021-09-13,green,24.5,green,98.0,green,24.5,green,72.0,yellow,26.0,green,90.0,green,26.0,green,85.0,green,26.5,yellow,56.0,green,26.0,green,94.0
122,2021-09-14,yellow,23.5,green,99.0,yellow,23.5,yellow,55.0,green,24.5,green,93.0,green,25.0,green,82.0,yellow,25.5,yellow,54.0,green,25.0,green,94.0
123,2021-09-15,yellow,24.0,green,92.0,green,24.0,green,64.0,green,25.0,green,81.0,green,25.5,green,80.0,yellow,26.0,yellow,56.0,green,26.0,green,86.0
124,2021-09-16,green,26.5,green,98.0,green,26.0,yellow,51.0,green,27.0,green,94.0,green,27.5,green,84.0,green,27.5,green,69.0,green,27.5,green,95.0
125,2021-09-17,green,24.0,green,95.0,green,23.5,yellow,46.0,green,24.5,green,88.0,green,25.5,green,83.0,green,26.0,yellow,52.0,green,25.0,green,88.0
126,2021-09-18,green,25.0,green,89.0,green,25.0,red,32.0,green,25.5,green,77.0,green,26.0,green,74.0,green,26.5,yellow,52.0,green,26.5,green,78.0
127,2021-09-19,green,27.5,green,93.0,green,26.5,red,33.0,green,27.5,green,96.0,green,28.0,green,84.0,green,28.5,yellow,48.0,green,28.0,green,95.0
128,2021-09-20,green,24.0,green,97.0,green,23.5,red,22.0,green,24.0,green,88.0,green,25.5,green,77.0,green,26.5,yellow,43.0,green,25.0,green,93.0
129,2021-09-21,yellow,21.5,green,88.0,green,22.0,red,25.0,green,22.5,green,66.0,green,23.0,green,66.0,yellow,24.0,yellow,44.0,green,23.5,green,72.0
130,2021-09-22,yellow,21.5,green,76.0,yellow,22.0,red,26.0,green,22.5,green,68.0,green,22.5,yellow,48.0,yellow,24.5,red,30.0,green,23.0,green,69.0
131,2021-09-23,yellow,22.5,green,83.0,green,22.5,red,23.0,yellow,23.5,yellow,55.0,green,23.5,yellow,53.0,yellow,25.0,red,33.0,yellow,24.0,green,72.0
132,2021-09-24,yellow,21.0,green,91.0,green,21.5,red,22.0,green,22.0,green,77.0,green,23.0,yellow,55.0,yellow,24.0,red,31.0,green,23.0,green,90.0
133,2021-09-25,yellow,22.5,green,86.0,green,22.5,red,24.0,yellow,23.5,yellow,52.0,green,23.0,yellow,55.0,green,24.5,red,35.0,green,24.0,green,79.0
134,2021-09-26,red,23.5,green,94.0,yellow,24.0,red,28.0,red,24.5,green,91.0,yellow,25.0,yellow,51.0,yellow,25.5,red,22.0,yellow,25.0,green,92.0
135,2021-09-27,red,23.5,green,90.0,red,24.0,red,29.0,red,25.0,green,74.0,yellow,25.0,green,63.0,red,25.0,red,31.0,red,25.0,green,84.0
136,2021-09-28,yellow,25.0,green,92.0,red,24.5,red,29.0,yellow,26.0,green,75.0,yellow,26.0,yellow,55.0,yellow,26.0,red,34.0,yellow,26.0,green,89.0
137,2021-09-29,green,25.0,green,85.0,green,24.5,red,24.0,green,25.5,green,86.0,green,26.0,green,69.0,green,26.0,red,32.0,green,26.0,green,97.0
138,2021-09-30,green,25.0,green,84.0,green,24.5,red,17.0,green,25.5,green,75.0,green,26.0,green,70.0,yellow,26.0,red,31.0,green,26.0,green,92.0
139,2021-10-01,green,24.5,green,87.0,green,23.5,red,14.0,yellow,24.5,green,81.0,green,26.0,green,64.0,green,26.0,red,30.0,green,26.0,green,90.0
140,2021-10-02,green,22.5,green,83.0,green,22.5,red,8.0,green,23.0,green,75.0,green,24.5,yellow,51.0,green,25.5,red,24.0,green,24.5,green,73.0
141,2021-10-03,red,22.5,green,82.0,yellow,22.0,red,11.0,yellow,23.5,green,76.0,green,24.0,red,32.0,yellow,24.5,red,20.0,yellow,24.0,green,71.0
142,2021-10-04,red,21.5,green,82.0,yellow,21.5,red,18.0,yellow,22.5,yellow,48.0,yellow,22.5,red,33.0,yellow,22.5,red,20.0,yellow,23.0,yellow,47.0
143,2021-10-05,yellow,21.0,green,87.0,green,21.0,red,19.0,yellow,22.5,yellow,55.0,green,22.5,red,32.0,green,22.0,red,18.0,yellow,23.0,yellow,46.0
144,2021-10-06,yellow,21.5,green,93.0,green,21.5,red,24.0,yellow,22.5,green,76.0,green,22.5,red,32.0,green,22.5,red,18.0,green,23.5,green,81.0
145,2021-10-07,yellow,23.0,green,95.0,green,22.5,red,23.0,yellow,23.5,green,89.0,green,23.5,yellow,53.0,yellow,23.0,red,22.0,yellow,24.5,green,89.0
146,2021-10-08,green,23.0,green,94.0,yellow,23.0,red,33.0,green,24.0,green,77.0,green,24.0,yellow,53.0,yellow,24.0,red,27.0,green,24.5,green,88.0
147,2021-10-09,green,24.0,green,98.0,green,23.0,red,36.0,green,24.5,green,90.0,green,24.0,yellow,56.0,green,23.0,red,26.0,green,25.0,green,93.0
148,2021-10-10,yellow,21.0,green,99.0,green,21.0,red,37.0,green,21.5,green,86.0,green,22.5,yellow,52.0,yellow,22.5,red,28.0,green,23.0,green,92.0
149,2021-10-11,red,19.0,green,96.0,yellow,19.5,yellow,52.0,yellow,21.0,green,78.0,green,21.5,yellow,57.0,yellow,21.0,red,33.0,yellow,21.5,green,81.0
150,2021-10-12,green,20.0,green,90.0,green,20.5,yellow,52.0,green,21.5,green,78.0,green,21.5,yellow,53.0,yellow,21.5,red,34.0,green,22.0,green,82.0
151,2021-10-13,yellow,21.0,green,97.0,green,21.0,yellow,55.0,green,22.0,green,91.0,green,23.0,green,72.0,yellow,23.0,red,36.0,green,23.0,green,95.0
152,2021-10-14,yellow,17.5,green,96.0,green,19.0,yellow,52.0,green,19.5,green,84.0,green,20.5,green,74.0,yellow,20.5,red,31.0,green,21.0,green,90.0
153,2021-10-15,yellow,17.5,green,97.0,green,18.5,green,68.0,green,19.0,green,71.0,green,20.5,green,80.0,yellow,20.5,yellow,55.0,green,20.5,green,91.0
154,2021-10-16,yellow,18.0,green,95.0,yellow,19.0,green,71.0,yellow,19.0,green,77.0,green,20.0,green,77.0,yellow,20.5,yellow,53.0,yellow,20.5,green,87.0
155,2021-10-17,yellow,19.0,green,92.0,green,19.5,green,77.0,yellow,20.0,green,88.0,green,21.0,green,75.0,yellow,21.0,yellow,53.0,green,21.5,green,89.0
156,2021-10-18,green,21.0,green,98.0,green,20.5,green,75.0,green,21.0,green,92.0,green,22.0,green,80.0,yellow,22.5,yellow,55.0,green,22.5,green,96.0
157,2021-10-19,green,22.0,green,94.0,green,21.0,yellow,54.0,green,22.0,green,96.0,yellow,22.5,green,88.0,yellow,22.5,green,71.0,green,23.5,green,98.0
158,2021-10-20,yellow,19.5,green,98.0,green,20.0,yellow,55.0,green,20.5,green,98.0,green,21.0,green,89.0,yellow,20.5,green,66.0,green,21.5,green,99.0
159,2021-10-21,green,16.0,green,96.0,green,17.5,green,70.0,green,16.5,green,87.0,green,19.0,green,84.0,yellow,19.5,green,68.0,green,18.5,green,92.0
160,2021-10-22,green,16.5,green,92.0,green,18.0,yellow,49.0,green,18.5,green,72.0,green,18.5,green,72.0,green,19.5,yellow,55.0,green,19.5,green,78.0
161,2021-10-23,green,17.0,green,87.0,green,17.0,red,36.0,green,21.0,green,70.0,green,19.0,yellow,54.0,green,20.0,red,29.0,green,20.0,green,78.0
162,2021-10-24,green,17.0,green,90.0,green,17.0,red,34.0,green,19.5,green,77.0,green,19.0,green,68.0,green,19.5,red,28.0,yellow,20.0,green,76.0
163,2021-10-25,green,18.5,green,92.0,green,17.0,red,27.0,green,20.0,green,84.0,green,19.5,green,68.0,green,19.5,red,27.0,yellow,20.0,green,68.0
164,2021-10-26,green,19.5,green,92.0,green,17.5,red,32.0,green,20.5,green,77.0,green,20.0,green,70.0,green,21.0,red,34.0,green,20.0,green,80.0
165,2021-10-27,green,18.5,green,96.0,green,17.5,yellow,55.0,green,20.5,green,90.0,green,20.0,green,74.0,green,22.0,red,36.0,green,19.0,green,94.0
166,2021-10-28,green,18.5,green,96.0,green,17.5,yellow,56.0,green,18.5,green,77.0,green,20.0,green,74.0,yellow,19.5,yellow,50.0,green,19.5,green,84.0
167,2021-10-29,green,19.0,green,93.0,green,18.0,yellow,56.0,yellow,18.0,green,80.0,green,20.5,green,76.0,red,20.0,yellow,50.0,red,19.5,green,84.0
